Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,0.22748601,15.398178,-14.943206
1.0002,0.23082489,15.408786,-14.947136
2.0004001,0.23416377,15.419397,-14.951069
3.0006001,0.23750265,15.430012,-14.955006
4.0008002,0.24084153,15.44063,-14.958947
5.0010002,0.24418041,15.451251,-14.96289
6.0012002,0.24751929,15.461876,-14.966837
7.0014003,0.25085817,15.472504,-14.970788
8.0016003,0.25419705,15.483136,-14.974742
9.0018004,0.25753592,15.493771,-14.978699
10.002,0.2608748,15.504409,-14.982659
11.0022,0.26421368,15.515051,-14.986623
12.0024,0.26755256,15.525696,-14.990591
13.002601,0.27089144,15.536344,-14.994561
14.002801,0.27423032,15.546996,-14.998536
15.003001,0.2775692,15.557651,-15.002513
16.003201,0.28090808,15.56831,-15.006494
17.003401,0.28424696,15.578972,-15.010478
18.003601,0.28758584,15.589637,-15.014465
19.003801,0.29092472,15.600305,-15.018456
20.004001,0.2942636,15.610977,-15.02245
21.004201,0.29760248,15.621652,-15.026448
22.004401,0.30094136,15.632331,-15.030448
23.004601,0.30428024,15.643013,-15.034452
24.004801,0.30761912,15.653698,-15.03846
25.005001,0.310958,15.664386,-15.04247
26.005201,0.31429687,15.675078,-15.046484
27.005401,0.31763575,15.685773,-15.050502
28.005601,0.32097463,15.696471,-15.054522
29.005801,0.32431351,15.707173,-15.058546
30.006001,0.32765239,15.717878,-15.062573
31.006201,0.33099127,15.728586,-15.066603
32.006401,0.33433015,15.739297,-15.070637
33.006601,0.33766903,15.750012,-15.074674
34.006801,0.34100791,15.76073,-15.078714
35.007001,0.34434679,15.771451,-15.082758
36.007201,0.34768567,15.782176,-15.086804
37.007401,0.35102455,15.792903,-15.090854
38.007602,0.35436343,15.803634,-15.094907
39.007802,0.35770231,15.814368,-15.098964
40.008002,0.36104119,15.825106,-15.103023
41.008202,0.36438007,15.835846,-15.107086
42.008402,0.36771895,15.84659,-15.111152
43.008602,0.37105782,15.857337,-15.115222
44.008802,0.3743967,15.868088,-15.119294
45.009002,0.37773558,15.878841,-15.12337
46.009202,0.38107446,15.889598,-15.127449
47.009402,0.38441334,15.900358,-15.131531
48.009602,0.38775222,15.911121,-15.135616
49.009802,0.3910911,15.921887,-15.139705
50.010002,0.39442998,15.932656,-15.143796
51.010202,0.39776886,15.943429,-15.147891
52.010402,0.40110774,15.954205,-15.151989
53.010602,0.40444662,15.964984,-15.156091
54.010802,0.4077855,15.975766,-15.160195
55.011002,0.41112438,15.986551,-15.164303
56.011202,0.41446326,15.99734,-15.168413
57.011402,0.41780214,16.008132,-15.172527
58.011602,0.42114102,16.018926,-15.176644
59.011802,0.4244799,16.029724,-15.180764
60.012002,0.42781877,16.040525,-15.184888
61.012202,0.43115765,16.05133,-15.189014
62.012402,0.43449653,16.062137,-15.193144
63.012603,0.43783541,16.072947,-15.197277
64.012803,0.44117429,16.083761,-15.201412
65.013003,0.44451317,16.094578,-15.205551
66.013203,0.44785205,16.105398,-15.209693
67.013403,0.45119093,16.116221,-15.213839
68.013603,0.45452981,16.127047,-15.217987
69.013803,0.45786869,16.137876,-15.222138
70.014003,0.46120757,16.148708,-15.226293
71.014203,0.46454645,16.159543,-15.23045
72.014403,0.46788533,16.170382,-15.234611
73.014603,0.47122421,16.181223,-15.238775
74.014803,0.47456309,16.192068,-15.242942
75.015003,0.47790197,16.202915,-15.247112
76.015203,0.48124085,16.213766,-15.251285
77.015403,0.48457972,16.22462,-15.255461
78.015603,0.4879186,16.235477,-15.25964
79.015803,0.49125748,16.246337,-15.263822
80.016003,0.49459636,16.2572,-15.268007
81.016203,0.49793524,16.268066,-15.272195
82.016403,0.50127412,16.278935,-15.276387
83.016603,0.504613,16.289807,-15.280581
84.016803,0.50795188,16.300682,-15.284778
85.017003,0.51129076,16.31156,-15.288979
86.017203,0.51462964,16.322441,-15.293182
87.017403,0.51796852,16.333326,-15.297389
88.017604,0.5213074,16.344213,-15.301598
89.017804,0.52464628,16.355103,-15.305811
90.018004,0.52798516,16.365996,-15.310026
91.018204,0.53132404,16.376893,-15.314245
92.018404,0.53466292,16.387792,-15.318466
93.018604,0.5380018,16.398694,-15.322691
94.018804,0.54134067,16.409599,-15.326918
95.019004,0.54467955,16.420508,-15.331148
96.019204,0.54801843,16.431419,-15.335382
97.019404,0.55135731,16.442333,-15.339618
98.019604,0.55469619,16.45325,-15.343858
99.019804,0.55803507,16.46417,-15.3481
100.02,0.56137395,16.475093,-15.352345
101.0202,0.56471283,16.486019,-15.356594
102.0204,0.56805171,16.496948,-15.360845
103.0206,0.57139059,16.50788,-15.365099
104.0208,0.57472947,16.518815,-15.369356
105.021,0.57806835,16.529753,-15.373617
106.0212,0.58140723,16.540694,-15.37788
107.0214,0.58474611,16.551638,-15.382146
108.0216,0.58808499,16.562585,-15.386415
109.0218,0.59142387,16.573534,-15.390686
110.022,0.59476275,16.584487,-15.394961
111.0222,0.59810162,16.595442,-15.399239
112.0224,0.6014405,16.6064,-15.403519
113.0226,0.60477938,16.617362,-15.407803
114.0228,0.60811826,16.628326,-15.412089
115.023,0.61145714,16.639293,-15.416379
116.0232,0.61479602,16.650263,-15.420671
117.0234,0.6181349,16.661236,-15.424966
118.0236,0.62147378,16.672212,-15.429264
119.0238,0.62481266,16.68319,-15.433565
120.024,0.62815154,16.694172,-15.437869
121.0242,0.63149042,16.705156,-15.442176
122.0244,0.6348293,16.716144,-15.446485
123.0246,0.63816818,16.727134,-15.450797
124.0248,0.64150706,16.738127,-15.455113
125.02501,0.64551681,16.749539,-15.458506
126.02521,0.67569081,16.777302,-15.425921
127.02541,0.70586481,16.805277,-15.393547
128.02561,0.7360388,16.833463,-15.361386
129.02581,0.7662128,16.861862,-15.329436
130.02601,0.79638679,16.890473,-15.297699
131.02621,0.82656079,16.919295,-15.266174
132.02641,0.85673478,16.94833,-15.23486
133.02661,0.88690878,16.977577,-15.203759
134.02681,0.91708278,17.007036,-15.172871
135.02701,0.94725677,17.036708,-15.142194
136.02721,0.97743077,17.066591,-15.11173
137.02741,1.0076048,17.096687,-15.081478
138.02761,1.0377788,17.126995,-15.051438
139.02781,1.0679528,17.157516,-15.02161
140.02801,1.0986658,17.189767,-14.992436
141.02821,1.1488674,17.274727,-14.976993
142.02841,1.2233804,17.346454,-14.899693
143.02861,1.2978935,17.418193,-14.822406
144.02881,1.3724066,17.489944,-14.745131
145.02901,1.4469197,17.561708,-14.667868
146.02921,1.5214327,17.633483,-14.590618
147.02941,1.5959458,17.705271,-14.51338
148.02961,1.6704589,17.777072,-14.436154
149.02981,1.744972,17.848884,-14.35894
150.03001,1.8194851,17.920709,-14.281739
151.03021,1.8939981,17.992547,-14.204551
152.03041,1.9685112,18.064396,-14.127374
153.03061,2.0430243,18.136258,-14.05021
154.03081,2.1175374,18.208133,-13.973058
155.03101,2.1920504,18.28002,-13.895919
156.03121,2.2665635,18.351919,-13.818792
157.03141,2.3410766,18.42383,-13.741677
158.03161,2.4155897,18.495754,-13.664575
159.03181,2.4901028,18.56769,-13.587485
160.03201,2.5646158,18.639639,-13.510407
161.03221,2.6391289,18.7116,-13.433342
162.03241,2.713642,18.783573,-13.356289
163.03261,2.7881551,18.855559,-13.279249
164.03281,2.8626681,18.927557,-13.202221
165.03301,2.9371812,18.999568,-13.125205
166.03321,3.0116943,19.071591,-13.048202
167.03341,3.0862074,19.143626,-12.971211
168.03361,3.1607205,19.215674,-12.894233
169.03381,3.2352335,19.287734,-12.817267
170.03401,3.3097466,19.359807,-12.740314
171.03421,3.3842597,19.431892,-12.663373
172.03441,3.4587728,19.50399,-12.586444
173.03461,3.5332858,19.5761,-12.509528
174.03481,3.6077989,19.648223,-12.432625
175.03501,3.682312,19.720358,-12.355734
176.03521,3.7568251,19.792505,-12.278855
177.03541,3.8313382,19.864665,-12.201989
178.03561,3.9058512,19.936838,-12.125135
179.03581,3.9803643,20.009023,-12.048294
180.03601,4.0548774,20.08122,-11.971465
181.03621,4.1293905,20.15343,-11.894649
182.03641,4.2039035,20.225653,-11.817846
183.03661,4.2784166,20.297888,-11.741054
184.03681,4.3529297,20.370135,-11.664276
185.03701,4.4274428,20.442395,-11.58751
186.03721,4.5019559,20.514668,-11.510756
187.03741,4.5764689,20.586953,-11.434015
188.03761,4.650982,20.659251,-11.357287
189.03781,4.7254951,20.731561,-11.280571
190.03801,4.8000082,20.803884,-11.203867
191.03821,4.8745212,20.876219,-11.127176
192.03841,4.9490343,20.948567,-11.050498
193.03861,5.0235474,21.020927,-10.973832
194.03881,5.0980605,21.0933,-10.897179
195.03901,5.1725736,21.165686,-10.820539
196.03921,5.2470866,21.238084,-10.743911
197.03941,5.3215997,21.310495,-10.667295
198.03961,5.3961128,21.382918,-10.590692
199.03981,5.4706259,21.455354,-10.514102
200.04001,5.5451389,21.527802,-10.437525
201.04021,5.619652,21.600264,-10.36096
202.04041,5.6941651,21.672737,-10.284407
203.04061,5.7686782,21.745224,-10.207867
204.04081,5.8431913,21.817723,-10.13134
205.04101,5.9177043,21.890234,-10.054826
206.04121,5.9922174,21.962759,-9.9783238
207.04141,6.0667305,22.035295,-9.9018345
208.04161,6.1412436,22.107845,-9.8253578
209.04181,6.2157566,22.180407,-9.7488939
210.04201,6.2902697,22.252982,-9.6724425
211.04221,6.3647828,22.325569,-9.5960038
212.04241,6.4392959,22.39817,-9.5195778
213.04261,6.513809,22.470782,-9.4431644
214.04281,6.588322,22.543408,-9.3667637
215.04301,6.6628351,22.616046,-9.2903757
216.04321,6.7373482,22.688697,-9.2140003
217.04341,6.8118613,22.76136,-9.1376377
218.04361,6.8863743,22.834036,-9.0612877
219.04381,6.9608874,22.906725,-8.9849504
220.04401,7.0354005,22.979427,-8.9086258
221.04421,7.1099136,23.052141,-8.8323139
222.04441,7.1844267,23.124868,-8.7560147
223.04461,7.2589397,23.197608,-8.6797282
224.04481,7.3334528,23.27036,-8.6034544
225.04501,7.4079659,23.343125,-8.5271933
