Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,-7.0452193,-3.2016164,-10.888822
1.0002,-7.0508358,-3.2015769,-10.900095
2.0004001,-7.0547243,-3.2005643,-10.908884
3.0006001,-7.0586128,-3.1995477,-10.917678
4.0008002,-7.0625014,-3.1985271,-10.926476
5.0010002,-7.0663899,-3.1975025,-10.935277
6.0012002,-7.0702784,-3.196474,-10.944083
7.0014003,-7.0741669,-3.1954416,-10.952892
8.0016003,-7.0780554,-3.1944053,-10.961706
9.0018004,-7.0819439,-3.1933651,-10.970523
10.002,-7.0858324,-3.1923209,-10.979344
11.0022,-7.089721,-3.191273,-10.988169
12.0024,-7.0936095,-3.1902211,-10.996998
13.002601,-7.097498,-3.1891655,-11.005831
14.002801,-7.1013865,-3.188106,-11.014667
15.003001,-7.105275,-3.1870427,-11.023507
16.003201,-7.1091635,-3.1859756,-11.032352
17.003401,-7.1130521,-3.1849047,-11.041199
18.003601,-7.1169406,-3.18383,-11.050051
19.003801,-7.1208291,-3.1827517,-11.058907
20.004001,-7.1247176,-3.1816695,-11.067766
21.004201,-7.1286061,-3.1805837,-11.076629
22.004401,-7.1324946,-3.1794941,-11.085495
23.004601,-7.1363831,-3.1784008,-11.094365
24.004801,-7.1402717,-3.1773039,-11.103239
25.005001,-7.1441602,-3.1762033,-11.112117
26.005201,-7.1480487,-3.175099,-11.120998
27.005401,-7.1519372,-3.1739911,-11.129883
28.005601,-7.1558257,-3.1728796,-11.138772
29.005801,-7.1597142,-3.1717644,-11.147664
30.006001,-7.1636028,-3.1706457,-11.15656
31.006201,-7.1674913,-3.1695233,-11.165459
32.006401,-7.1713798,-3.1683974,-11.174362
33.006601,-7.1752683,-3.167268,-11.183269
34.006801,-7.1791568,-3.166135,-11.192179
35.007001,-7.1830453,-3.1649984,-11.201092
36.007201,-7.1869338,-3.1638584,-11.210009
37.007401,-7.1908224,-3.1627148,-11.21893
38.007602,-7.1947109,-3.1615677,-11.227854
39.007802,-7.1985994,-3.1604172,-11.236782
40.008002,-7.2024879,-3.1592632,-11.245713
41.008202,-7.2063764,-3.1581057,-11.254647
42.008402,-7.2102649,-3.1569448,-11.263585
43.008602,-7.2141535,-3.1557805,-11.272526
44.008802,-7.218042,-3.1546127,-11.281471
45.009002,-7.2219305,-3.1534416,-11.290419
46.009202,-7.225819,-3.1522671,-11.299371
47.009402,-7.2297075,-3.1510891,-11.308326
48.009602,-7.233596,-3.1499079,-11.317284
49.009802,-7.2374845,-3.1487232,-11.326246
50.010002,-7.2413731,-3.1475353,-11.335211
51.010202,-7.2452616,-3.146344,-11.344179
52.010402,-7.2491501,-3.1451494,-11.353151
53.010602,-7.2530386,-3.1439514,-11.362126
54.010802,-7.2569271,-3.1427502,-11.371104
55.011002,-7.2608156,-3.1415458,-11.380086
56.011202,-7.2647041,-3.140338,-11.38907
57.011402,-7.2685927,-3.139127,-11.398058
58.011602,-7.2724812,-3.1379128,-11.40705
59.011802,-7.2763697,-3.1366953,-11.416044
60.012002,-7.2802582,-3.1354746,-11.425042
61.012202,-7.2841467,-3.1342507,-11.434043
62.012402,-7.2880352,-3.1330236,-11.443047
63.012603,-7.2919238,-3.1317933,-11.452054
64.012803,-7.2958123,-3.1305599,-11.461065
65.013003,-7.2997008,-3.1293233,-11.470078
66.013203,-7.3035893,-3.1280835,-11.479095
67.013403,-7.3074778,-3.1268406,-11.488115
68.013603,-7.3113663,-3.1255946,-11.497138
69.013803,-7.3152548,-3.1243455,-11.506164
70.014003,-7.3191434,-3.1230932,-11.515193
71.014203,-7.3230319,-3.1218379,-11.524226
72.014403,-7.3269204,-3.1205795,-11.533261
73.014603,-7.3308089,-3.1193181,-11.5423
74.014803,-7.3346974,-3.1180535,-11.551341
75.015003,-7.3385859,-3.116786,-11.560386
76.015203,-7.3424745,-3.1155154,-11.569434
77.015403,-7.346363,-3.1142418,-11.578484
78.015603,-7.3502515,-3.1129651,-11.587538
79.015803,-7.35414,-3.1116855,-11.596595
80.016003,-7.3580285,-3.1104029,-11.605654
81.016203,-7.361917,-3.1091173,-11.614717
82.016403,-7.3658055,-3.1078287,-11.623782
83.016603,-7.3696941,-3.1065372,-11.632851
84.016803,-7.3735826,-3.1052427,-11.641922
85.017003,-7.3774711,-3.1039453,-11.650997
86.017203,-7.3813596,-3.102645,-11.660074
87.017403,-7.3852481,-3.1013417,-11.669155
88.017604,-7.3891366,-3.1000356,-11.678238
89.017804,-7.3930252,-3.0987265,-11.687324
90.018004,-7.3969137,-3.0974146,-11.696413
91.018204,-7.4008022,-3.0960998,-11.705505
92.018404,-7.4046907,-3.0947821,-11.714599
93.018604,-7.4085792,-3.0934616,-11.723697
94.018804,-7.4114763,-3.0901978,-11.732755
95.019004,-7.3627175,-2.9856355,-11.739799
96.019204,-7.3139587,-2.8806907,-11.747227
97.019404,-7.2651999,-2.7753776,-11.755022
98.019604,-7.2164411,-2.6697101,-11.763172
99.019804,-7.1676824,-2.5637013,-11.771663
100.02,-7.1189236,-2.4573637,-11.780483
101.0202,-7.0701648,-2.3507094,-11.78962
102.0204,-7.021406,-2.2437499,-11.799062
103.0206,-6.9726473,-2.1364962,-11.808798
104.0208,-6.9238885,-2.0289588,-11.818818
105.021,-6.8751297,-1.9211479,-11.829111
106.0212,-6.8263709,-1.8130732,-11.839669
107.0214,-6.7776121,-1.7047438,-11.85048
108.0216,-6.7288534,-1.5961687,-11.861538
109.0218,-6.6800946,-1.4873563,-11.872833
110.022,-6.6310041,-1.3782593,-11.883749
111.0222,-6.5671695,-1.2665789,-11.86776
112.0224,-6.5033349,-1.1548886,-11.851781
113.0226,-6.4395002,-1.0431885,-11.835812
114.0228,-6.3756656,-0.93147898,-11.819852
115.023,-6.311831,-0.81976018,-11.803902
116.0232,-6.2479963,-0.70803238,-11.78796
117.0234,-6.1841617,-0.5962958,-11.772028
118.0236,-6.120327,-0.48455069,-11.756103
119.0238,-6.0564924,-0.37279724,-11.740188
120.024,-5.9926578,-0.26103567,-11.72428
121.0242,-5.9288231,-0.14926618,-11.70838
122.0244,-5.8649885,-0.037488971,-11.692488
123.0246,-5.8011538,0.074295775,-11.676603
124.0248,-5.7373192,0.18608787,-11.660726
125.02501,-5.6734846,0.29788714,-11.644856
126.02521,-5.6096499,0.40969342,-11.628993
127.02541,-5.5458153,0.52150653,-11.613137
128.02561,-5.4819807,0.63332632,-11.597288
129.02581,-5.418146,0.74515262,-11.581445
130.02601,-5.3543114,0.8569853,-11.565608
131.02621,-5.2904767,0.9688242,-11.549778
132.02641,-5.2266421,1.0806692,-11.533953
133.02661,-5.1628075,1.1925201,-11.518135
134.02681,-5.0989728,1.3043768,-11.502322
135.02701,-5.0351382,1.4162392,-11.486516
136.02721,-4.9713035,1.5281072,-11.470714
137.02741,-4.9074689,1.6399806,-11.454918
138.02761,-4.8436343,1.7518593,-11.439128
139.02781,-4.7797996,1.8637432,-11.423342
140.02801,-4.715965,1.9756322,-11.407562
141.02821,-4.6521304,2.0875261,-11.391787
142.02841,-4.5882957,2.199425,-11.376016
143.02861,-4.5244611,2.3113286,-11.360251
144.02881,-4.4606264,2.4232368,-11.34449
145.02901,-4.3967918,2.5351497,-11.328733
146.02921,-4.3329572,2.647067,-11.312981
147.02941,-4.2691225,2.7589887,-11.297234
148.02961,-4.2052879,2.8709147,-11.28149
149.02981,-4.1414532,2.9828449,-11.265751
150.03001,-4.0776186,3.0947792,-11.250016
151.03021,-4.013784,3.2067176,-11.234286
152.03041,-3.9499493,3.3186599,-11.218559
153.03061,-3.8861147,3.4306061,-11.202836
154.03081,-3.82228,3.5425562,-11.187116
155.03101,-3.7584454,3.6545099,-11.171401
156.03121,-3.6946108,3.7664673,-11.155689
157.03141,-3.6307761,3.8784283,-11.139981
158.03161,-3.5669415,3.9903928,-11.124276
159.03181,-3.5031069,4.1023608,-11.108575
160.03201,-3.4392722,4.2143322,-11.092877
161.03221,-3.3754376,4.3263069,-11.077182
162.03241,-3.3116029,4.4382848,-11.061491
163.03261,-3.2477683,4.550266,-11.045803
164.03281,-3.1839337,4.6622503,-11.030118
165.03301,-3.120099,4.7742377,-11.014436
166.03321,-3.0562644,4.8862281,-10.998757
167.03341,-2.9924297,4.9982215,-10.983081
168.03361,-2.9285951,5.1102178,-10.967408
169.03381,-2.8647605,5.222217,-10.951738
170.03401,-2.8009258,5.334219,-10.936071
171.03421,-2.7370912,5.4462238,-10.920406
172.03441,-2.6732566,5.5582313,-10.904744
173.03461,-2.6094219,5.6702415,-10.889085
174.03481,-2.5455873,5.7822543,-10.873429
175.03501,-2.4817526,5.8942697,-10.857775
176.03521,-2.417918,6.0062876,-10.842124
177.03541,-2.3540834,6.118308,-10.826475
178.03561,-2.2902487,6.2303308,-10.810828
179.03581,-2.2264141,6.3423561,-10.795184
180.03601,-2.1625794,6.4543838,-10.779543
181.03621,-2.0987448,6.5664137,-10.763903
182.03641,-2.0349102,6.678446,-10.748266
183.03661,-1.9710755,6.7904805,-10.732632
184.03681,-1.9072409,6.9025173,-10.716999
185.03701,-1.8434062,7.0145562,-10.701369
186.03721,-1.7795716,7.1265972,-10.68574
187.03741,-1.715737,7.2386404,-10.670114
188.03761,-1.6519023,7.3506857,-10.65449
189.03781,-1.5880677,7.462733,-10.638868
190.03801,-1.5242331,7.5747823,-10.623248
191.03821,-1.4603984,7.6868335,-10.60763
192.03841,-1.3965638,7.7988868,-10.592014
193.03861,-1.3327291,7.9109419,-10.5764
194.03881,-1.2688945,8.022999,-10.560788
195.03901,-1.2050599,8.1350579,-10.545178
196.03921,-1.1412252,8.2471186,-10.529569
197.03941,-1.0773906,8.3591811,-10.513962
198.03961,-1.0135559,8.4712454,-10.498357
199.03981,-0.94972131,8.5833115,-10.482754
200.04001,-0.88588667,8.6953792,-10.467153
201.04021,-0.82205203,8.8074487,-10.451553
202.04041,-0.75821739,8.9195198,-10.435955
203.04061,-0.69438275,9.0315926,-10.420358
204.04081,-0.62608015,9.1513911,-10.403551
205.04101,-0.4531038,9.4525006,-10.358708
206.04121,-0.28012744,9.7542715,-10.314526
207.04141,-0.10715109,10.056679,-10.270981
208.04161,0.065825258,10.359698,-10.228048
209.04181,0.23880161,10.663307,-10.185704
210.04201,0.41177796,10.967484,-10.143928
211.04221,0.58475431,11.272207,-10.102698
212.04241,0.75773066,11.577457,-10.061995
213.04261,0.93070701,11.883214,-10.0218
214.04281,1.1036834,12.189461,-9.9820941
215.04301,1.2766597,12.496179,-9.94286
216.04321,1.4496361,12.803353,-9.9040811
217.04341,1.6226124,13.110966,-9.8657414
218.04361,1.7955888,13.419003,-9.8278258
219.04381,1.9706564,13.727178,-9.7858653
220.04401,2.1913446,14.029622,-9.646933
221.04421,2.4120328,14.332072,-9.5080063
222.04441,2.632721,14.634527,-9.3690851
223.04461,2.8534092,14.936988,-9.2301693
224.04481,3.0740974,15.239453,-9.0912587
225.04501,3.2947855,15.541924,-8.9523533
226.04521,3.5154737,15.8444,-8.813453
227.04541,3.7361619,16.146881,-8.6745576
228.04561,3.9568501,16.449367,-8.5356671
229.04581,4.1775383,16.751858,-8.3967813
230.04601,4.3982265,17.054353,-8.2579002
231.04621,4.6189146,17.356853,-8.1190237
232.04641,4.8396028,17.659357,-7.9801517
233.04661,5.060291,17.961866,-7.8412841
234.04681,5.2809792,18.264379,-7.7024209
235.04701,5.5016674,18.566897,-7.5635619
236.04721,5.7223555,18.869418,-7.424707
237.04741,5.9430437,19.171944,-7.2858562
238.04761,6.1637319,19.474473,-7.1470095
239.04781,6.3844201,19.777007,-7.0081667
240.04801,6.6051083,20.079544,-6.8693277
241.04821,6.8257965,20.382086,-6.7304926
242.04841,7.0464846,20.68463,-6.5916612
243.04861,7.2671728,20.987179,-6.4528334
244.04881,7.487861,21.289731,-6.3140093
245.04901,7.7085492,21.592287,-6.1751887
246.04921,7.9292374,21.894846,-6.0363715
247.04941,8.1499256,22.197409,-5.8975578
248.04961,8.3706137,22.499975,-5.7587474
249.04981,8.5913019,22.802544,-5.6199403
250.05001,8.8119901,23.105117,-5.4811365
251.05021,9.0326783,23.407692,-5.3423358
252.05041,9.2533665,23.710271,-5.2035382
253.05061,9.4740547,24.012853,-5.0647438
254.05081,9.6947428,24.315438,-4.9259523
255.05101,9.915431,24.618026,-4.7871639
256.05121,10.136119,24.920617,-4.6483783
257.05141,10.356807,25.22321,-4.5095957
258.05161,10.577496,25.525807,-4.3708158
259.05181,10.798184,25.828406,-4.2320387
260.05201,11.018872,26.131008,-4.0932644
261.05221,11.23956,26.433613,-3.9544928
262.05241,11.460248,26.73622,-3.8157238
263.05261,11.680936,27.03883,-3.6769574
264.05281,11.901625,27.341443,-3.5381936
265.05301,12.122313,27.644058,-3.3994323
266.05321,12.343001,27.946676,-3.2606735
267.05341,12.563689,28.249296,-3.1219172
268.05361,12.784377,28.551918,-2.9831632
269.05381,13.005066,28.854543,-2.8444117
270.05401,13.225754,29.15717,-2.7056624
271.05421,13.446442,29.459799,-2.5669155
272.05441,13.66713,29.762431,-2.4281708
273.05461,13.887818,30.065065,-2.2894283
274.05481,14.108506,30.367701,-2.1506881
275.05501,14.329195,30.670339,-2.01195
276.05521,14.549883,30.97298,-1.873214
277.05541,14.770571,31.275622,-1.7344801
278.05561,14.991259,31.578267,-1.5957483
279.05581,15.211947,31.880913,-1.4570186
