Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,0.1990632,8.534574,-8.136447
5.005005,0.3740684,8.816596,-8.068459
10.01001,0.5490736,9.104044,-8.005897
15.01502,0.7240788,9.396707,-7.948549
20.02002,0.899084,9.694375,-7.896207
25.02503,1.074089,9.996843,-7.848664
30.03003,1.249094,10.30391,-7.805718
35.03504,1.4241,10.61537,-7.76717
40.04004,1.599105,10.93104,-7.732827
45.04505,1.77411,11.25072,-7.702502
50.05005,1.949115,11.57425,-7.676015
55.05506,2.12412,11.90143,-7.653189
60.06006,2.299126,12.23211,-7.633857
65.06507,2.474131,12.56612,-7.617857
70.07007,2.649136,12.90331,-7.605035
75.07508,2.824141,13.24352,-7.595241
80.08008,2.999147,13.58663,-7.588334
85.08509,3.174152,13.93248,-7.584179
90.09009,3.349157,14.28096,-7.582646
95.0951,3.524162,14.63194,-7.583613
100.1001,3.699167,14.9853,-7.586963
105.1051,3.874173,15.34093,-7.592584
110.1101,4.049178,15.69873,-7.600371
115.1151,4.224183,16.05859,-7.610224
120.1201,4.399188,16.42042,-7.622047
125.1251,4.587604,16.79935,-7.624143
130.1301,5.299032,17.77604,-7.177976
135.1351,6.010461,18.75932,-6.738403
140.1401,6.721889,19.74879,-6.305011
145.1451,7.433317,20.74405,-5.877415
150.1502,8.144746,21.74474,-5.45525
155.1552,8.856174,22.75052,-5.038177
160.1602,9.567602,23.76108,-4.62588
165.1652,10.27903,24.77612,-4.218063
170.1702,10.99046,25.79537,-3.81445
175.1752,11.70189,26.81856,-3.414785
180.1802,12.41332,27.84546,-3.018828
185.1852,13.12474,28.87584,-2.626357
190.1902,13.83617,29.90951,-2.237163
195.1952,14.5476,30.94626,-1.851054
200.2002,15.25903,31.98591,-1.46785
205.2052,15.97046,33.0283,-1.087384
210.2102,16.68189,34.07327,-0.7094975
215.2152,17.39331,35.12067,-0.3340466
220.2202,18.10474,36.17038,0.03910505
225.2252,18.81617,37.22226,0.4100842
230.2302,19.5276,38.27619,0.7790091
235.2352,20.3214,39.46169,1.181115
240.2402,21.74023,41.18228,2.298191
