Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
0,-7.124702,-3.1816739,-11.06773
1.0002,-7.1285906,-3.180588,-11.076593
2.0004001,-7.1324791,-3.1794985,-11.08546
3.0006001,-7.1363676,-3.1784052,-11.09433
4.0008002,-7.1402561,-3.1773083,-11.103204
5.0010002,-7.1441446,-3.1762077,-11.112082
6.0012002,-7.1480331,-3.1751034,-11.120963
7.0014003,-7.1519217,-3.1739955,-11.129848
8.0016003,-7.1558102,-3.172884,-11.138736
9.0018004,-7.1596987,-3.1717689,-11.147628
10.002,-7.1635872,-3.1706501,-11.156524
11.0022,-7.1674757,-3.1695278,-11.165424
12.0024,-7.1713642,-3.1684019,-11.174327
13.002601,-7.1752527,-3.1672725,-11.183233
14.002801,-7.1791413,-3.1661395,-11.192143
15.003001,-7.1830298,-3.165003,-11.201057
16.003201,-7.1869183,-3.1638629,-11.209974
17.003401,-7.1908068,-3.1627194,-11.218894
18.003601,-7.1946953,-3.1615723,-11.227818
19.003801,-7.1985838,-3.1604218,-11.236746
20.004001,-7.2024724,-3.1592678,-11.245677
21.004201,-7.2063609,-3.1581104,-11.254611
22.004401,-7.2102494,-3.1569495,-11.263549
23.004601,-7.2141379,-3.1557852,-11.272491
24.004801,-7.2180264,-3.1546174,-11.281435
25.005001,-7.2219149,-3.1534463,-11.290384
26.005201,-7.2258034,-3.1522718,-11.299335
27.005401,-7.229692,-3.1510939,-11.30829
28.005601,-7.2335805,-3.1499126,-11.317248
29.005801,-7.237469,-3.148728,-11.32621
30.006001,-7.2413575,-3.14754,-11.335175
31.006201,-7.245246,-3.1463487,-11.344143
32.006401,-7.2491345,-3.1451541,-11.353115
33.006601,-7.253023,-3.1439562,-11.36209
34.006801,-7.2569116,-3.142755,-11.371068
35.007001,-7.2608001,-3.1415506,-11.38005
36.007201,-7.2646886,-3.1403428,-11.389034
37.007401,-7.2685771,-3.1391318,-11.398022
38.007602,-7.2724656,-3.1379176,-11.407014
39.007802,-7.2763541,-3.1367002,-11.416008
40.008002,-7.2802427,-3.1354795,-11.425006
41.008202,-7.2841312,-3.1342556,-11.434007
42.008402,-7.2880197,-3.1330285,-11.443011
43.008602,-7.2919082,-3.1317982,-11.452018
44.008802,-7.2957967,-3.1305648,-11.461029
45.009002,-7.2996852,-3.1293282,-11.470042
46.009202,-7.3035737,-3.1280885,-11.479059
47.009402,-7.3074623,-3.1268456,-11.488079
48.009602,-7.3113508,-3.1255996,-11.497102
49.009802,-7.3152393,-3.1243505,-11.506128
50.010002,-7.3191278,-3.1230983,-11.515157
51.010202,-7.3230163,-3.121843,-11.52419
52.010402,-7.3269048,-3.1205846,-11.533225
53.010602,-7.3307934,-3.1193231,-11.542264
54.010802,-7.3346819,-3.1180586,-11.551305
55.011002,-7.3385704,-3.1167911,-11.56035
56.011202,-7.3424589,-3.1155205,-11.569397
57.011402,-7.3463474,-3.1142469,-11.578448
58.011602,-7.3502359,-3.1129702,-11.587502
59.011802,-7.3541244,-3.1116906,-11.596558
60.012002,-7.358013,-3.110408,-11.605618
61.012202,-7.3619015,-3.1091224,-11.614681
62.012402,-7.36579,-3.1078339,-11.623746
63.012603,-7.3696785,-3.1065423,-11.632815
64.012803,-7.373567,-3.1052479,-11.641886
65.013003,-7.3774555,-3.1039505,-11.650961
66.013203,-7.3813441,-3.1026502,-11.660038
67.013403,-7.3852326,-3.1013469,-11.669118
68.013603,-7.3891211,-3.1000408,-11.678201
69.013803,-7.3930096,-3.0987318,-11.687287
70.014003,-7.3968981,-3.0974198,-11.696376
71.014203,-7.4007866,-3.096105,-11.705468
72.014403,-7.4046751,-3.0947874,-11.714563
73.014603,-7.4085637,-3.0934669,-11.72366
74.014803,-7.4116713,-3.0906153,-11.732727
75.015003,-7.3629125,-2.9860546,-11.73977
76.015203,-7.3141537,-2.8811112,-11.747196
77.015403,-7.265395,-2.7757996,-11.75499
78.015603,-7.2166362,-2.6701335,-11.763139
79.015803,-7.1678774,-2.564126,-11.771629
80.016003,-7.1191186,-2.4577897,-11.780448
81.016203,-7.0703598,-2.3511366,-11.789583
82.016403,-7.0216011,-2.2441783,-11.799024
83.016603,-6.9728423,-2.1369257,-11.808759
84.016803,-6.9240835,-2.0293895,-11.818778
85.017003,-6.8753247,-1.9215797,-11.82907
86.017203,-6.826566,-1.813506,-11.839626
87.017403,-6.7778072,-1.7051776,-11.850437
88.017604,-6.7290484,-1.5966035,-11.861493
89.017804,-6.6802896,-1.487792,-11.872787
90.018004,-6.6312595,-1.378706,-11.883813
91.018204,-6.5674248,-1.2670257,-11.867824
92.018404,-6.5035902,-1.1553354,-11.851845
93.018604,-6.4397556,-1.0436354,-11.835876
94.018804,-6.3759209,-0.93192584,-11.819916
95.019004,-6.3120863,-0.82020707,-11.803966
96.019204,-6.2482517,-0.70847931,-11.788024
97.019404,-6.184417,-0.59674277,-11.772091
98.019604,-6.1205824,-0.48499768,-11.756167
99.019804,-6.0567477,-0.37324427,-11.740251
100.02,-5.9929131,-0.26148273,-11.724343
101.0202,-5.9290785,-0.14971328,-11.708444
102.0204,-5.8652438,-0.037936095,-11.692552
103.0206,-5.8014092,0.073848621,-11.676667
104.0208,-5.7375745,0.18564069,-11.66079
105.021,-5.6737399,0.29743993,-11.64492
106.0212,-5.6099053,0.40924618,-11.629057
107.0214,-5.5460706,0.52105926,-11.613201
108.0216,-5.482236,0.63287902,-11.597351
109.0218,-5.4184014,0.74470531,-11.581508
110.022,-5.3545667,0.85653796,-11.565671
111.0222,-5.2907321,0.96837683,-11.549841
112.0224,-5.2268974,1.0802218,-11.534017
113.0226,-5.1630628,1.1920727,-11.518198
114.0228,-5.0992282,1.3039294,-11.502386
115.023,-5.0353935,1.4157918,-11.486579
116.0232,-4.9715589,1.5276597,-11.470777
117.0234,-4.9077242,1.6395331,-11.454982
118.0236,-4.8438896,1.7514118,-11.439191
119.0238,-4.780055,1.8632956,-11.423406
120.024,-4.7162203,1.9751846,-11.407625
121.0242,-4.6523857,2.0870786,-11.39185
122.0244,-4.588551,2.1989774,-11.376079
123.0246,-4.5247164,2.310881,-11.360314
124.0248,-4.4608818,2.4227892,-11.344553
125.02501,-4.3970471,2.534702,-11.328796
126.02521,-4.3332125,2.6466193,-11.313044
127.02541,-4.2693779,2.758541,-11.297297
128.02561,-4.2055432,2.870467,-11.281553
129.02581,-4.1417086,2.9823972,-11.265814
130.02601,-4.0778739,3.0943315,-11.250079
131.02621,-4.0140393,3.2062698,-11.234348
132.02641,-3.9502047,3.3182121,-11.218621
133.02661,-3.88637,3.4301583,-11.202898
134.02681,-3.8225354,3.5421083,-11.187179
135.02701,-3.7587007,3.6540621,-11.171464
136.02721,-3.6948661,3.7660195,-11.155752
137.02741,-3.6310315,3.8779805,-11.140043
138.02761,-3.5671968,3.989945,-11.124339
139.02781,-3.5033622,4.1019129,-11.108637
140.02801,-3.4395276,4.2138843,-11.092939
141.02821,-3.3756929,4.325859,-11.077245
142.02841,-3.3118583,4.4378369,-11.061553
143.02861,-3.2480236,4.5498181,-11.045865
144.02881,-3.184189,4.6618024,-11.03018
145.02901,-3.1203544,4.7737897,-11.014498
146.02921,-3.0565197,4.8857801,-10.99882
147.02941,-2.9926851,4.9977735,-10.983144
148.02961,-2.9288504,5.1097698,-10.967471
149.02981,-2.8650158,5.221769,-10.951801
150.03001,-2.8011812,5.333771,-10.936133
151.03021,-2.7373465,5.4457758,-10.920469
152.03041,-2.6735119,5.5577833,-10.904807
153.03061,-2.6096773,5.6697934,-10.889148
154.03081,-2.5458426,5.7818062,-10.873491
155.03101,-2.482008,5.8938216,-10.857838
156.03121,-2.4181733,6.0058395,-10.842186
157.03141,-2.3543387,6.1178599,-10.826537
158.03161,-2.2905041,6.2298827,-10.810891
159.03181,-2.2266694,6.341908,-10.795247
160.03201,-2.1628348,6.4539356,-10.779605
161.03221,-2.0990001,6.5659656,-10.763966
162.03241,-2.0351655,6.6779979,-10.748329
163.03261,-1.9713309,6.7900324,-10.732694
164.03281,-1.9074962,6.9020691,-10.717062
165.03301,-1.8436616,7.014108,-10.701431
166.03321,-1.7798269,7.1261491,-10.685803
167.03341,-1.7159923,7.2381922,-10.670177
168.03361,-1.6521577,7.3502375,-10.654553
169.03381,-1.588323,7.4622848,-10.638931
170.03401,-1.5244884,7.5743341,-10.623311
171.03421,-1.4606538,7.6863853,-10.607693
172.03441,-1.3968191,7.7984386,-10.592077
173.03461,-1.3329845,7.9104937,-10.576463
174.03481,-1.2691498,8.0225507,-10.56085
175.03501,-1.2053152,8.1346096,-10.54524
176.03521,-1.1414806,8.2466703,-10.529631
177.03541,-1.0776459,8.3587329,-10.514025
178.03561,-1.0138113,8.4707971,-10.49842
179.03581,-0.94997665,8.5828632,-10.482816
180.03601,-0.88614201,8.694931,-10.467215
181.03621,-0.82230737,8.8070004,-10.451615
182.03641,-0.75847273,8.9190715,-10.436017
183.03661,-0.69463809,9.0311443,-10.42042
184.03681,-0.62677205,9.150188,-10.403732
185.03701,-0.4537957,9.4512948,-10.358886
186.03721,-0.28081935,9.7530632,-10.314702
187.03741,-0.107843,10.055468,-10.271154
188.03761,0.065133352,10.358485,-10.228218
189.03781,0.2381097,10.662092,-10.185872
190.03801,0.41108605,10.966266,-10.144094
191.03821,0.58406241,11.270987,-10.102862
192.03841,0.75703876,11.576235,-10.062157
193.03861,0.93001511,11.88199,-10.02196
194.03881,1.1029915,12.188235,-9.982252
195.03901,1.2759678,12.494952,-9.943016
196.03921,1.4489442,12.802124,-9.9042353
197.03941,1.6219205,13.109735,-9.8658939
198.03961,1.7948969,13.41777,-9.8279766
199.03981,1.9697737,13.725968,-9.786421
200.04001,2.1904619,14.028412,-9.6474887
201.04021,2.4111501,14.330862,-9.508562
202.04041,2.6318382,14.633317,-9.3696408
203.04061,2.8525264,14.935778,-9.2307249
204.04081,3.0732146,15.238244,-9.0918143
205.04101,3.2939028,15.540714,-8.9529089
206.04121,3.514591,15.843191,-8.8140086
207.04141,3.7352792,16.145671,-8.6751132
208.04161,3.9559673,16.448157,-8.5362226
209.04181,4.1766555,16.750648,-8.3973368
210.04201,4.3973437,17.053143,-8.2584557
211.04221,4.6180319,17.355643,-8.1195792
212.04241,4.8387201,17.658147,-7.9807072
213.04261,5.0594082,17.960656,-7.8418396
214.04281,5.2800964,18.263169,-7.7029763
215.04301,5.5007846,18.565687,-7.5641173
216.04321,5.7214728,18.868208,-7.4252624
