Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.46 mm (kPa),Stress at 0.64 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.25 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.64 mm (kPa),Stress at 4.85 mm (kPa)
0,-2.214224,-1.9940149,-1.8892966,-1.7432789,-1.557745,-1.3358004,-1.1999118,-1.0309825,-0.86890098,-0.68793889,-0.55578158,-0.41323397,-0.27555894,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.264252,-2.0390676,-1.9319832,-1.7826664,-1.5929406,-1.3659813,-1.2270225,-1.0542765,-0.88853287,-0.70348213,-0.56833887,-0.42257056,-0.2817849,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.3142801,-2.0841202,-1.9746698,-1.822054,-1.6281361,-1.3961623,-1.2541332,-1.0775704,-0.90816477,-0.71902538,-0.58089617,-0.43190714,-0.28801086,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.3643081,-2.1291728,-2.0173565,-1.8614415,-1.6633317,-1.4263433,-1.281244,-1.1008644,-0.92779666,-0.73456862,-0.59345346,-0.44124372,-0.29423682,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.4143361,-2.1742255,-2.0600431,-1.900829,-1.6985273,-1.4565243,-1.3083547,-1.1241583,-0.94742855,-0.75011187,-0.60601075,-0.4505803,-0.30046278,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.4643641,-2.2192781,-2.1027298,-1.9402165,-1.7337229,-1.4867053,-1.3354654,-1.1474523,-0.96706044,-0.76565512,-0.61856804,-0.45991688,-0.30668874,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.5143922,-2.2643308,-2.1454164,-1.9796041,-1.7689185,-1.5168863,-1.3625761,-1.1707462,-0.98669233,-0.78119836,-0.63112533,-0.46925346,-0.3129147,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.5644202,-2.3093834,-2.188103,-2.0189916,-1.8041141,-1.5470672,-1.3896869,-1.1940402,-1.0063242,-0.79674161,-0.64368263,-0.47859004,-0.31914066,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.6144482,-2.354436,-2.2307897,-2.0583791,-1.8393097,-1.5772482,-1.4167976,-1.2173341,-1.0259561,-0.81228485,-0.65623992,-0.48792662,-0.32536662,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.6644763,-2.3994887,-2.2734763,-2.0977666,-1.8745052,-1.6074292,-1.4439083,-1.2406281,-1.045588,-0.8278281,-0.66879721,-0.4972632,-0.33159258,0,0,0,0,0,0,0,0,0,0,0,0
10,-2.7145043,-2.4445413,-2.316163,-2.1371542,-1.9097008,-1.6376102,-1.4710191,-1.263922,-1.0652199,-0.84337134,-0.6813545,-0.50659978,-0.33781854,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.7645323,-2.489594,-2.3588496,-2.1765417,-1.9448964,-1.6677912,-1.4981298,-1.287216,-1.0848518,-0.85891459,-0.6939118,-0.51593637,-0.3440445,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.8145604,-2.5346466,-2.4015362,-2.2159292,-1.980092,-1.6979722,-1.5252405,-1.3105099,-1.1044837,-0.87445783,-0.70646909,-0.52527295,-0.35027046,0,0,0,0,0,0,0,0,0,0,0,0
13,-2.8645884,-2.5796992,-2.4442229,-2.2553168,-2.0152876,-1.7281532,-1.5523512,-1.3338039,-1.1241156,-0.89000108,-0.71902638,-0.53460953,-0.35649642,0,0,0,0,0,0,0,0,0,0,0,0
14,-2.9146164,-2.6247519,-2.4869095,-2.2947043,-2.0504832,-1.7583341,-1.579462,-1.3570978,-1.1437475,-0.90554433,-0.73158367,-0.54394611,-0.36272239,0,0,0,0,0,0,0,0,0,0,0,0
15,-2.9646444,-2.6698045,-2.5295962,-2.3340918,-2.0856788,-1.7885151,-1.6065727,-1.3803918,-1.1633794,-0.92108757,-0.74414096,-0.55328269,-0.36894835,0,0,0,0,0,0,0,0,0,0,0,0
16,-3.0146725,-2.7148572,-2.5722828,-2.3734793,-2.1208744,-1.8186961,-1.6336834,-1.4036857,-1.1830112,-0.93663082,-0.75669826,-0.56261927,-0.37517431,0,0,0,0,0,0,0,0,0,0,0,0
17,-3.0647005,-2.7599098,-2.6149694,-2.4128669,-2.1560699,-1.8488771,-1.6607941,-1.4269797,-1.2026431,-0.95217406,-0.76925555,-0.57195585,-0.38140027,0,0,0,0,0,0,0,0,0,0,0,0
18,-3.1147285,-2.8049624,-2.6576561,-2.4522544,-2.1912655,-1.8790581,-1.6879049,-1.4502736,-1.222275,-0.96771731,-0.78181284,-0.58129243,-0.38762623,0,0,0,0,0,0,0,0,0,0,0,0
19,-3.1647566,-2.8500151,-2.7003427,-2.4916419,-2.2264611,-1.9092391,-1.7150156,-1.4735676,-1.2419069,-0.98326055,-0.79437013,-0.59062901,-0.39385219,0,0,0,0,0,0,0,0,0,0,0,0
20,-3.2147846,-2.8950677,-2.7430294,-2.5310294,-2.2616567,-1.93942,-1.7421263,-1.4968615,-1.2615388,-0.9988038,-0.80692743,-0.59996559,-0.40007815,0,0,0,0,0,0,0,0,0,0,0,0
21,-3.2648126,-2.9401204,-2.785716,-2.570417,-2.2968523,-1.969601,-1.7692371,-1.5201555,-1.2811707,-1.014347,-0.81948472,-0.60930218,-0.40630411,0,0,0,0,0,0,0,0,0,0,0,0
22,-3.3148407,-2.985173,-2.8284026,-2.6098045,-2.3320479,-1.999782,-1.7963478,-1.5434494,-1.3008026,-1.0298903,-0.83204201,-0.61863876,-0.41253007,0,0,0,0,0,0,0,0,0,0,0,0
23,-3.3648687,-3.0302256,-2.8710893,-2.649192,-2.3672435,-2.029963,-1.8234585,-1.5667434,-1.3204345,-1.0454335,-0.8445993,-0.62797534,-0.41875603,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.4148967,-3.0752783,-2.9137759,-2.6885796,-2.402439,-2.060144,-1.8505692,-1.5900373,-1.3400664,-1.0609768,-0.85715659,-0.63731192,-0.42498199,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.4649247,-3.1203309,-2.9564626,-2.7279671,-2.4376346,-2.090325,-1.87768,-1.6133313,-1.3596983,-1.07652,-0.86971389,-0.6466485,-0.43120795,0,0,0,0,0,0,0,0,0,0,0,0
26,-3.5149528,-3.1653836,-2.9991492,-2.7673546,-2.4728302,-2.120506,-1.9047907,-1.6366252,-1.3793302,-1.0920633,-0.88227118,-0.65598508,-0.43743391,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.5649808,-3.2104362,-3.0418359,-2.8067421,-2.5080258,-2.1506869,-1.9319014,-1.6599192,-1.398962,-1.1076065,-0.89482847,-0.66532166,-0.44365987,0,0,0,0,0,0,0,0,0,0,0,0
28,-3.6150088,-3.2554888,-3.0845225,-2.8461297,-2.5432214,-2.1808679,-1.9590121,-1.6832131,-1.4185939,-1.1231498,-0.90738576,-0.67465824,-0.44988583,0,0,0,0,0,0,0,0,0,0,0,0
29,-3.6650369,-3.3005415,-3.1272091,-2.8855172,-2.578417,-2.2110489,-1.9861229,-1.7065071,-1.4382258,-1.138693,-0.91994305,-0.68399482,-0.45611179,0,0,0,0,0,0,0,0,0,0,0,0
30,-3.7150649,-3.3455941,-3.1698958,-2.9249047,-2.6136126,-2.2412299,-2.0132336,-1.729801,-1.4578577,-1.1542363,-0.93250035,-0.6933314,-0.46233775,0,0,0,0,0,0,0,0,0,0,0,0
31,-3.7650929,-3.3906468,-3.2125824,-2.9642923,-2.6488081,-2.2714109,-2.0403443,-1.753095,-1.4774896,-1.1697795,-0.94505764,-0.70266799,-0.46856371,0,0,0,0,0,0,0,0,0,0,0,0
32,-3.7833415,-3.4070805,-3.2281531,-2.9786595,-2.6616463,-2.2824199,-2.0502334,-1.7615919,-1.4846507,-1.1754492,-0.94963812,-0.70607366,-0.47083474,0,0,0,0,0,0,0,0,0,0,0,0
33,-3.8015857,-3.4235103,-3.24372,-2.9930233,-2.6744814,-2.2934263,-2.0601201,-1.7700867,-1.49181,-1.1811175,-0.95421751,-0.70947852,-0.47310522,0,0,0,0,0,0,0,0,0,0,0,0
34,-3.8198299,-3.43994,-3.259287,-3.0073872,-2.6873166,-2.3044327,-2.0700069,-1.7785815,-1.4989694,-1.1867858,-0.9587969,-0.71288338,-0.4753757,0,0,0,0,0,0,0,0,0,0,0,0
35,-3.8380741,-3.4563698,-3.2748539,-3.021751,-2.7001517,-2.3154391,-2.0798936,-1.7870763,-1.5061287,-1.1924541,-0.96337629,-0.71628824,-0.47764618,0,0,0,0,0,0,0,0,0,0,0,0
36,-3.8563183,-3.4727996,-3.2904209,-3.0361148,-2.7129868,-2.3264455,-2.0897803,-1.7955712,-1.5132881,-1.1981224,-0.96795568,-0.7196931,-0.47991666,0,0,0,0,0,0,0,0,0,0,0,0
37,-3.8745625,-3.4892294,-3.3059878,-3.0504787,-2.7258219,-2.3374518,-2.0996671,-1.804066,-1.5204474,-1.2037907,-0.97253507,-0.72309796,-0.48218714,0,0,0,0,0,0,0,0,0,0,0,0
38,-3.8928067,-3.5056592,-3.3215548,-3.0648425,-2.738657,-2.3484582,-2.1095538,-1.8125608,-1.5276068,-1.209459,-0.97711445,-0.72650283,-0.48445762,0,0,0,0,0,0,0,0,0,0,0,0
39,-3.9110509,-3.5220889,-3.3371217,-3.0792063,-2.7514921,-2.3594646,-2.1194405,-1.8210557,-1.5347661,-1.2151273,-0.98169384,-0.72990769,-0.4867281,0,0,0,0,0,0,0,0,0,0,0,0
40,-3.9292951,-3.5385187,-3.3526887,-3.0935701,-2.7643272,-2.370471,-2.1293273,-1.8295505,-1.5419255,-1.2207956,-0.98627323,-0.73331255,-0.48899858,0,0,0,0,0,0,0,0,0,0,0,0
41,-3.9475393,-3.5549485,-3.3682556,-3.107934,-2.7771624,-2.3814774,-2.139214,-1.8380453,-1.5490848,-1.2264639,-0.99085262,-0.73671741,-0.49126906,0,0,0,0,0,0,0,0,0,0,0,0
42,-3.9657835,-3.5713783,-3.3838226,-3.1222978,-2.7899975,-2.3924838,-2.1491007,-1.8465402,-1.5562442,-1.2321322,-0.99543201,-0.74012227,-0.49353954,0,0,0,0,0,0,0,0,0,0,0,0
43,-3.9840277,-3.5878081,-3.3993895,-3.1366616,-2.8028326,-2.4034902,-2.1589874,-1.855035,-1.5634035,-1.2378005,-1.0000114,-0.74352713,-0.49581003,0,0,0,0,0,0,0,0,0,0,0,0
44,-4.0022719,-3.6042378,-3.4149565,-3.1510255,-2.8156677,-2.4144966,-2.1688742,-1.8635298,-1.5705629,-1.2434688,-1.0045908,-0.74693199,-0.49808051,0,0,0,0,0,0,0,0,0,0,0,0
45,-4.0205161,-3.6206676,-3.4305234,-3.1653893,-2.8285028,-2.425503,-2.1787609,-1.8720246,-1.5777222,-1.2491371,-1.0091702,-0.75033685,-0.50035099,0,0,0,0,0,0,0,0,0,0,0,0
