Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
0,-96.06025,0,0,0,0,0,-37.085527,-48.851453,0,0,0,0,0,0
1,-96.051753,0,0,0,0,0,-37.082246,-48.847132,0,0,0,0,0,0
2,-96.043255,0,0,0,0,0,-37.078965,-48.84281,0,0,0,0,0,0
3,-96.034757,0,0,0,0,0,-37.075685,-48.838489,0,0,0,0,0,0
4,-96.02626,0,0,0,0,0,-37.072404,-48.834167,0,0,0,0,0,0
5,-96.017762,0,0,0,0,0,-37.069123,-48.829846,0,0,0,0,0,0
6,-96.009264,0,0,0,0,0,-37.065843,-48.825524,0,0,0,0,0,0
7,-96.000767,0,0,0,0,0,-37.062562,-48.821203,0,0,0,0,0,0
8,-95.992269,0,0,0,0,0,-37.059282,-48.816881,0,0,0,0,0,0
9,-95.983771,0,0,0,0,0,-37.056001,-48.81256,0,0,0,0,0,0
10,-95.975274,0,0,0,0,0,-37.05272,-48.808238,0,0,0,0,0,0
11,-95.966776,0,0,0,0,0,-37.04944,-48.803917,0,0,0,0,0,0
12,-95.958278,0,0,0,0,0,-37.046159,-48.799595,0,0,0,0,0,0
13,-95.949781,0,0,0,0,0,-37.042878,-48.795274,0,0,0,0,0,0
14,-95.941283,0,0,0,0,0,-37.039598,-48.790952,0,0,0,0,0,0
15,-95.932785,0,0,0,0,0,-37.036317,-48.786631,0,0,0,0,0,0
16,-95.924287,0,0,0,0,0,-37.033036,-48.782309,0,0,0,0,0,0
17,-95.91579,0,0,0,0,0,-37.029756,-48.777988,0,0,0,0,0,0
18,-95.907292,0,0,0,0,0,-37.026475,-48.773666,0,0,0,0,0,0
19,-95.898794,0,0,0,0,0,-37.023194,-48.769345,0,0,0,0,0,0
20,-95.890297,0,0,0,0,0,-37.019914,-48.765023,0,0,0,0,0,0
21,-95.881799,0,0,0,0,0,-37.016633,-48.760702,0,0,0,0,0,0
22,-95.873301,0,0,0,0,0,-37.013352,-48.75638,0,0,0,0,0,0
23,-95.864804,0,0,0,0,0,-37.010072,-48.752059,0,0,0,0,0,0
24,-95.856306,0,0,0,0,0,-37.006791,-48.747737,0,0,0,0,0,0
25,-95.847808,0,0,0,0,0,-37.00351,-48.743416,0,0,0,0,0,0
26,-95.839311,0,0,0,0,0,-37.00023,-48.739094,0,0,0,0,0,0
27,-95.830813,0,0,0,0,0,-36.996949,-48.734773,0,0,0,0,0,0
28,-95.822315,0,0,0,0,0,-36.993668,-48.730451,0,0,0,0,0,0
29,-95.813818,0,0,0,0,0,-36.990388,-48.72613,0,0,0,0,0,0
30,-95.80532,0,0,0,0,0,-36.987107,-48.721808,0,0,0,0,0,0
31,-95.796822,0,0,0,0,0,-36.983826,-48.717487,0,0,0,0,0,0
32,-95.788324,0,0,0,0,0,-36.980546,-48.713165,0,0,0,0,0,0
33,-95.779827,0,0,0,0,0,-36.977265,-48.708844,0,0,0,0,0,0
34,-95.771329,0,0,0,0,0,-36.973984,-48.704522,0,0,0,0,0,0
35,-95.762831,0,0,0,0,0,-36.970704,-48.700201,0,0,0,0,0,0
36,-95.754334,0,0,0,0,0,-36.967423,-48.695879,0,0,0,0,0,0
37,-95.745836,0,0,0,0,0,-36.964142,-48.691558,0,0,0,0,0,0
38,-95.737338,0,0,0,0,0,-36.960862,-48.687236,0,0,0,0,0,0
39,-95.728841,0,0,0,0,0,-36.957581,-48.682915,0,0,0,0,0,0
40,-95.720343,0,0,0,0,0,-36.9543,-48.678593,0,0,0,0,0,0
41,-95.711845,0,0,0,0,0,-36.95102,-48.674272,0,0,0,0,0,0
42,-95.703348,0,0,0,0,0,-36.947739,-48.66995,0,0,0,0,0,0
43,-95.69485,0,0,0,0,0,-36.944458,-48.665629,0,0,0,0,0,0
44,-95.686352,0,0,0,0,0,-36.941178,-48.661307,0,0,0,0,0,0
45,-95.677855,0,0,0,0,0,-36.937897,-48.656986,0,0,0,0,0,0
46,-95.669357,0,0,0,0,0,-36.934616,-48.652664,0,0,0,0,0,0
47,-95.660859,0,0,0,0,0,-36.931336,-48.648343,0,0,0,0,0,0
48,-95.652361,0,0,0,0,0,-36.928055,-48.644021,0,0,0,0,0,0
49,-95.643864,0,0,0,0,0,-36.924774,-48.6397,0,0,0,0,0,0
50,-95.635366,0,0,0,0,0,-36.921494,-48.635378,0,0,0,0,0,0
51,-95.626868,0,0,0,0,0,-36.918213,-48.631057,0,0,0,0,0,0
52,-95.618371,0,0,0,0,0,-36.914932,-48.626735,0,0,0,0,0,0
53,-95.609873,0,0,0,0,0,-36.911652,-48.622414,0,0,0,0,0,0
54,-95.601375,0,0,0,0,0,-36.908371,-48.618092,0,0,0,0,0,0
55,-95.592878,0,0,0,0,0,-36.90509,-48.613771,0,0,0,0,0,0
56,-95.58438,0,0,0,0,0,-36.90181,-48.609449,0,0,0,0,0,0
57,-95.575882,0,0,0,0,0,-36.898529,-48.605128,0,0,0,0,0,0
58,-95.567385,0,0,0,0,0,-36.895248,-48.600806,0,0,0,0,0,0
59,-95.558887,0,0,0,0,0,-36.891968,-48.596485,0,0,0,0,0,0
60,-95.550389,0,0,0,0,0,-36.888687,-48.592163,0,0,0,0,0,0
61,-95.541892,0,0,0,0,0,-36.885406,-48.587842,0,0,0,0,0,0
