Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
0,-2.214224,0,0,0,0,-0.83440116,-1.2359793,0,0,0,0,0
1,-2.264252,0,0,0,0,-0.85325357,-1.263905,0,0,0,0,0
2,-2.3142801,0,0,0,0,-0.87210597,-1.2918306,0,0,0,0,0
3,-2.3643081,0,0,0,0,-0.89095838,-1.3197562,0,0,0,0,0
4,-2.4143361,0,0,0,0,-0.90981078,-1.3476819,0,0,0,0,0
5,-2.4643641,0,0,0,0,-0.92866319,-1.3756075,0,0,0,0,0
6,-2.5143922,0,0,0,0,-0.94751559,-1.4035331,0,0,0,0,0
7,-2.5644202,0,0,0,0,-0.96636799,-1.4314588,0,0,0,0,0
8,-2.6144482,0,0,0,0,-0.9852204,-1.4593844,0,0,0,0,0
9,-2.6644763,0,0,0,0,-1.0040728,-1.48731,0,0,0,0,0
10,-2.7145043,0,0,0,0,-1.0229252,-1.5152357,0,0,0,0,0
11,-2.7645323,0,0,0,0,-1.0417776,-1.5431613,0,0,0,0,0
12,-2.8145604,0,0,0,0,-1.06063,-1.5710869,0,0,0,0,0
13,-2.8645884,0,0,0,0,-1.0794824,-1.5990126,0,0,0,0,0
14,-2.9146164,0,0,0,0,-1.0983348,-1.6269382,0,0,0,0,0
15,-2.9646444,0,0,0,0,-1.1171872,-1.6548638,0,0,0,0,0
16,-3.0146725,0,0,0,0,-1.1360396,-1.6827895,0,0,0,0,0
17,-3.0647005,0,0,0,0,-1.154892,-1.7107151,0,0,0,0,0
18,-3.1147285,0,0,0,0,-1.1737444,-1.7386408,0,0,0,0,0
19,-3.1647566,0,0,0,0,-1.1925968,-1.7665664,0,0,0,0,0
20,-3.2147846,0,0,0,0,-1.2114493,-1.794492,0,0,0,0,0
21,-3.2648126,0,0,0,0,-1.2303017,-1.8224177,0,0,0,0,0
22,-3.3148407,0,0,0,0,-1.2491541,-1.8503433,0,0,0,0,0
23,-3.3648687,0,0,0,0,-1.2680065,-1.8782689,0,0,0,0,0
24,-3.4148967,0,0,0,0,-1.2868589,-1.9061946,0,0,0,0,0
25,-3.4649247,0,0,0,0,-1.3057113,-1.9341202,0,0,0,0,0
26,-3.5149528,0,0,0,0,-1.3245637,-1.9620458,0,0,0,0,0
27,-3.5649808,0,0,0,0,-1.3434161,-1.9899715,0,0,0,0,0
28,-3.6150088,0,0,0,0,-1.3622685,-2.0178971,0,0,0,0,0
29,-3.6650369,0,0,0,0,-1.3811209,-2.0458227,0,0,0,0,0
30,-3.7150649,0,0,0,0,-1.3999733,-2.0737484,0,0,0,0,0
31,-3.7650929,0,0,0,0,-1.4188257,-2.101674,0,0,0,0,0
32,-3.7833415,0,0,0,0,-1.4257024,-2.1118604,0,0,0,0,0
33,-3.8015857,0,0,0,0,-1.4325775,-2.1220443,0,0,0,0,0
34,-3.8198299,0,0,0,0,-1.4394526,-2.1322282,0,0,0,0,0
35,-3.8380741,0,0,0,0,-1.4463277,-2.1424121,0,0,0,0,0
36,-3.8563183,0,0,0,0,-1.4532028,-2.152596,0,0,0,0,0
37,-3.8745625,0,0,0,0,-1.4600779,-2.1627799,0,0,0,0,0
38,-3.8928067,0,0,0,0,-1.466953,-2.1729638,0,0,0,0,0
39,-3.9110509,0,0,0,0,-1.473828,-2.1831477,0,0,0,0,0
40,-3.9292951,0,0,0,0,-1.4807031,-2.1933316,0,0,0,0,0
41,-3.9475393,0,0,0,0,-1.4875782,-2.2035155,0,0,0,0,0
42,-3.9657835,0,0,0,0,-1.4944533,-2.2136995,0,0,0,0,0
43,-3.9840277,0,0,0,0,-1.5013284,-2.2238834,0,0,0,0,0
44,-4.0022719,0,0,0,0,-1.5082035,-2.2340673,0,0,0,0,0
45,-4.0205161,0,0,0,0,-1.5150786,-2.2442512,0,0,0,0,0
46,-4.0387603,0,0,0,0,-1.5219537,-2.2544351,0,0,0,0,0
47,-4.0570045,0,0,0,0,-1.5288288,-2.264619,0,0,0,0,0
48,-4.0752487,0,0,0,0,-1.5357038,-2.2748029,0,0,0,0,0
49,-4.0934929,0,0,0,0,-1.5425789,-2.2849868,0,0,0,0,0
50,-4.1117371,0,0,0,0,-1.549454,-2.2951707,0,0,0,0,0
51,-4.1299813,0,0,0,0,-1.5563291,-2.3053546,0,0,0,0,0
52,-4.1482256,0,0,0,0,-1.5632042,-2.3155385,0,0,0,0,0
53,-4.1664698,0,0,0,0,-1.5700793,-2.3257225,0,0,0,0,0
54,-4.184714,0,0,0,0,-1.5769544,-2.3359064,0,0,0,0,0
55,-4.2029582,0,0,0,0,-1.5838295,-2.3460903,0,0,0,0,0
56,-4.2212024,0,0,0,0,-1.5907045,-2.3562742,0,0,0,0,0
57,-4.2394466,0,0,0,0,-1.5975796,-2.3664581,0,0,0,0,0
58,-4.2576908,0,0,0,0,-1.6044547,-2.376642,0,0,0,0,0
59,-4.275935,0,0,0,0,-1.6113298,-2.3868259,0,0,0,0,0
