X coord (mm),Y coord (mm)
7.62012,2.64159
3.16104,0.148722
4.81479,0.0304003
6.60143,0.00957034
8.14902,0.218873
0.0275696,1.72973
1.28522,1.29008
2.94959,1.253
4.73273,1.19815
6.54037,1.25455
8.28751,1.27201
10.0286,1.22254
11.3279,1.82589
0.316176,2.94812
1.26734,2.92696
2.99924,3.00727
4.80289,2.95475
6.4627,3.00458
8.22329,3.02734
9.9687,2.9597
11.5639,3.06649
0.269372,4.97178
1.23528,4.72322
3.00481,4.76684
4.8194,4.78202
6.55808,4.68911
8.2182,4.78869
10.0457,4.73554
11.0138,4.44365
1.61885,5.69948
3.05465,6.4836
4.68887,6.50521
6.51486,6.48109
8.20783,6.36043
9.60018,5.69893
