Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
0,-96.06025,0,0,0,0,0,0,0,0,-15.835349,-9.5536892,0,0,0,0,0,-17.834235,-70.70926,-70.415077,0,0,0,0,0,-1.800678,-11.724218,0,0,0,0,0,0,0,0,0
1,-96.051753,0,0,0,0,0,0,0,0,-15.833949,-9.5528441,0,0,0,0,0,-17.832657,-70.703005,-70.408847,0,0,0,0,0,-1.8005187,-11.723181,0,0,0,0,0,0,0,0,0
2,-96.043255,0,0,0,0,0,0,0,0,-15.832548,-9.5519989,0,0,0,0,0,-17.83108,-70.69675,-70.402618,0,0,0,0,0,-1.8003594,-11.722144,0,0,0,0,0,0,0,0,0
3,-96.034757,0,0,0,0,0,0,0,0,-15.831147,-9.5511538,0,0,0,0,0,-17.829502,-70.690495,-70.396389,0,0,0,0,0,-1.8002002,-11.721107,0,0,0,0,0,0,0,0,0
4,-96.02626,0,0,0,0,0,0,0,0,-15.829746,-9.5503087,0,0,0,0,0,-17.827925,-70.68424,-70.39016,0,0,0,0,0,-1.8000409,-11.72007,0,0,0,0,0,0,0,0,0
5,-96.017762,0,0,0,0,0,0,0,0,-15.828345,-9.5494635,0,0,0,0,0,-17.826347,-70.677985,-70.383931,0,0,0,0,0,-1.7998816,-11.719032,0,0,0,0,0,0,0,0,0
6,-96.009264,0,0,0,0,0,0,0,0,-15.826944,-9.5486184,0,0,0,0,0,-17.824769,-70.67173,-70.377702,0,0,0,0,0,-1.7997223,-11.717995,0,0,0,0,0,0,0,0,0
7,-96.000767,0,0,0,0,0,0,0,0,-15.825544,-9.5477732,0,0,0,0,0,-17.823192,-70.665475,-70.371473,0,0,0,0,0,-1.799563,-11.716958,0,0,0,0,0,0,0,0,0
8,-95.992269,0,0,0,0,0,0,0,0,-15.824143,-9.5469281,0,0,0,0,0,-17.821614,-70.65922,-70.365244,0,0,0,0,0,-1.7994037,-11.715921,0,0,0,0,0,0,0,0,0
9,-95.983771,0,0,0,0,0,0,0,0,-15.822742,-9.546083,0,0,0,0,0,-17.820036,-70.652964,-70.359015,0,0,0,0,0,-1.7992444,-11.714884,0,0,0,0,0,0,0,0,0
10,-95.975274,0,0,0,0,0,0,0,0,-15.821341,-9.5452378,0,0,0,0,0,-17.818459,-70.646709,-70.352786,0,0,0,0,0,-1.7990851,-11.713847,0,0,0,0,0,0,0,0,0
11,-95.966776,0,0,0,0,0,0,0,0,-15.81994,-9.5443927,0,0,0,0,0,-17.816881,-70.640454,-70.346557,0,0,0,0,0,-1.7989258,-11.71281,0,0,0,0,0,0,0,0,0
12,-95.958278,0,0,0,0,0,0,0,0,-15.818539,-9.5435475,0,0,0,0,0,-17.815303,-70.634199,-70.340328,0,0,0,0,0,-1.7987665,-11.711772,0,0,0,0,0,0,0,0,0
13,-95.949781,0,0,0,0,0,0,0,0,-15.817139,-9.5427024,0,0,0,0,0,-17.813726,-70.627944,-70.334099,0,0,0,0,0,-1.7986072,-11.710735,0,0,0,0,0,0,0,0,0
14,-95.941283,0,0,0,0,0,0,0,0,-15.815738,-9.5418573,0,0,0,0,0,-17.812148,-70.621689,-70.32787,0,0,0,0,0,-1.7984479,-11.709698,0,0,0,0,0,0,0,0,0
15,-95.932785,0,0,0,0,0,0,0,0,-15.814337,-9.5410121,0,0,0,0,0,-17.81057,-70.615434,-70.321641,0,0,0,0,0,-1.7982887,-11.708661,0,0,0,0,0,0,0,0,0
16,-95.924287,0,0,0,0,0,0,0,0,-15.812936,-9.540167,0,0,0,0,0,-17.808993,-70.609179,-70.315412,0,0,0,0,0,-1.7981294,-11.707624,0,0,0,0,0,0,0,0,0
17,-95.91579,0,0,0,0,0,0,0,0,-15.811535,-9.5393218,0,0,0,0,0,-17.807415,-70.602924,-70.309182,0,0,0,0,0,-1.7979701,-11.706587,0,0,0,0,0,0,0,0,0
18,-95.907292,0,0,0,0,0,0,0,0,-15.810135,-9.5384767,0,0,0,0,0,-17.805837,-70.596669,-70.302953,0,0,0,0,0,-1.7978108,-11.705549,0,0,0,0,0,0,0,0,0
19,-95.898794,0,0,0,0,0,0,0,0,-15.808734,-9.5376316,0,0,0,0,0,-17.80426,-70.590414,-70.296724,0,0,0,0,0,-1.7976515,-11.704512,0,0,0,0,0,0,0,0,0
20,-95.890297,0,0,0,0,0,0,0,0,-15.807333,-9.5367864,0,0,0,0,0,-17.802682,-70.584159,-70.290495,0,0,0,0,0,-1.7974922,-11.703475,0,0,0,0,0,0,0,0,0
21,-95.881799,0,0,0,0,0,0,0,0,-15.805932,-9.5359413,0,0,0,0,0,-17.801104,-70.577903,-70.284266,0,0,0,0,0,-1.7973329,-11.702438,0,0,0,0,0,0,0,0,0
22,-95.873301,0,0,0,0,0,0,0,0,-15.804531,-9.5350961,0,0,0,0,0,-17.799527,-70.571648,-70.278037,0,0,0,0,0,-1.7971736,-11.701401,0,0,0,0,0,0,0,0,0
23,-95.864804,0,0,0,0,0,0,0,0,-15.80313,-9.534251,0,0,0,0,0,-17.797949,-70.565393,-70.271808,0,0,0,0,0,-1.7970143,-11.700364,0,0,0,0,0,0,0,0,0
24,-95.856306,0,0,0,0,0,0,0,0,-15.80173,-9.5334059,0,0,0,0,0,-17.796371,-70.559138,-70.265579,0,0,0,0,0,-1.796855,-11.699327,0,0,0,0,0,0,0,0,0
25,-95.847808,0,0,0,0,0,0,0,0,-15.800329,-9.5325607,0,0,0,0,0,-17.794794,-70.552883,-70.25935,0,0,0,0,0,-1.7966957,-11.698289,0,0,0,0,0,0,0,0,0
26,-95.839311,0,0,0,0,0,0,0,0,-15.798928,-9.5317156,0,0,0,0,0,-17.793216,-70.546628,-70.253121,0,0,0,0,0,-1.7965364,-11.697252,0,0,0,0,0,0,0,0,0
27,-95.830813,0,0,0,0,0,0,0,0,-15.797527,-9.5308705,0,0,0,0,0,-17.791639,-70.540373,-70.246892,0,0,0,0,0,-1.7963772,-11.696215,0,0,0,0,0,0,0,0,0
28,-95.822315,0,0,0,0,0,0,0,0,-15.796126,-9.5300253,0,0,0,0,0,-17.790061,-70.534118,-70.240663,0,0,0,0,0,-1.7962179,-11.695178,0,0,0,0,0,0,0,0,0
29,-95.813818,0,0,0,0,0,0,0,0,-15.794725,-9.5291802,0,0,0,0,0,-17.788483,-70.527863,-70.234434,0,0,0,0,0,-1.7960586,-11.694141,0,0,0,0,0,0,0,0,0
30,-95.80532,0,0,0,0,0,0,0,0,-15.793325,-9.528335,0,0,0,0,0,-17.786906,-70.521608,-70.228205,0,0,0,0,0,-1.7958993,-11.693104,0,0,0,0,0,0,0,0,0
31,-95.796822,0,0,0,0,0,0,0,0,-15.791924,-9.5274899,0,0,0,0,0,-17.785328,-70.515353,-70.221976,0,0,0,0,0,-1.79574,-11.692067,0,0,0,0,0,0,0,0,0
32,-95.788324,0,0,0,0,0,0,0,0,-15.790523,-9.5266448,0,0,0,0,0,-17.78375,-70.509097,-70.215747,0,0,0,0,0,-1.7955807,-11.691029,0,0,0,0,0,0,0,0,0
33,-95.779827,0,0,0,0,0,0,0,0,-15.789122,-9.5257996,0,0,0,0,0,-17.782173,-70.502842,-70.209517,0,0,0,0,0,-1.7954214,-11.689992,0,0,0,0,0,0,0,0,0
34,-95.771329,0,0,0,0,0,0,0,0,-15.787721,-9.5249545,0,0,0,0,0,-17.780595,-70.496587,-70.203288,0,0,0,0,0,-1.7952621,-11.688955,0,0,0,0,0,0,0,0,0
35,-95.762831,0,0,0,0,0,0,0,0,-15.78632,-9.5241093,0,0,0,0,0,-17.779017,-70.490332,-70.197059,0,0,0,0,0,-1.7951028,-11.687918,0,0,0,0,0,0,0,0,0
