Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa)
0,-32.801621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.948755,-6.8213611,-7.6045519,0,0,0,0,0,0,-2.3633078,-19.451978,-28.369245,-5.8042216,0,0,0,0,0,0,-0.72611444,-2.682888,0,0,0,0,0,0,0,0
1,-32.730458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9445272,-6.806562,-7.5880537,0,0,0,0,0,0,-2.3581806,-19.409777,-28.307697,-5.7916293,0,0,0,0,0,0,-0.72453912,-2.6770675,0,0,0,0,0,0,0,0
2,-32.659294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9402993,-6.791763,-7.5715556,0,0,0,0,0,0,-2.3530533,-19.367575,-28.24615,-5.7790369,0,0,0,0,0,0,-0.72296381,-2.6712469,0,0,0,0,0,0,0,0
3,-32.58813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9360715,-6.7769639,-7.5550574,0,0,0,0,0,0,-2.3479261,-19.325374,-28.184602,-5.7664446,0,0,0,0,0,0,-0.72138849,-2.6654263,0,0,0,0,0,0,0,0
4,-32.516967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9318436,-6.7621649,-7.5385592,0,0,0,0,0,0,-2.3427989,-19.283173,-28.123055,-5.7538522,0,0,0,0,0,0,-0.71981317,-2.6596058,0,0,0,0,0,0,0,0
5,-32.445803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9276158,-6.7473659,-7.522061,0,0,0,0,0,0,-2.3376716,-19.240971,-28.061508,-5.7412599,0,0,0,0,0,0,-0.71823786,-2.6537852,0,0,0,0,0,0,0,0
6,-32.37464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9233879,-6.7325668,-7.5055628,0,0,0,0,0,0,-2.3325444,-19.19877,-27.99996,-5.7286676,0,0,0,0,0,0,-0.71666254,-2.6479647,0,0,0,0,0,0,0,0
7,-32.303476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9191601,-6.7177678,-7.4890646,0,0,0,0,0,0,-2.3274172,-19.156569,-27.938413,-5.7160752,0,0,0,0,0,0,-0.71508723,-2.6421441,0,0,0,0,0,0,0,0
8,-32.232312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9149322,-6.7029687,-7.4725664,0,0,0,0,0,0,-2.3222899,-19.114367,-27.876865,-5.7034829,0,0,0,0,0,0,-0.71351191,-2.6363235,0,0,0,0,0,0,0,0
9,-32.161149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9107043,-6.6881697,-7.4560682,0,0,0,0,0,0,-2.3171627,-19.072166,-27.815318,-5.6908905,0,0,0,0,0,0,-0.71193659,-2.630503,0,0,0,0,0,0,0,0
10,-32.089985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9064765,-6.6733706,-7.4395701,0,0,0,0,0,0,-2.3120355,-19.029965,-27.75377,-5.6782982,0,0,0,0,0,0,-0.71036128,-2.6246824,0,0,0,0,0,0,0,0
11,-32.018822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9022486,-6.6585716,-7.4230719,0,0,0,0,0,0,-2.3069082,-18.987763,-27.692223,-5.6657058,0,0,0,0,0,0,-0.70878596,-2.6188618,0,0,0,0,0,0,0,0
12,-31.947658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8980208,-6.6437726,-7.4065737,0,0,0,0,0,0,-2.301781,-18.945562,-27.630675,-5.6531135,0,0,0,0,0,0,-0.70721065,-2.6130413,0,0,0,0,0,0,0,0
13,-31.876494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8937929,-6.6289735,-7.3900755,0,0,0,0,0,0,-2.2966538,-18.903361,-27.569128,-5.6405212,0,0,0,0,0,0,-0.70563533,-2.6072207,0,0,0,0,0,0,0,0
14,-31.805331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8895651,-6.6141745,-7.3735773,0,0,0,0,0,0,-2.2915266,-18.861159,-27.50758,-5.6279288,0,0,0,0,0,0,-0.70406001,-2.6014001,0,0,0,0,0,0,0,0
15,-31.734167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8853372,-6.5993754,-7.3570791,0,0,0,0,0,0,-2.2863993,-18.818958,-27.446033,-5.6153365,0,0,0,0,0,0,-0.7024847,-2.5955796,0,0,0,0,0,0,0,0
16,-31.663004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8811094,-6.5845764,-7.3405809,0,0,0,0,0,0,-2.2812721,-18.776757,-27.384485,-5.6027441,0,0,0,0,0,0,-0.70090938,-2.589759,0,0,0,0,0,0,0,0
17,-31.59184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8768815,-6.5697773,-7.3240828,0,0,0,0,0,0,-2.2761449,-18.734555,-27.322938,-5.5901518,0,0,0,0,0,0,-0.69933407,-2.5839384,0,0,0,0,0,0,0,0
18,-31.520676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8726537,-6.5549783,-7.3075846,0,0,0,0,0,0,-2.2710176,-18.692354,-27.26139,-5.5775594,0,0,0,0,0,0,-0.69775875,-2.5781179,0,0,0,0,0,0,0,0
19,-31.449513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8684258,-6.5401793,-7.2910864,0,0,0,0,0,0,-2.2658904,-18.650153,-27.199843,-5.5649671,0,0,0,0,0,0,-0.69618344,-2.5722973,0,0,0,0,0,0,0,0
