Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
0,-78.291688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.4059594,-21.576175,-24.730464,-9.7463632,0,0,0,0,0,0,0,-7.9584915,-39.608667,-73.356465,-25.745713,-2.4206763,0,0,0,0,0,0,-13.989281,-1.2523816,0,0,0,0,0,0,0,0,0
1,-78.201142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3997074,-21.551222,-24.701863,-9.7350914,0,0,0,0,0,0,0,-7.9492874,-39.562859,-73.271627,-25.715938,-2.4178768,0,0,0,0,0,0,-13.973103,-1.2509332,0,0,0,0,0,0,0,0,0
2,-78.110597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3934553,-21.526269,-24.673262,-9.7238196,0,0,0,0,0,0,0,-7.9400833,-39.517051,-73.18679,-25.686162,-2.4150772,0,0,0,0,0,0,-13.956924,-1.2494848,0,0,0,0,0,0,0,0,0
3,-78.020051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3872032,-21.501316,-24.644661,-9.7125478,0,0,0,0,0,0,0,-7.9308792,-39.471243,-73.101952,-25.656387,-2.4122777,0,0,0,0,0,0,-13.940745,-1.2480364,0,0,0,0,0,0,0,0,0
4,-77.929506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3809512,-21.476363,-24.61606,-9.701276,0,0,0,0,0,0,0,-7.9216751,-39.425435,-73.017114,-25.626612,-2.4094781,0,0,0,0,0,0,-13.924566,-1.246588,0,0,0,0,0,0,0,0,0
5,-77.83896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3746991,-21.451409,-24.587459,-9.6900042,0,0,0,0,0,0,0,-7.912471,-39.379627,-72.932276,-25.596836,-2.4066786,0,0,0,0,0,0,-13.908387,-1.2451396,0,0,0,0,0,0,0,0,0
6,-77.748415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.368447,-21.426456,-24.558858,-9.6787324,0,0,0,0,0,0,0,-7.9032669,-39.333819,-72.847438,-25.567061,-2.403879,0,0,0,0,0,0,-13.892209,-1.2436912,0,0,0,0,0,0,0,0,0
7,-77.657869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.362195,-21.401503,-24.530257,-9.6674606,0,0,0,0,0,0,0,-7.8940628,-39.288011,-72.762601,-25.537286,-2.4010795,0,0,0,0,0,0,-13.87603,-1.2422428,0,0,0,0,0,0,0,0,0
8,-77.567324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3559429,-21.37655,-24.501655,-9.6561888,0,0,0,0,0,0,0,-7.8848587,-39.242203,-72.677763,-25.507511,-2.39828,0,0,0,0,0,0,-13.859851,-1.2407944,0,0,0,0,0,0,0,0,0
9,-77.476779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3496908,-21.351597,-24.473054,-9.644917,0,0,0,0,0,0,0,-7.8756545,-39.196395,-72.592925,-25.477735,-2.3954804,0,0,0,0,0,0,-13.843672,-1.239346,0,0,0,0,0,0,0,0,0
