Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa)
0,-2.214224,0,0,0,0,0,0,0,0,-0.30670198,-0.36490238,0,0,0,0,0,0,-0.48204998,-2.0523281,-1.4217668,-0.086051189,0,0,0,0,-0.26523025,-0.60592383,-0.35668678,0,0,0,0,0,0,0,0,0,0
1,-2.264252,0,0,0,0,0,0,0,0,-0.31363159,-0.37314696,0,0,0,0,0,0,-0.49294138,-2.0986983,-1.4538901,-0.087995424,0,0,0,0,-0.27122284,-0.61961404,-0.36474573,0,0,0,0,0,0,0,0,0,0
2,-2.3142801,0,0,0,0,0,0,0,0,-0.32056119,-0.38139154,0,0,0,0,0,0,-0.50383279,-2.1450685,-1.4860134,-0.089939659,0,0,0,0,-0.27721544,-0.63330424,-0.37280469,0,0,0,0,0,0,0,0,0,0
3,-2.3643081,0,0,0,0,0,0,0,0,-0.3274908,-0.38963612,0,0,0,0,0,0,-0.51472419,-2.1914386,-1.5181367,-0.091883894,0,0,0,0,-0.28320803,-0.64699444,-0.38086365,0,0,0,0,0,0,0,0,0,0
4,-2.4143361,0,0,0,0,0,0,0,0,-0.3344204,-0.3978807,0,0,0,0,0,0,-0.5256156,-2.2378088,-1.55026,-0.093828129,0,0,0,0,-0.28920063,-0.66068465,-0.38892261,0,0,0,0,0,0,0,0,0,0
5,-2.4643641,0,0,0,0,0,0,0,0,-0.34135001,-0.40612528,0,0,0,0,0,0,-0.536507,-2.284179,-1.5823833,-0.095772364,0,0,0,0,-0.29519322,-0.67437485,-0.39698156,0,0,0,0,0,0,0,0,0,0
6,-2.5143922,0,0,0,0,0,0,0,0,-0.34827961,-0.41436986,0,0,0,0,0,0,-0.54739841,-2.3305491,-1.6145066,-0.097716599,0,0,0,0,-0.30118581,-0.68806505,-0.40504052,0,0,0,0,0,0,0,0,0,0
7,-2.5644202,0,0,0,0,0,0,0,0,-0.35520921,-0.42261444,0,0,0,0,0,0,-0.55828981,-2.3769193,-1.6466299,-0.099660833,0,0,0,0,-0.30717841,-0.70175525,-0.41309948,0,0,0,0,0,0,0,0,0,0
8,-2.6144482,0,0,0,0,0,0,0,0,-0.36213882,-0.43085902,0,0,0,0,0,0,-0.56918122,-2.4232895,-1.6787532,-0.10160507,0,0,0,0,-0.313171,-0.71544546,-0.42115844,0,0,0,0,0,0,0,0,0,0
9,-2.6644763,0,0,0,0,0,0,0,0,-0.36906842,-0.4391036,0,0,0,0,0,0,-0.58007262,-2.4696596,-1.7108765,-0.1035493,0,0,0,0,-0.3191636,-0.72913566,-0.42921739,0,0,0,0,0,0,0,0,0,0
10,-2.7145043,0,0,0,0,0,0,0,0,-0.37599803,-0.44734818,0,0,0,0,0,0,-0.59096403,-2.5160298,-1.7429998,-0.10549354,0,0,0,0,-0.32515619,-0.74282586,-0.43727635,0,0,0,0,0,0,0,0,0,0
11,-2.7645323,0,0,0,0,0,0,0,0,-0.38292763,-0.45559276,0,0,0,0,0,0,-0.60185543,-2.5624,-1.7751231,-0.10743777,0,0,0,0,-0.33114879,-0.75651607,-0.44533531,0,0,0,0,0,0,0,0,0,0
12,-2.8145604,0,0,0,0,0,0,0,0,-0.38985724,-0.46383734,0,0,0,0,0,0,-0.61274684,-2.6087701,-1.8072464,-0.10938201,0,0,0,0,-0.33714138,-0.77020627,-0.45339427,0,0,0,0,0,0,0,0,0,0
13,-2.8645884,0,0,0,0,0,0,0,0,-0.39678684,-0.47208192,0,0,0,0,0,0,-0.62363824,-2.6551403,-1.8393697,-0.11132624,0,0,0,0,-0.34313398,-0.78389647,-0.46145322,0,0,0,0,0,0,0,0,0,0
14,-2.9146164,0,0,0,0,0,0,0,0,-0.40371644,-0.4803265,0,0,0,0,0,0,-0.63452965,-2.7015104,-1.871493,-0.11327048,0,0,0,0,-0.34912657,-0.79758667,-0.46951218,0,0,0,0,0,0,0,0,0,0
15,-2.9646444,0,0,0,0,0,0,0,0,-0.41064605,-0.48857108,0,0,0,0,0,0,-0.64542105,-2.7478806,-1.9036163,-0.11521471,0,0,0,0,-0.35511917,-0.81127688,-0.47757114,0,0,0,0,0,0,0,0,0,0
16,-3.0146725,0,0,0,0,0,0,0,0,-0.41757565,-0.49681566,0,0,0,0,0,0,-0.65631246,-2.7942508,-1.9357396,-0.11715895,0,0,0,0,-0.36111176,-0.82496708,-0.48563009,0,0,0,0,0,0,0,0,0,0
