Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
0,-2.5273078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54966932,-1.136493,-0.59566936,0,0,0,0,0,-0.36238606,-1.3265955,-2.1212828,-0.9449024,0,0,0,0,0,0,-0.22949612,-0.37935833,0,0,0,0,0,0,0,0,0,0,0
1,-2.4847144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54040558,-1.1173394,-0.58563036,0,0,0,0,0,-0.35627866,-1.304238,-2.0855322,-0.92897768,0,0,0,0,0,0,-0.22562835,-0.37296489,0,0,0,0,0,0,0,0,0,0,0
2,-2.4421209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53114184,-1.0981857,-0.57559137,0,0,0,0,0,-0.35017126,-1.2818805,-2.0497816,-0.91305297,0,0,0,0,0,0,-0.22176059,-0.36657145,0,0,0,0,0,0,0,0,0,0,0
3,-2.3995274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5218781,-1.0790321,-0.56555238,0,0,0,0,0,-0.34406386,-1.259523,-2.014031,-0.89712825,0,0,0,0,0,0,-0.21789282,-0.36017802,0,0,0,0,0,0,0,0,0,0,0
4,-2.356934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51261436,-1.0598784,-0.55551339,0,0,0,0,0,-0.33795646,-1.2371655,-1.9782804,-0.88120353,0,0,0,0,0,0,-0.21402506,-0.35378458,0,0,0,0,0,0,0,0,0,0,0
5,-2.3143405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50335062,-1.0407248,-0.5454744,0,0,0,0,0,-0.33184906,-1.214808,-1.9425298,-0.86527881,0,0,0,0,0,0,-0.21015729,-0.34739114,0,0,0,0,0,0,0,0,0,0,0
6,-2.271747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49408689,-1.0215711,-0.53543541,0,0,0,0,0,-0.32574166,-1.1924505,-1.9067792,-0.84935409,0,0,0,0,0,0,-0.20628952,-0.3409977,0,0,0,0,0,0,0,0,0,0,0
7,-2.2291536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.48482315,-1.0024175,-0.52539642,0,0,0,0,0,-0.31963426,-1.170093,-1.8710286,-0.83342938,0,0,0,0,0,0,-0.20242176,-0.33460427,0,0,0,0,0,0,0,0,0,0,0
8,-2.1865601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47555941,-0.9832638,-0.51535743,0,0,0,0,0,-0.31352687,-1.1477355,-1.835278,-0.81750466,0,0,0,0,0,0,-0.19855399,-0.32821083,0,0,0,0,0,0,0,0,0,0,0
9,-2.1439667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46629567,-0.96411015,-0.50531844,0,0,0,0,0,-0.30741947,-1.125378,-1.7995274,-0.80157994,0,0,0,0,0,0,-0.19468623,-0.32181739,0,0,0,0,0,0,0,0,0,0,0
10,-2.1013732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45703193,-0.9449565,-0.49527945,0,0,0,0,0,-0.30131207,-1.1030205,-1.7637768,-0.78565522,0,0,0,0,0,0,-0.19081846,-0.31542395,0,0,0,0,0,0,0,0,0,0,0
11,-2.0587797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44776819,-0.92580285,-0.48524046,0,0,0,0,0,-0.29520467,-1.080663,-1.7280262,-0.7697305,0,0,0,0,0,0,-0.1869507,-0.30903052,0,0,0,0,0,0,0,0,0,0,0
12,-2.0161863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43850445,-0.9066492,-0.47520147,0,0,0,0,0,-0.28909727,-1.0583055,-1.6922756,-0.75380579,0,0,0,0,0,0,-0.18308293,-0.30263708,0,0,0,0,0,0,0,0,0,0,0
