Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa)
0,-96.06025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.962682,-52.368519,-51.67186,-4.5040667,0,0,0,0,0,0,-10.505782,-35.071454,-76.388798,-90.091715,-14.778547,0,0,0,0,0,0,-3.7667493,-14.901902,-26.962991,-19.409253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-96.051753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.961536,-52.363886,-51.667289,-4.5036683,0,0,0,0,0,0,-10.504853,-35.068352,-76.38204,-90.083745,-14.77724,0,0,0,0,0,0,-3.7664161,-14.900583,-26.960606,-19.407536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-96.043255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.960389,-52.359253,-51.662718,-4.5032698,0,0,0,0,0,0,-10.503924,-35.065249,-76.375283,-90.075776,-14.775932,0,0,0,0,0,0,-3.7660829,-14.899265,-26.95822,-19.405819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-96.034757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.959242,-52.354621,-51.658147,-4.5028714,0,0,0,0,0,0,-10.502994,-35.062147,-76.368525,-90.067806,-14.774625,0,0,0,0,0,0,-3.7657497,-14.897947,-26.955835,-19.404102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-96.02626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.958096,-52.349988,-51.653576,-4.502473,0,0,0,0,0,0,-10.502065,-35.059044,-76.361768,-90.059836,-14.773318,0,0,0,0,0,0,-3.7654164,-14.896629,-26.95345,-19.402385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-96.017762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.956949,-52.345355,-51.649005,-4.5020745,0,0,0,0,0,0,-10.501135,-35.055942,-76.35501,-90.051866,-14.77201,0,0,0,0,0,0,-3.7650832,-14.89531,-26.951065,-19.400668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-96.009264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.955802,-52.340723,-51.644434,-4.5016761,0,0,0,0,0,0,-10.500206,-35.052839,-76.348253,-90.043897,-14.770703,0,0,0,0,0,0,-3.76475,-14.893992,-26.94868,-19.398951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-96.000767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.954655,-52.33609,-51.639863,-4.5012777,0,0,0,0,0,0,-10.499277,-35.049737,-76.341495,-90.035927,-14.769396,0,0,0,0,0,0,-3.7644168,-14.892674,-26.946294,-19.397234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-95.992269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.953509,-52.331457,-51.635292,-4.5008792,0,0,0,0,0,0,-10.498347,-35.046634,-76.334738,-90.027957,-14.768088,0,0,0,0,0,0,-3.7640836,-14.891356,-26.943909,-19.395517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-95.983771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.952362,-52.326825,-51.630721,-4.5004808,0,0,0,0,0,0,-10.497418,-35.043532,-76.32798,-90.019988,-14.766781,0,0,0,0,0,0,-3.7637504,-14.890037,-26.941524,-19.3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
