Time (ms),Stress at 0.00 mm (kPa),Stress at 0.25 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.84 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.86 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.24 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.25 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.84 mm (kPa)
0,-78.291688,-74.588901,-68.869328,-60.518029,-53.275432,-44.684256,-36.992069,-31.386594,-25.53202,-19.06242,-13.457256,-10.122296,-4.2371737,0,0,0,0,0,0,0,0,0,0,0,0
1,-78.201142,-74.502638,-68.78968,-60.448039,-53.213819,-44.632578,-36.949287,-31.350295,-25.502491,-19.040374,-13.441693,-10.110589,-4.2322733,0,0,0,0,0,0,0,0,0,0,0,0
2,-78.110597,-74.416375,-68.710031,-60.378049,-53.152205,-44.5809,-36.906505,-31.313996,-25.472963,-19.018328,-13.426129,-10.098882,-4.227373,0,0,0,0,0,0,0,0,0,0,0,0
3,-78.020051,-74.330112,-68.630383,-60.308059,-53.090591,-44.529222,-36.863723,-31.277697,-25.443435,-18.996283,-13.410566,-10.087176,-4.2224726,0,0,0,0,0,0,0,0,0,0,0,0
4,-77.929506,-74.243849,-68.550734,-60.238069,-53.028977,-44.477544,-36.820942,-31.241398,-25.413907,-18.974237,-13.395002,-10.075469,-4.2175722,0,0,0,0,0,0,0,0,0,0,0,0
5,-77.83896,-74.157586,-68.471086,-60.168079,-52.967363,-44.425866,-36.77816,-31.205099,-25.384379,-18.952191,-13.379439,-10.063763,-4.2126719,0,0,0,0,0,0,0,0,0,0,0,0
6,-77.748415,-74.071322,-68.391438,-60.09809,-52.90575,-44.374188,-36.735378,-31.1688,-25.354851,-18.930145,-13.363875,-10.052056,-4.2077715,0,0,0,0,0,0,0,0,0,0,0,0
7,-77.657869,-73.985059,-68.311789,-60.0281,-52.844136,-44.32251,-36.692596,-31.132501,-25.325323,-18.908099,-13.348312,-10.040349,-4.2028712,0,0,0,0,0,0,0,0,0,0,0,0
8,-77.567324,-73.898796,-68.232141,-59.95811,-52.782522,-44.270832,-36.649814,-31.096202,-25.295794,-18.886053,-13.332748,-10.028643,-4.1979708,0,0,0,0,0,0,0,0,0,0,0,0
9,-77.476779,-73.812533,-68.152493,-59.88812,-52.720908,-44.219154,-36.607032,-31.059903,-25.266266,-18.864007,-13.317185,-10.016936,-4.1930705,0,0,0,0,0,0,0,0,0,0,0,0
