Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa),Coord 120 Stress (kPa),Coord 121 Stress (kPa),Coord 122 Stress (kPa),Coord 123 Stress (kPa)
0,-78.291688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6077737,-13.385805,-17.62153,-12.316138,-1.3890285,0,0,0,0,-13.726894,0,0,0,0,-5.4515048,-2.6085735,-26.600615,-48.636371,-34.899566,-14.760086,-0.51791005,0,0,0,0,0,0,0,0,0,-19.976235,-42.805069,-73.144853,-46.721795,-19.59012,-4.5112284,0,0,0,0,0,0,0,0,-14.349238,-27.202565,-20.116697,-5.5948862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-78.201142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6024448,-13.370324,-17.60115,-12.301894,-1.3874221,0,0,0,0,-13.711018,0,0,0,0,-5.4452,-2.6055567,-26.569851,-48.580122,-34.859204,-14.743016,-0.51731108,0,0,0,0,0,0,0,0,0,-19.953132,-42.755564,-73.06026,-46.667761,-19.567464,-4.5060111,0,0,0,0,0,0,0,0,-14.332643,-27.171105,-20.093432,-5.5884157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-78.110597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5971158,-13.354843,-17.580771,-12.28765,-1.3858157,0,0,0,0,-13.695143,0,0,0,0,-5.4388953,-2.6025398,-26.539087,-48.523874,-34.818843,-14.725946,-0.51671211,0,0,0,0,0,0,0,0,0,-19.930029,-42.706059,-72.975667,-46.613726,-19.544808,-4.5007938,0,0,0,0,0,0,0,0,-14.316048,-27.139645,-20.070167,-5.5819451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-78.020051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5917869,-13.339362,-17.560391,-12.273406,-1.3842092,0,0,0,0,-13.679268,0,0,0,0,-5.4325905,-2.599523,-26.508323,-48.467625,-34.778481,-14.708876,-0.51611314,0,0,0,0,0,0,0,0,0,-19.906926,-42.656555,-72.891074,-46.559692,-19.522152,-4.4955765,0,0,0,0,0,0,0,0,-14.299453,-27.108185,-20.046901,-5.5754745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-77.929506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5864579,-13.323881,-17.540012,-12.259163,-1.3826028,0,0,0,0,-13.663392,0,0,0,0,-5.4262858,-2.5965061,-26.477559,-48.411376,-34.738119,-14.691805,-0.51551417,0,0,0,0,0,0,0,0,0,-19.883824,-42.60705,-72.806481,-46.505657,-19.499495,-4.4903592,0,0,0,0,0,0,0,0,-14.282857,-27.076724,-20.023636,-5.569004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-77.83896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5811289,-13.3084,-17.519632,-12.244919,-1.3809964,0,0,0,0,-13.647517,0,0,0,0,-5.4199811,-2.5934892,-26.446795,-48.355128,-34.697757,-14.674735,-0.5149152,0,0,0,0,0,0,0,0,0,-19.860721,-42.557545,-72.721888,-46.451623,-19.476839,-4.4851419,0,0,0,0,0,0,0,0,-14.266262,-27.045264,-20.000371,-5.5625334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-77.748415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5758,-13.292919,-17.499253,-12.230675,-1.3793899,0,0,0,0,-13.631642,0,0,0,0,-5.4136763,-2.5904724,-26.416031,-48.298879,-34.657395,-14.657665,-0.51431623,0,0,0,0,0,0,0,0,0,-19.837618,-42.508041,-72.637295,-46.397589,-19.454183,-4.4799246,0,0,0,0,0,0,0,0,-14.249667,-27.013804,-19.977106,-5.5560628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-77.657869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.570471,-13.277439,-17.478873,-12.216431,-1.3777835,0,0,0,0,-13.615766,0,0,0,0,-5.4073716,-2.5874555,-26.385267,-48.24263,-34.617033,-14.640595,-0.51371726,0,0,0,0,0,0,0,0,0,-19.814515,-42.458536,-72.552702,-46.343554,-19.431527,-4.4747073,0,0,0,0,0,0,0,0,-14.233072,-26.982344,-19.95384,-5.5495923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-77.567324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5651421,-13.261958,-17.458493,-12.202188,-1.3761771,0,0,0,0,-13.599891,0,0,0,0,-5.4010668,-2.5844387,-26.354503,-48.186382,-34.576671,-14.623524,-0.51311829,0,0,0,0,0,0,0,0,0,-19.791412,-42.409031,-72.468108,-46.28952,-19.40887,-4.46949,0,0,0,0,0,0,0,0,-14.216477,-26.950884,-19.930575,-5.5431217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-77.476779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5598131,-13.246477,-17.438114,-12.187944,-1.3745706,0,0,0,0,-13.584016,0,0,0,0,-5.3947621,-2.5814218,-26.323739,-48.130133,-34.53631,-14.606454,-0.51251932,0,0,0,0,0,0,0,0,0,-19.76831,-42.359527,-72.383515,-46.235485,-19.386214,-4.4642727,0,0,0,0,0,0,0,0,-14.199882,-26.919424,-19.90731,-5.5366511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
