X coord (mm),Y coord (mm)
7.28337,2.70374
2.04455,0.331675
2.22035,0.190016
2.59025,0.123941
3.16104,0.148722
3.54963,0.0893452
3.81568,0.0520176
4.55738,0.0675905
4.94532,0.0138738
5.64449,0.0274306
5.89837,-0.00778385
6.60143,0.00957034
7.04155,0.0608602
7.45715,0.105965
7.75537,0.171883
8.42173,0.278475
8.78467,0.315577
9.37697,0.411016
1.56186,0.652087
1.73811,0.500521
2.22035,0.190016
2.59025,0.123941
3.03152,0.168049
3.54963,0.0893452
4.02673,0.142021
4.55738,0.0675905
4.94532,0.0138738
5.51993,0.0448188
5.89837,-0.00778385
6.47632,0.0275924
7.04155,0.0608602
7.45715,0.105965
8.0336,0.236188
8.42173,0.278475
9.03391,0.374078
9.37697,0.411016
9.37697,0.411016
0.592051,1.28867
0.893715,1.11902
1.07547,0.970447
1.56186,0.652087
1.99267,0.4593
2.55942,0.486217
3.0099,0.53131
3.5233,0.452758
3.98688,0.501149
4.51249,0.425468
4.96417,0.474763
5.54099,0.50465
5.98749,0.554318
6.49324,0.482623
7.05232,0.512892
7.52612,0.435807
8.03299,0.457725
8.51888,0.477232
8.97786,0.493495
9.42301,0.508195
9.78221,0.854781
9.95385,1.03033
0.0275696,1.72973
0.40158,1.43527
0.592051,1.28867
1.07547,0.970447
1.52946,1.01317
2.03418,0.933086
2.48777,0.977319
3.05074,0.999777
3.49871,1.04422
4.01348,0.9643
4.47009,1.0093
5.04897,1.0361
5.55541,0.959317
5.99311,1.00582
6.49725,0.932047
7.04406,0.956882
7.55697,0.977858
8.05334,0.997014
8.53027,1.01345
8.98928,1.02642
9.52872,1.01574
9.95385,1.03033
10.1243,1.20098
10.448,1.54246
11.3279,1.82589
0.0275696,1.72973
0.201883,1.58341
0.458342,1.53956
0.971021,1.45683
1.54739,1.48049
2.00496,1.52373
2.51683,1.44111
2.9667,1.48279
3.53335,1.50385
3.97772,1.54605
4.48424,1.46382
5.0552,1.48672
5.48935,1.52854
5.98079,1.45272
6.5207,1.47504
7.03821,1.49462
7.54805,1.51331
8.03687,1.52799
8.51003,1.54147
9.03872,1.4356
9.48267,1.44673
10.0384,1.53059
10.448,1.54246
11.0233,1.78901
11.3279,1.82589
11.3279,1.82589
0.00527212,1.96156
0.00527212,1.96156
0.501651,2.05354
1.07308,1.9747
1.55014,2.01839
2.00994,1.98284
2.47119,2.02281
2.98507,1.93958
3.55516,1.95752
3.99751,1.99715
4.56865,2.01595
5.00326,2.05622
5.48232,1.97453
6.0086,1.99269
6.52094,2.01074
7.01865,2.02869
7.51464,2.04114
7.9601,1.95566
8.5433,1.94604
9.00266,1.95679
9.54982,1.94601
9.97684,1.95481
10.5167,2.03851
10.9913,1.99633
11.3839,2.01256
11.4362,2.20031
0.0842227,2.17035
0.197729,2.3774
0.569211,2.48474
1.06422,2.52588
1.4991,2.46617
1.97868,2.50814
2.53471,2.4322
3.00839,2.47264
3.49854,2.52792
4.00719,2.44353
4.44815,2.48175
4.99441,2.49972
5.52104,2.53415
5.97305,2.42832
6.46589,2.44437
6.95547,2.45754
7.54712,2.44995
8.02465,2.45998
8.49662,2.46603
8.9576,2.47479
9.50477,2.46408
10.0308,2.44827
10.5394,2.43344
11.0375,2.4878
11.423,2.50232
11.4835,2.38677
0.316176,2.94812
0.316176,2.94812
0.510488,3.02806
0.967908,2.96711
1.46644,3.00687
1.96062,3.04677
2.52848,2.9679
2.99924,3.00727
3.46251,3.04589
4.00156,2.96783
4.55591,2.992
4.97068,3.0337
5.45985,2.95963
5.96404,2.98223
6.4627,3.00458
6.95744,3.02852
7.49363,2.96787
7.969,2.97653
8.5492,2.96145
9.00363,2.96782
9.54124,2.95498
9.9687,2.9597
10.5052,3.03588
10.9933,3.02222
11.5447,2.97277
11.5639,3.06649
0.383374,3.47854
0.383374,3.47854
0.540925,3.45639
1.04652,3.49204
1.54886,3.52755
2.0021,3.4647
2.49149,3.50148
2.96537,3.53825
3.52085,3.45685
3.96563,3.49494
4.52401,3.51375
5.01699,3.43652
5.53323,3.45742
6.03399,3.47782
6.52145,3.49814
7.01125,3.51797
7.49097,3.53514
8.0527,3.43912
8.52015,3.45552
8.98129,3.47369
9.52725,3.47182
9.95561,3.48806
10.4715,3.48468
10.9681,3.48167
11.5466,3.45963
11.6182,3.34709
0.392688,4.00214
0.392688,4.00214
0.55694,3.98053
1.07238,4.01404
1.55174,3.94759
2.04527,3.9819
2.52971,4.01571
2.96927,3.95139
3.56549,3.96775
4.00657,4.00414
4.55734,4.02089
4.94158,3.96138
5.44921,3.98016
5.94944,3.99733
6.55529,3.99422
7.03565,4.01183
7.51023,4.02956
7.98032,4.04544
8.52809,3.94716
8.97539,3.96428
9.51562,3.96182
10.041,3.95851
10.5491,3.95439
11.0442,3.95024
11.3308,3.89268
11.4093,3.77914
0.319021,4.43565
0.319021,4.43565
0.511137,4.51393
