Time (ms),Stress at 0.00 mm (kPa),Stress at 0.24 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.86 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa)
0,-96.06025,-81.108368,-71.80532,-56.157958,-45.182782,-33.071559,-24.099235,-16.534168,-9.8399014,-6.2655263,-2.9756116,-0.71719843,0,0
1,-96.051753,-81.101193,-71.798968,-56.152991,-45.178785,-33.068633,-24.097103,-16.532706,-9.839031,-6.264972,-2.9753484,-0.71713498,0,0
2,-96.043255,-81.094018,-71.792616,-56.148023,-45.174788,-33.065708,-24.094971,-16.531243,-9.8381605,-6.2644178,-2.9750852,-0.71707154,0,0
3,-96.034757,-81.086843,-71.786264,-56.143055,-45.170791,-33.062782,-24.092839,-16.52978,-9.8372901,-6.2638635,-2.974822,-0.7170081,0,0
4,-96.02626,-81.079668,-71.779912,-56.138087,-45.166794,-33.059856,-24.090708,-16.528318,-9.8364196,-6.2633092,-2.9745587,-0.71694465,0,0
5,-96.017762,-81.072493,-71.77356,-56.133119,-45.162797,-33.056931,-24.088576,-16.526855,-9.8355491,-6.262755,-2.9742955,-0.71688121,0,0
6,-96.009264,-81.065318,-71.767208,-56.128151,-45.1588,-33.054005,-24.086444,-16.525393,-9.8346787,-6.2622007,-2.9740323,-0.71681776,0,0
7,-96.000767,-81.058143,-71.760856,-56.123183,-45.154803,-33.05108,-24.084312,-16.52393,-9.8338082,-6.2616464,-2.973769,-0.71675432,0,0
8,-95.992269,-81.050968,-71.754503,-56.118216,-45.150806,-33.048154,-24.08218,-16.522467,-9.8329378,-6.2610922,-2.9735058,-0.71669087,0,0
9,-95.983771,-81.043793,-71.748151,-56.113248,-45.146809,-33.045228,-24.080048,-16.521005,-9.8320673,-6.2605379,-2.9732426,-0.71662743,0,0
10,-95.975274,-81.036618,-71.741799,-56.10828,-45.142812,-33.042303,-24.077916,-16.519542,-9.8311968,-6.2599837,-2.9729794,-0.71656398,0,0
11,-95.966776,-81.029443,-71.735447,-56.103312,-45.138815,-33.039377,-24.075784,-16.518079,-9.8303264,-6.2594294,-2.9727161,-0.71650054,0,0
12,-95.958278,-81.022268,-71.729095,-56.098344,-45.134819,-33.036452,-24.073653,-16.516617,-9.8294559,-6.2588751,-2.9724529,-0.71643709,0,0
13,-95.949781,-81.015093,-71.722743,-56.093376,-45.130822,-33.033526,-24.071521,-16.515154,-9.8285855,-6.2583209,-2.9721897,-0.71637365,0,0
14,-95.941283,-81.007918,-71.716391,-56.088409,-45.126825,-33.030601,-24.069389,-16.513691,-9.827715,-6.2577666,-2.9719264,-0.7163102,0,0
15,-95.932785,-81.000743,-71.710039,-56.083441,-45.122828,-33.027675,-24.067257,-16.512229,-9.8268446,-6.2572124,-2.9716632,-0.71624676,0,0
16,-95.924287,-80.993568,-71.703687,-56.078473,-45.118831,-33.024749,-24.065125,-16.510766,-9.8259741,-6.2566581,-2.9714,-0.71618331,0,0
17,-95.91579,-80.986393,-71.697335,-56.073505,-45.114834,-33.021824,-24.062993,-16.509303,-9.8251036,-6.2561038,-2.9711368,-0.71611987,0,0
18,-95.907292,-80.979218,-71.690983,-56.068537,-45.110837,-33.018898,-24.060861,-16.507841,-9.8242332,-6.2555496,-2.9708735,-0.71605642,0,0
19,-95.898794,-80.972043,-71.684631,-56.063569,-45.10684,-33.015973,-24.058729,-16.506378,-9.8233627,-6.2549953,-2.9706103,-0.71599298,0,0
20,-95.890297,-80.964868,-71.678279,-56.058601,-45.102843,-33.013047,-24.056598,-16.504916,-9.8224923,-6.254441,-2.9703471,-0.71592953,0,0
21,-95.881799,-80.957693,-71.671927,-56.053634,-45.098846,-33.010122,-24.054466,-16.503453,-9.8216218,-6.2538868,-2.9700838,-0.71586609,0,0
22,-95.873301,-80.950518,-71.665575,-56.048666,-45.094849,-33.007196,-24.052334,-16.50199,-9.8207514,-6.2533325,-2.9698206,-0.71580264,0,0
23,-95.864804,-80.943343,-71.659223,-56.043698,-45.090852,-33.00427,-24.050202,-16.500528,-9.8198809,-6.2527783,-2.9695574,-0.7157392,0,0
24,-95.856306,-80.936168,-71.652871,-56.03873,-45.086855,-33.001345,-24.04807,-16.499065,-9.8190104,-6.252224,-2.9692942,-0.71567575,0,0
25,-95.847808,-80.928993,-71.646519,-56.033762,-45.082858,-32.998419,-24.045938,-16.497602,-9.81814,-6.2516697,-2.9690309,-0.71561231,0,0
26,-95.839311,-80.921818,-71.640167,-56.028794,-45.078861,-32.995494,-24.043806,-16.49614,-9.8172695,-6.2511155,-2.9687677,-0.71554886,0,0
27,-95.830813,-80.914643,-71.633815,-56.023826,-45.074864,-32.992568,-24.041675,-16.494677,-9.8163991,-6.2505612,-2.9685045,-0.71548542,0,0
28,-95.822315,-80.907468,-71.627463,-56.018859,-45.070867,-32.989642,-24.039543,-16.493214,-9.8155286,-6.250007,-2.9682412,-0.71542197,0,0
29,-95.813818,-80.900293,-71.62111,-56.013891,-45.06687,-32.986717,-24.037411,-16.491752,-9.8146581,-6.2494527,-2.967978,-0.71535853,0,0
30,-95.80532,-80.893118,-71.614758,-56.008923,-45.062873,-32.983791,-24.035279,-16.490289,-9.8137877,-6.2488984,-2.9677148,-0.71529508,0,0
31,-95.796822,-80.885943,-71.608406,-56.003955,-45.058876,-32.980866,-24.033147,-16.488826,-9.8129172,-6.2483442,-2.9674515,-0.71523164,0,0
32,-95.788324,-80.878768,-71.602054,-55.998987,-45.054879,-32.97794,-24.031015,-16.487364,-9.8120468,-6.2477899,-2.9671883,-0.71516819,0,0
33,-95.779827,-80.871593,-71.595702,-55.994019,-45.050882,-32.975015,-24.028883,-16.485901,-9.8111763,-6.2472357,-2.9669251,-0.71510475,0,0
34,-95.771329,-80.864418,-71.58935,-55.989052,-45.046885,-32.972089,-24.026751,-16.484438,-9.8103059,-6.2466814,-2.9666619,-0.7150413,0,0
35,-95.762831,-80.857243,-71.582998,-55.984084,-45.042888,-32.969163,-24.02462,-16.482976,-9.8094354,-6.2461271,-2.9663986,-0.71497786,0,0
36,-95.754334,-80.850068,-71.576646,-55.979116,-45.038891,-32.966238,-24.022488,-16.481513,-9.8085649,-6.2455729,-2.9661354,-0.71491442,0,0
37,-95.745836,-80.842893,-71.570294,-55.974148,-45.034894,-32.963312,-24.020356,-16.480051,-9.8076945,-6.2450186,-2.9658722,-0.71485097,0,0
38,-95.737338,-80.835718,-71.563942,-55.96918,-45.030898,-32.960387,-24.018224,-16.478588,-9.806824,-6.2444643,-2.9656089,-0.71478753,0,0
