Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa)
0,-32.801621,0,0,0,0,-0.15330847,-0.10947066,0,0,0,-1.1809729,-11.765574,0,0,0,0
1,-32.730458,0,0,0,0,-0.15297586,-0.10923316,0,0,0,-1.1784107,-11.740048,0,0,0,0
2,-32.659294,0,0,0,0,-0.15264326,-0.10899566,0,0,0,-1.1758486,-11.714523,0,0,0,0
3,-32.58813,0,0,0,0,-0.15231065,-0.10875817,0,0,0,-1.1732865,-11.688997,0,0,0,0
4,-32.516967,0,0,0,0,-0.15197805,-0.10852067,0,0,0,-1.1707243,-11.663472,0,0,0,0
5,-32.445803,0,0,0,0,-0.15164544,-0.10828317,0,0,0,-1.1681622,-11.637946,0,0,0,0
6,-32.37464,0,0,0,0,-0.15131284,-0.10804567,0,0,0,-1.1656001,-11.61242,0,0,0,0
7,-32.303476,0,0,0,0,-0.15098023,-0.10780817,0,0,0,-1.1630379,-11.586895,0,0,0,0
8,-32.232312,0,0,0,0,-0.15064763,-0.10757067,0,0,0,-1.1604758,-11.561369,0,0,0,0
9,-32.161149,0,0,0,0,-0.15031502,-0.10733318,0,0,0,-1.1579136,-11.535844,0,0,0,0
10,-32.089985,0,0,0,0,-0.14998242,-0.10709568,0,0,0,-1.1553515,-11.510318,0,0,0,0
11,-32.018822,0,0,0,0,-0.14964981,-0.10685818,0,0,0,-1.1527894,-11.484792,0,0,0,0
12,-31.947658,0,0,0,0,-0.14931721,-0.10662068,0,0,0,-1.1502272,-11.459267,0,0,0,0
13,-31.876494,0,0,0,0,-0.1489846,-0.10638318,0,0,0,-1.1476651,-11.433741,0,0,0,0
14,-31.805331,0,0,0,0,-0.148652,-0.10614569,0,0,0,-1.145103,-11.408216,0,0,0,0
15,-31.734167,0,0,0,0,-0.14831939,-0.10590819,0,0,0,-1.1425408,-11.38269,0,0,0,0
16,-31.663004,0,0,0,0,-0.14798679,-0.10567069,0,0,0,-1.1399787,-11.357165,0,0,0,0
17,-31.59184,0,0,0,0,-0.14765418,-0.10543319,0,0,0,-1.1374165,-11.331639,0,0,0,0
18,-31.520676,0,0,0,0,-0.14732158,-0.10519569,0,0,0,-1.1348544,-11.306113,0,0,0,0
19,-31.449513,0,0,0,0,-0.14698897,-0.10495819,0,0,0,-1.1322923,-11.280588,0,0,0,0
20,-31.378349,0,0,0,0,-0.14665637,-0.1047207,0,0,0,-1.1297301,-11.255062,0,0,0,0
21,-31.307186,0,0,0,0,-0.14632376,-0.1044832,0,0,0,-1.127168,-11.229537,0,0,0,0
22,-31.236022,0,0,0,0,-0.14599116,-0.1042457,0,0,0,-1.1246059,-11.204011,0,0,0,0
23,-31.164858,0,0,0,0,-0.14565855,-0.1040082,0,0,0,-1.1220437,-11.178485,0,0,0,0
24,-31.093695,0,0,0,0,-0.14532595,-0.1037707,0,0,0,-1.1194816,-11.15296,0,0,0,0
25,-31.022531,0,0,0,0,-0.14499334,-0.10353321,0,0,0,-1.1169194,-11.127434,0,0,0,0
26,-30.951368,0,0,0,0,-0.14466074,-0.10329571,0,0,0,-1.1143573,-11.101909,0,0,0,0
27,-30.880204,0,0,0,0,-0.14432813,-0.10305821,0,0,0,-1.1117952,-11.076383,0,0,0,0
28,-30.80904,0,0,0,0,-0.14399553,-0.10282071,0,0,0,-1.109233,-11.050858,0,0,0,0
29,-30.737877,0,0,0,0,-0.14366292,-0.10258321,0,0,0,-1.1066709,-11.025332,0,0,0,0
30,-30.666713,0,0,0,0,-0.14333032,-0.10234571,0,0,0,-1.1041087,-10.999806,0,0,0,0
31,-30.59555,0,0,0,0,-0.14299771,-0.10210822,0,0,0,-1.1015466,-10.974281,0,0,0,0
32,-30.524386,0,0,0,0,-0.14266511,-0.10187072,0,0,0,-1.0989845,-10.948755,0,0,0,0
33,-30.453222,0,0,0,0,-0.1423325,-0.10163322,0,0,0,-1.0964223,-10.92323,0,0,0,0
34,-30.382059,0,0,0,0,-0.1419999,-0.10139572,0,0,0,-1.0938602,-10.897704,0,0,0,0
35,-30.310895,0,0,0,0,-0.14166729,-0.10115822,0,0,0,-1.0912981,-10.872178,0,0,0,0
36,-30.239732,0,0,0,0,-0.14133469,-0.10092073,0,0,0,-1.0887359,-10.846653,0,0,0,0
37,-30.168568,0,0,0,0,-0.14100208,-0.10068323,0,0,0,-1.0861738,-10.821127,0,0,0,0
38,-30.097404,0,0,0,0,-0.14066948,-0.10044573,0,0,0,-1.0836116,-10.795602,0,0,0,0
39,-30.026241,0,0,0,0,-0.14033687,-0.10020823,0,0,0,-1.0810495,-10.770076,0,0,0,0
40,-29.955077,0,0,0,0,-0.14000427,-0.099970733,0,0,0,-1.0784874,-10.744551,0,0,0,0
41,-29.883914,0,0,0,0,-0.13967166,-0.099733234,0,0,0,-1.0759252,-10.719025,0,0,0,0
42,-29.81275,0,0,0,0,-0.13933906,-0.099495736,0,0,0,-1.0733631,-10.693499,0,0,0,0
43,-29.741586,0,0,0,0,-0.13900645,-0.099258238,0,0,0,-1.070801,-10.667974,0,0,0,0
44,-29.670423,0,0,0,0,-0.13867385,-0.09902074,0,0,0,-1.0682388,-10.642448,0,0,0,0
45,-29.599259,0,0,0,0,-0.13834124,-0.098783242,0,0,0,-1.0656767,-10.616923,0,0,0,0
46,-29.528096,0,0,0,0,-0.13800864,-0.098545743,0,0,0,-1.0631145,-10.591397,0,0,0,0
47,-29.456932,0,0,0,0,-0.13767603,-0.098308245,0,0,0,-1.0605524,-10.565871,0,0,0,0
48,-29.385768,0,0,0,0,-0.13734343,-0.098070747,0,0,0,-1.0579903,-10.540346,0,0,0,0
49,-29.314605,0,0,0,0,-0.13701083,-0.097833249,0,0,0,-1.0554281,-10.51482,0,0,0,0
50,-29.243441,0,0,0,0,-0.13667822,-0.097595751,0,0,0,-1.052866,-10.489295,0,0,0,0
51,-29.172278,0,0,0,0,-0.13634562,-0.097358252,0,0,0,-1.0503039,-10.463769,0,0,0,0
52,-29.101114,0,0,0,0,-0.13601301,-0.097120754,0,0,0,-1.0477417,-10.438244,0,0,0,0
53,-29.029951,0,0,0,0,-0.13568041,-0.096883256,0,0,0,-1.0451796,-10.412718,0,0,0,0
54,-28.958787,0,0,0,0,-0.1353478,-0.096645758,0,0,0,-1.0426174,-10.387192,0,0,0,0
55,-28.887623,0,0,0,0,-0.1350152,-0.09640826,0,0,0,-1.0400553,-10.361667,0,0,0,0
56,-28.81646,0,0,0,0,-0.13468259,-0.096170761,0,0,0,-1.0374932,-10.336141,0,0,0,0
57,-28.745296,0,0,0,0,-0.13434999,-0.095933263,0,0,0,-1.034931,-10.310616,0,0,0,0
58,-28.674133,0,0,0,0,-0.13401738,-0.095695765,0,0,0,-1.0323689,-10.28509,0,0,0,0
59,-28.602969,0,0,0,0,-0.13368478,-0.095458267,0,0,0,-1.0298067,-10.259564,0,0,0,0
60,-28.531805,0,0,0,0,-0.13335217,-0.095220769,0,0,0,-1.0272446,-10.234039,0,0,0,0
61,-28.460642,0,0,0,0,-0.13301957,-0.09498327,0,0,0,-1.0246825,-10.208513,0,0,0,0
62,-28.389478,0,0,0,0,-0.13268696,-0.094745772,0,0,0,-1.0221203,-10.182988,0,0,0,0
63,-28.318315,0,0,0,0,-0.13235436,-0.094508274,0,0,0,-1.0195582,-10.157462,0,0,0,0
64,-28.247151,0,0,0,0,-0.13202175,-0.094270776,0,0,0,-1.0169961,-10.131936,0,0,0,0
65,-28.175987,0,0,0,0,-0.13168915,-0.094033278,0,0,0,-1.0144339,-10.106411,0,0,0,0
66,-28.104824,0,0,0,0,-0.13135654,-0.09379578,0,0,0,-1.0118718,-10.080885,0,0,0,0
67,-28.03366,0,0,0,0,-0.13102394,-0.093558281,0,0,0,-1.0093096,-10.05536,0,0,0,0
68,-27.962497,0,0,0,0,-0.13069133,-0.093320783,0,0,0,-1.0067475,-10.029834,0,0,0,0
69,-27.891333,0,0,0,0,-0.13035873,-0.093083285,0,0,0,-1.0041854,-10.004309,0,0,0,0
70,-27.820169,0,0,0,0,-0.13002612,-0.092845787,0,0,0,-1.0016232,-9.978783,0,0,0,0
71,-27.749006,0,0,0,0,-0.12969352,-0.092608289,0,0,0,-0.99906109,-9.9532574,0,0,0,0
72,-27.677842,0,0,0,0,-0.12936091,-0.09237079,0,0,0,-0.99649895,-9.9277318,0,0,0,0
73,-27.606679,0,0,0,0,-0.12902831,-0.092133292,0,0,0,-0.99393682,-9.9022062,0,0,0,0
74,-27.535515,0,0,0,0,-0.1286957,-0.091895794,0,0,0,-0.99137468,-9.8766806,0,0,0,0
75,-27.464351,0,0,0,0,-0.1283631,-0.091658296,0,0,0,-0.98881254,-9.8511551,0,0,0,0
