Time (ms),Stress at 0.00 mm (kPa),Stress at 0.25 mm (kPa),Stress at 0.46 mm (kPa),Stress at 0.64 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.46 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa)
0,-2.214224,-1.8948707,-1.7172561,-1.5250964,-1.2720751,-1.0310533,-0.83854273,-0.63762552,-0.47119384,-0.32012933,-0.21499716,-0.15068048
1,-2.264252,-1.9376833,-1.7560557,-1.5595543,-1.3008163,-1.0543488,-0.85748871,-0.65203199,-0.48183996,-0.32736231,-0.21985479,-0.15408494
2,-2.3142801,-1.9804959,-1.7948552,-1.5940122,-1.3295575,-1.0776444,-0.87643469,-0.66643846,-0.49248608,-0.33459529,-0.22471242,-0.15748941
3,-2.3643081,-2.0233085,-1.8336548,-1.6284702,-1.3582987,-1.1009399,-0.89538067,-0.68084493,-0.50313221,-0.34182827,-0.22957005,-0.16089387
4,-2.4143361,-2.0661211,-1.8724544,-1.6629281,-1.3870398,-1.1242355,-0.91432664,-0.6952514,-0.51377833,-0.34906125,-0.23442768,-0.16429834
5,-2.4643641,-2.1089336,-1.911254,-1.697386,-1.415781,-1.147531,-0.93327262,-0.70965786,-0.52442445,-0.35629423,-0.23928531,-0.1677028
6,-2.5143922,-2.1517462,-1.9500535,-1.7318439,-1.4445222,-1.1708266,-0.9522186,-0.72406433,-0.53507057,-0.36352721,-0.24414294,-0.17110727
7,-2.5644202,-2.1945588,-1.9888531,-1.7663019,-1.4732634,-1.1941221,-0.97116458,-0.7384708,-0.5457167,-0.37076019,-0.24900058,-0.17451173
8,-2.6144482,-2.2373714,-2.0276527,-1.8007598,-1.5020046,-1.2174177,-0.99011056,-0.75287727,-0.55636282,-0.37799317,-0.25385821,-0.1779162
9,-2.6644763,-2.280184,-2.0664522,-1.8352177,-1.5307458,-1.2407132,-1.0090565,-0.76728374,-0.56700894,-0.38522616,-0.25871584,-0.18132066
10,-2.7145043,-2.3229966,-2.1052518,-1.8696756,-1.5594869,-1.2640088,-1.0280025,-0.78169021,-0.57765506,-0.39245914,-0.26357347,-0.18472513
11,-2.7645323,-2.3658091,-2.1440514,-1.9041336,-1.5882281,-1.2873043,-1.0469485,-0.79609668,-0.58830119,-0.39969212,-0.2684311,-0.18812959
12,-2.8145604,-2.4086217,-2.1828509,-1.9385915,-1.6169693,-1.3105999,-1.0658945,-0.81050315,-0.59894731,-0.4069251,-0.27328873,-0.19153406
13,-2.8645884,-2.4514343,-2.2216505,-1.9730494,-1.6457105,-1.3338954,-1.0848405,-0.82490961,-0.60959343,-0.41415808,-0.27814636,-0.19493852
14,-2.9146164,-2.4942469,-2.2604501,-2.0075073,-1.6744517,-1.357191,-1.1037864,-0.83931608,-0.62023955,-0.42139106,-0.283004,-0.19834298
15,-2.9646444,-2.5370595,-2.2992497,-2.0419653,-1.7031928,-1.3804865,-1.1227324,-0.85372255,-0.63088567,-0.42862404,-0.28786163,-0.20174745
16,-3.0146725,-2.5798721,-2.3380492,-2.0764232,-1.731934,-1.4037821,-1.1416784,-0.86812902,-0.6415318,-0.43585702,-0.29271926,-0.20515191
17,-3.0647005,-2.6226846,-2.3768488,-2.1108811,-1.7606752,-1.4270776,-1.1606244,-0.88253549,-0.65217792,-0.44309,-0.29757689,-0.20855638
18,-3.1147285,-2.6654972,-2.4156484,-2.1453391,-1.7894164,-1.4503732,-1.1795703,-0.89694196,-0.66282404,-0.45032298,-0.30243452,-0.21196084
19,-3.1647566,-2.7083098,-2.4544479,-2.179797,-1.8181576,-1.4736687,-1.1985163,-0.91134843,-0.67347016,-0.45755596,-0.30729215,-0.21536531
20,-3.2147846,-2.7511224,-2.4932475,-2.2142549,-1.8468987,-1.4969643,-1.2174623,-0.92575489,-0.68411629,-0.46478894,-0.31214978,-0.21876977
21,-3.2648126,-2.793935,-2.5320471,-2.2487128,-1.8756399,-1.5202598,-1.2364083,-0.94016136,-0.69476241,-0.47202193,-0.31700742,-0.22217424
