Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
0,-96.06025,0,0,0,0,0,0,0,0,-3.8249218,-1.6476375,0,0,0,0,0,-4.6630202,-46.313077,-45.992382,0,0,0,0,0,-0.10208688,-2.3176595,0,0,0,0,0,0,0,0,0
1,-96.051753,0,0,0,0,0,0,0,0,-3.8245835,-1.6474917,0,0,0,0,0,-4.6626077,-46.30898,-45.988314,0,0,0,0,0,-0.10207785,-2.3174545,0,0,0,0,0,0,0,0,0
2,-96.043255,0,0,0,0,0,0,0,0,-3.8242451,-1.647346,0,0,0,0,0,-4.6621952,-46.304883,-45.984245,0,0,0,0,0,-0.10206882,-2.3172495,0,0,0,0,0,0,0,0,0
3,-96.034757,0,0,0,0,0,0,0,0,-3.8239068,-1.6472002,0,0,0,0,0,-4.6617827,-46.300786,-45.980177,0,0,0,0,0,-0.10205979,-2.3170444,0,0,0,0,0,0,0,0,0
4,-96.02626,0,0,0,0,0,0,0,0,-3.8235684,-1.6470545,0,0,0,0,0,-4.6613702,-46.296689,-45.976108,0,0,0,0,0,-0.10205076,-2.3168394,0,0,0,0,0,0,0,0,0
5,-96.017762,0,0,0,0,0,0,0,0,-3.82323,-1.6469087,0,0,0,0,0,-4.6609577,-46.292592,-45.97204,0,0,0,0,0,-0.10204172,-2.3166344,0,0,0,0,0,0,0,0,0
6,-96.009264,0,0,0,0,0,0,0,0,-3.8228917,-1.646763,0,0,0,0,0,-4.6605452,-46.288495,-45.967971,0,0,0,0,0,-0.10203269,-2.3164294,0,0,0,0,0,0,0,0,0
7,-96.000767,0,0,0,0,0,0,0,0,-3.8225533,-1.6466172,0,0,0,0,0,-4.6601327,-46.284398,-45.963902,0,0,0,0,0,-0.10202366,-2.3162243,0,0,0,0,0,0,0,0,0
8,-95.992269,0,0,0,0,0,0,0,0,-3.822215,-1.6464715,0,0,0,0,0,-4.6597202,-46.280301,-45.959834,0,0,0,0,0,-0.10201463,-2.3160193,0,0,0,0,0,0,0,0,0
9,-95.983771,0,0,0,0,0,0,0,0,-3.8218766,-1.6463257,0,0,0,0,0,-4.6593077,-46.276205,-45.955765,0,0,0,0,0,-0.1020056,-2.3158143,0,0,0,0,0,0,0,0,0
