Time (ms),Stress at 0.00 mm (kPa),Stress at 0.24 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.66 mm (kPa),Stress at 0.86 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.86 mm (kPa),Stress at 2.06 mm (kPa),Stress at 2.26 mm (kPa),Stress at 2.46 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.25 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.85 mm (kPa)
0,-32.801621,-27.443363,-23.272437,-19.486905,-16.149138,-11.897493,-9.2140167,-5.8442295,-3.8404834,-1.8460576,-0.70500714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-32.730458,-27.383824,-23.221947,-19.444627,-16.114102,-11.871682,-9.1940267,-5.8315504,-3.8321514,-1.8420526,-0.70347762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-32.659294,-27.324286,-23.171457,-19.40235,-16.079066,-11.84587,-9.1740368,-5.8188712,-3.8238194,-1.8380476,-0.70194809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-32.58813,-27.264747,-23.120967,-19.360073,-16.04403,-11.820058,-9.1540469,-5.8061921,-3.8154874,-1.8340425,-0.70041857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-32.516967,-27.205208,-23.070477,-19.317796,-16.008994,-11.794246,-9.1340569,-5.7935129,-3.8071554,-1.8300375,-0.69888905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-32.445803,-27.145669,-23.019987,-19.275519,-15.973959,-11.768435,-9.114067,-5.7808338,-3.7988234,-1.8260324,-0.69735952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-32.37464,-27.08613,-22.969498,-19.233242,-15.938923,-11.742623,-9.094077,-5.7681546,-3.7904915,-1.8220274,-0.69583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-32.303476,-27.026592,-22.919008,-19.190965,-15.903887,-11.716811,-9.0740871,-5.7554755,-3.7821595,-1.8180223,-0.69430048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-32.232312,-26.967053,-22.868518,-19.148688,-15.868851,-11.690999,-9.0540971,-5.7427964,-3.7738275,-1.8140173,-0.69277095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-32.161149,-26.907514,-22.818028,-19.10641,-15.833815,-11.665187,-9.0341072,-5.7301172,-3.7654955,-1.8100122,-0.69124143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-32.089985,-26.847975,-22.767538,-19.064133,-15.79878,-11.639376,-9.0141172,-5.7174381,-3.7571635,-1.8060072,-0.68971191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-32.018822,-26.788437,-22.717048,-19.021856,-15.763744,-11.613564,-8.9941273,-5.7047589,-3.7488315,-1.8020021,-0.68818238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-31.947658,-26.728898,-22.666558,-18.979579,-15.728708,-11.587752,-8.9741374,-5.6920798,-3.7404996,-1.7979971,-0.68665286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-31.876494,-26.669359,-22.616068,-18.937302,-15.693672,-11.56194,-8.9541474,-5.6794007,-3.7321676,-1.793992,-0.68512334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-31.805331,-26.60982,-22.565578,-18.895025,-15.658636,-11.536128,-8.9341575,-5.6667215,-3.7238356,-1.789987,-0.68359381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-31.734167,-26.550281,-22.515089,-18.852748,-15.623601,-11.510317,-8.9141675,-5.6540424,-3.7155036,-1.7859819,-0.68206429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-31.663004,-26.490743,-22.464599,-18.810471,-15.588565,-11.484505,-8.8941776,-5.6413632,-3.7071716,-1.7819769,-0.68053477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-31.59184,-26.431204,-22.414109,-18.768193,-15.553529,-11.458693,-8.8741876,-5.6286841,-3.6988396,-1.7779718,-0.67900524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-31.520676,-26.371665,-22.363619,-18.725916,-15.518493,-11.432881,-8.8541977,-5.6160049,-3.6905076,-1.7739668,-0.67747572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-31.449513,-26.312126,-22.313129,-18.683639,-15.483458,-11.40707,-8.8342078,-5.6033258,-3.6821757,-1.7699617,-0.6759462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-31.378349,-26.252588,-22.262639,-18.641362,-15.448422,-11.381258,-8.8142178,-5.5906467,-3.6738437,-1.7659567,-0.67441667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-31.307186,-26.193049,-22.212149,-18.599085,-15.413386,-11.355446,-8.7942279,-5.5779675,-3.6655117,-1.7619516,-0.67288715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-31.236022,-26.13351,-22.161659,-18.556808,-15.37835,-11.329634,-8.7742379,-5.5652884,-3.6571797,-1.7579466,-0.67135763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-31.164858,-26.073971,-22.111169,-18.514531,-15.343314,-11.303822,-8.754248,-5.5526092,-3.6488477,-1.7539415,-0.6698281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-31.093695,-26.014432,-22.060679,-18.472254,-15.308279,-11.278011,-8.734258,-5.5399301,-3.6405157,-1.7499365,-0.66829858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-31.022531,-25.954894,-22.01019,-18.429976,-15.273243,-11.252199,-8.7142681,-5.527251,-3.6321837,-1.7459314,-0.66676906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-30.951368,-25.895355,-21.9597,-18.387699,-15.238207,-11.226387,-8.6942781,-5.5145718,-3.6238518,-1.7419264,-0.66523953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
