Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa)
0,-2.214224,0,0,0,0,0,0,0,0,-0.083901721,-0.11208248,0,0,0,0,0,0,-0.17826387,-1.9936759,-1.0813273,-0.010088765,0,0,0,0,-0.065858976,-0.26097963,-0.10790831,0,0,0,0,0,0,0,0,0,0
1,-2.264252,0,0,0,0,0,0,0,0,-0.085797391,-0.11461486,0,0,0,0,0,0,-0.18229155,-2.0387209,-1.1057587,-0.01031671,0,0,0,0,-0.06734699,-0.26687619,-0.11034639,0,0,0,0,0,0,0,0,0,0
2,-2.3142801,0,0,0,0,0,0,0,0,-0.087693061,-0.11714724,0,0,0,0,0,0,-0.18631924,-2.0837658,-1.1301901,-0.010544655,0,0,0,0,-0.068835003,-0.27277275,-0.11278446,0,0,0,0,0,0,0,0,0,0
3,-2.3643081,0,0,0,0,0,0,0,0,-0.089588731,-0.11967963,0,0,0,0,0,0,-0.19034692,-2.1288108,-1.1546216,-0.0107726,0,0,0,0,-0.070323016,-0.2786693,-0.11522253,0,0,0,0,0,0,0,0,0,0
4,-2.4143361,0,0,0,0,0,0,0,0,-0.091484401,-0.12221201,0,0,0,0,0,0,-0.1943746,-2.1738558,-1.179053,-0.011000545,0,0,0,0,-0.07181103,-0.28456586,-0.11766061,0,0,0,0,0,0,0,0,0,0
5,-2.4643641,0,0,0,0,0,0,0,0,-0.093380071,-0.1247444,0,0,0,0,0,0,-0.19840228,-2.2189008,-1.2034845,-0.01122849,0,0,0,0,-0.073299043,-0.29046242,-0.12009868,0,0,0,0,0,0,0,0,0,0
6,-2.5143922,0,0,0,0,0,0,0,0,-0.095275741,-0.12727678,0,0,0,0,0,0,-0.20242996,-2.2639458,-1.2279159,-0.011456435,0,0,0,0,-0.074787056,-0.29635897,-0.12253675,0,0,0,0,0,0,0,0,0,0
7,-2.5644202,0,0,0,0,0,0,0,0,-0.097171411,-0.12980917,0,0,0,0,0,0,-0.20645765,-2.3089907,-1.2523473,-0.01168438,0,0,0,0,-0.07627507,-0.30225553,-0.12497483,0,0,0,0,0,0,0,0,0,0
8,-2.6144482,0,0,0,0,0,0,0,0,-0.09906708,-0.13234155,0,0,0,0,0,0,-0.21048533,-2.3540357,-1.2767788,-0.011912325,0,0,0,0,-0.077763083,-0.30815209,-0.1274129,0,0,0,0,0,0,0,0,0,0
9,-2.6644763,0,0,0,0,0,0,0,0,-0.10096275,-0.13487393,0,0,0,0,0,0,-0.21451301,-2.3990807,-1.3012102,-0.012140269,0,0,0,0,-0.079251096,-0.31404864,-0.12985097,0,0,0,0,0,0,0,0,0,0
10,-2.7145043,0,0,0,0,0,0,0,0,-0.10285842,-0.13740632,0,0,0,0,0,0,-0.21854069,-2.4441257,-1.3256416,-0.012368214,0,0,0,0,-0.08073911,-0.3199452,-0.13228905,0,0,0,0,0,0,0,0,0,0
11,-2.7645323,0,0,0,0,0,0,0,0,-0.10475409,-0.1399387,0,0,0,0,0,0,-0.22256837,-2.4891707,-1.3500731,-0.012596159,0,0,0,0,-0.082227123,-0.32584176,-0.13472712,0,0,0,0,0,0,0,0,0,0
12,-2.8145604,0,0,0,0,0,0,0,0,-0.10664976,-0.14247109,0,0,0,0,0,0,-0.22659606,-2.5342157,-1.3745045,-0.012824104,0,0,0,0,-0.083715136,-0.33173831,-0.13716519,0,0,0,0,0,0,0,0,0,0
13,-2.8645884,0,0,0,0,0,0,0,0,-0.10854543,-0.14500347,0,0,0,0,0,0,-0.23062374,-2.5792606,-1.3989359,-0.013052049,0,0,0,0,-0.08520315,-0.33763487,-0.13960327,0,0,0,0,0,0,0,0,0,0
14,-2.9146164,0,0,0,0,0,0,0,0,-0.1104411,-0.14753585,0,0,0,0,0,0,-0.23465142,-2.6243056,-1.4233674,-0.013279994,0,0,0,0,-0.086691163,-0.34353143,-0.14204134,0,0,0,0,0,0,0,0,0,0
15,-2.9646444,0,0,0,0,0,0,0,0,-0.11233677,-0.15006824,0,0,0,0,0,0,-0.2386791,-2.6693506,-1.4477988,-0.013507939,0,0,0,0,-0.088179176,-0.34942798,-0.14447941,0,0,0,0,0,0,0,0,0,0
16,-3.0146725,0,0,0,0,0,0,0,0,-0.11423244,-0.15260062,0,0,0,0,0,0,-0.24270678,-2.7143956,-1.4722303,-0.013735884,0,0,0,0,-0.08966719,-0.35532454,-0.14691749,0,0,0,0,0,0,0,0,0,0
17,-3.0647005,0,0,0,0,0,0,0,0,-0.11612811,-0.15513301,0,0,0,0,0,0,-0.24673447,-2.7594406,-1.4966617,-0.013963829,0,0,0,0,-0.091155203,-0.3612211,-0.14935556,0,0,0,0,0,0,0,0,0,0
18,-3.1147285,0,0,0,0,0,0,0,0,-0.11802378,-0.15766539,0,0,0,0,0,0,-0.25076215,-2.8044855,-1.5210931,-0.014191773,0,0,0,0,-0.092643217,-0.36711765,-0.15179363,0,0,0,0,0,0,0,0,0,0
19,-3.1647566,0,0,0,0,0,0,0,0,-0.11991945,-0.16019777,0,0,0,0,0,0,-0.25478983,-2.8495305,-1.5455246,-0.014419718,0,0,0,0,-0.09413123,-0.37301421,-0.15423171,0,0,0,0,0,0,0,0,0,0
20,-3.2147846,0,0,0,0,0,0,0,0,-0.12181512,-0.16273016,0,0,0,0,0,0,-0.25881751,-2.8945755,-1.569956,-0.014647663,0,0,0,0,-0.095619243,-0.37891077,-0.15666978,0,0,0,0,0,0,0,0,0,0
21,-3.2648126,0,0,0,0,0,0,0,0,-0.12371079,-0.16526254,0,0,0,0,0,0,-0.2628452,-2.9396205,-1.5943874,-0.014875608,0,0,0,0,-0.097107257,-0.38480732,-0.15910785,0,0,0,0,0,0,0,0,0,0
22,-3.3148407,0,0,0,0,0,0,0,0,-0.12560646,-0.16779493,0,0,0,0,0,0,-0.26687288,-2.9846655,-1.6188189,-0.015103553,0,0,0,0,-0.09859527,-0.39070388,-0.16154593,0,0,0,0,0,0,0,0,0,0
23,-3.3648687,0,0,0,0,0,0,0,0,-0.12750213,-0.17032731,0,0,0,0,0,0,-0.27090056,-3.0297104,-1.6432503,-0.015331498,0,0,0,0,-0.10008328,-0.39660044,-0.163984,0,0,0,0,0,0,0,0,0,0
24,-3.4148967,0,0,0,0,0,0,0,0,-0.1293978,-0.17285969,0,0,0,0,0,0,-0.27492824,-3.0747554,-1.6676817,-0.015559443,0,0,0,0,-0.1015713,-0.40249699,-0.16642207,0,0,0,0,0,0,0,0,0,0
25,-3.4649247,0,0,0,0,0,0,0,0,-0.13129347,-0.17539208,0,0,0,0,0,0,-0.27895592,-3.1198004,-1.6921132,-0.015787388,0,0,0,0,-0.10305931,-0.40839355,-0.16886015,0,0,0,0,0,0,0,0,0,0
26,-3.5149528,0,0,0,0,0,0,0,0,-0.13318914,-0.17792446,0,0,0,0,0,0,-0.28298361,-3.1648454,-1.7165446,-0.016015333,0,0,0,0,-0.10454732,-0.4142901,-0.17129822,0,0,0,0,0,0,0,0,0,0
27,-3.5649808,0,0,0,0,0,0,0,0,-0.13508481,-0.18045685,0,0,0,0,0,0,-0.28701129,-3.2098904,-1.7409761,-0.016243278,0,0,0,0,-0.10603534,-0.42018666,-0.17373629,0,0,0,0,0,0,0,0,0,0
28,-3.6150088,0,0,0,0,0,0,0,0,-0.13698048,-0.18298923,0,0,0,0,0,0,-0.29103897,-3.2549353,-1.7654075,-0.016471222,0,0,0,0,-0.10752335,-0.42608322,-0.17617437,0,0,0,0,0,0,0,0,0,0
29,-3.6650369,0,0,0,0,0,0,0,0,-0.13887615,-0.18552161,0,0,0,0,0,0,-0.29506665,-3.2999803,-1.7898389,-0.016699167,0,0,0,0,-0.10901136,-0.43197977,-0.17861244,0,0,0,0,0,0,0,0,0,0
30,-3.7150649,0,0,0,0,0,0,0,0,-0.14077182,-0.188054,0,0,0,0,0,0,-0.29909433,-3.3450253,-1.8142704,-0.016927112,0,0,0,0,-0.11049938,-0.43787633,-0.18105051,0,0,0,0,0,0,0,0,0,0
31,-3.7650929,0,0,0,0,0,0,0,0,-0.14266749,-0.19058638,0,0,0,0,0,0,-0.30312202,-3.3900703,-1.8387018,-0.017155057,0,0,0,0,-0.11198739,-0.44377289,-0.18348859,0,0,0,0,0,0,0,0,0,0
32,-3.7833415,0,0,0,0,0,0,0,0,-0.14335897,-0.19151011,0,0,0,0,0,0,-0.30459118,-3.4065012,-1.8476136,-0.017238204,0,0,0,0,-0.11253017,-0.44592376,-0.18437791,0,0,0,0,0,0,0,0,0,0
33,-3.8015857,0,0,0,0,0,0,0,0,-0.14405028,-0.19243362,0,0,0,0,0,0,-0.30605999,-3.4229282,-1.8565232,-0.017321331,0,0,0,0,-0.11307282,-0.44807411,-0.18526703,0,0,0,0,0,0,0,0,0,0
34,-3.8198299,0,0,0,0,0,0,0,0,-0.14474159,-0.19335713,0,0,0,0,0,0,-0.30752881,-3.4393552,-1.8654329,-0.017404458,0,0,0,0,-0.11361546,-0.45022446,-0.18615615,0,0,0,0,0,0,0,0,0,0
35,-3.8380741,0,0,0,0,0,0,0,0,-0.1454329,-0.19428064,0,0,0,0,0,0,-0.30899762,-3.4557822,-1.8743425,-0.017487584,0,0,0,0,-0.11415811,-0.45237482,-0.18704526,0,0,0,0,0,0,0,0,0,0
36,-3.8563183,0,0,0,0,0,0,0,0,-0.14612421,-0.19520415,0,0,0,0,0,0,-0.31046644,-3.4722091,-1.8832522,-0.017570711,0,0,0,0,-0.11470076,-0.45452517,-0.18793438,0,0,0,0,0,0,0,0,0,0
37,-3.8745625,0,0,0,0,0,0,0,0,-0.14681553,-0.19612766,0,0,0,0,0,0,-0.31193525,-3.4886361,-1.8921618,-0.017653838,0,0,0,0,-0.11524341,-0.45667553,-0.18882349,0,0,0,0,0,0,0,0,0,0
38,-3.8928067,0,0,0,0,0,0,0,0,-0.14750684,-0.19705117,0,0,0,0,0,0,-0.31340406,-3.5050631,-1.9010715,-0.017736965,0,0,0,0,-0.11578606,-0.45882588,-0.18971261,0,0,0,0,0,0,0,0,0,0
39,-3.9110509,0,0,0,0,0,0,0,0,-0.14819815,-0.19797467,0,0,0,0,0,0,-0.31487288,-3.5214901,-1.9099811,-0.017820092,0,0,0,0,-0.1163287,-0.46097623,-0.19060172,0,0,0,0,0,0,0,0,0,0
40,-3.9292951,0,0,0,0,0,0,0,0,-0.14888946,-0.19889818,0,0,0,0,0,0,-0.31634169,-3.5379171,-1.9188908,-0.017903219,0,0,0,0,-0.11687135,-0.46312659,-0.19149084,0,0,0,0,0,0,0,0,0,0
41,-3.9475393,0,0,0,0,0,0,0,0,-0.14958078,-0.19982169,0,0,0,0,0,0,-0.3178105,-3.5543441,-1.9278004,-0.017986346,0,0,0,0,-0.117414,-0.46527694,-0.19237996,0,0,0,0,0,0,0,0,0,0
42,-3.9657835,0,0,0,0,0,0,0,0,-0.15027209,-0.2007452,0,0,0,0,0,0,-0.31927932,-3.5707711,-1.9367101,-0.018069472,0,0,0,0,-0.11795665,-0.4674273,-0.19326907,0,0,0,0,0,0,0,0,0,0
43,-3.9840277,0,0,0,0,0,0,0,0,-0.1509634,-0.20166871,0,0,0,0,0,0,-0.32074813,-3.587198,-1.9456197,-0.018152599,0,0,0,0,-0.1184993,-0.46957765,-0.19415819,0,0,0,0,0,0,0,0,0,0
44,-4.0022719,0,0,0,0,0,0,0,0,-0.15165471,-0.20259222,0,0,0,0,0,0,-0.32221694,-3.603625,-1.9545293,-0.018235726,0,0,0,0,-0.11904195,-0.471728,-0.1950473,0,0,0,0,0,0,0,0,0,0
45,-4.0205161,0,0,0,0,0,0,0,0,-0.15234602,-0.20351573,0,0,0,0,0,0,-0.32368576,-3.620052,-1.963439,-0.018318853,0,0,0,0,-0.11958459,-0.47387836,-0.19593642,0,0,0,0,0,0,0,0,0,0
46,-4.0387603,0,0,0,0,0,0,0,0,-0.15303734,-0.20443924,0,0,0,0,0,0,-0.32515457,-3.636479,-1.9723486,-0.01840198,0,0,0,0,-0.12012724,-0.47602871,-0.19682553,0,0,0,0,0,0,0,0,0,0
47,-4.0570045,0,0,0,0,0,0,0,0,-0.15372865,-0.20536274,0,0,0,0,0,0,-0.32662338,-3.652906,-1.9812583,-0.018485107,0,0,0,0,-0.12066989,-0.47817907,-0.19771465,0,0,0,0,0,0,0,0,0,0
48,-4.0752487,0,0,0,0,0,0,0,0,-0.15441996,-0.20628625,0,0,0,0,0,0,-0.3280922,-3.669333,-1.9901679,-0.018568234,0,0,0,0,-0.12121254,-0.48032942,-0.19860376,0,0,0,0,0,0,0,0,0,0
49,-4.0934929,0,0,0,0,0,0,0,0,-0.15511127,-0.20720976,0,0,0,0,0,0,-0.32956101,-3.68576,-1.9990776,-0.01865136,0,0,0,0,-0.12175519,-0.48247977,-0.19949288,0,0,0,0,0,0,0,0,0,0
50,-4.1117371,0,0,0,0,0,0,0,0,-0.15580259,-0.20813327,0,0,0,0,0,0,-0.33102983,-3.702187,-2.0079872,-0.018734487,0,0,0,0,-0.12229783,-0.48463013,-0.200382,0,0,0,0,0,0,0,0,0,0
