X coord (mm),Y coord (mm)
7.28337,2.70374
2.22035,0.190016
3.16104,0.148722
4.42564,0.0866619
5.64449,0.0274306
6.72819,-0.00772453
7.75537,0.171883
8.78467,0.315577
1.07547,0.970447
1.88522,0.718201
3.08508,0.639872
4.25962,0.693553
5.5494,0.732373
6.74749,0.671124
7.91222,0.698509
9.06776,0.691625
9.95385,1.03033
0.00527212,1.96156
0.727812,1.90997
1.9433,1.87904
3.11017,1.91812
4.30833,1.83338
5.54576,1.85384
6.70757,1.87233
7.92439,1.85912
9.10684,1.93556
10.2655,1.89102
11.3563,1.9192
0.316176,2.94812
0.710652,3.1076
1.96062,3.04677
3.05009,3.10567
4.34839,3.12617
5.49658,3.05579
6.72428,3.06161
7.89256,3.09245
9.11829,3.15286
10.3118,3.08074
11.4737,3.08579
0.319021,4.43565
0.626851,4.28743
1.9728,4.30427
3.0831,4.34634
4.34446,4.25557
5.51816,4.26853
6.735,4.26303
7.91051,4.25534
9.1462,4.32428
10.2962,4.29688
11.1709,4.11914
0.269372,4.97178
0.789892,5.3103
1.94964,5.44157
3.02836,5.47316
4.29595,5.46764
5.47217,5.46979
6.70709,5.45352
7.90487,5.5329
9.16127,5.49349
10.1111,5.40353
10.5959,5.11434
2.23699,6.01159
3.16214,6.66943
4.24496,6.68493
5.46537,6.67068
6.73427,6.63882
7.82984,6.53238
8.6986,6.16947
