Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa)
0,-32.801621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024743653,-0.9652634,-3.1787026,-4.14368,-0.79804006,0,0,0,0,0,0,0,-0.098732021,-3.0508919,-15.633942,-24.116119,-10.888698,-0.52746981,0,0,0,0,0,0,0,-1.1809729,-9.0503225,-16.156809,-5.6439778,0,0,0,0,0,0,0,0,0,-0.019139584,0,0,0,0,0,0,0,0,0,0,0,0
1,-32.730458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024689971,-0.96316924,-3.1718063,-4.1346902,-0.7963087,0,0,0,0,0,0,0,-0.098517821,-3.0442729,-15.600024,-24.063799,-10.865075,-0.52632546,0,0,0,0,0,0,0,-1.1784107,-9.0306877,-16.121756,-5.6317331,0,0,0,0,0,0,0,0,0,-0.01909806,0,0,0,0,0,0,0,0,0,0,0,0
2,-32.659294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02463629,-0.96107509,-3.1649101,-4.1257004,-0.79457734,0,0,0,0,0,0,0,-0.09830362,-3.037654,-15.566105,-24.011479,-10.841451,-0.5251811,0,0,0,0,0,0,0,-1.1758486,-9.0110529,-16.086704,-5.6194884,0,0,0,0,0,0,0,0,0,-0.019056537,0,0,0,0,0,0,0,0,0,0,0,0
3,-32.58813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024582608,-0.95898094,-3.1580138,-4.1167107,-0.79284599,0,0,0,0,0,0,0,-0.09808942,-3.031035,-15.532187,-23.959158,-10.817828,-0.52403675,0,0,0,0,0,0,0,-1.1732865,-8.9914181,-16.051651,-5.6072437,0,0,0,0,0,0,0,0,0,-0.019015013,0,0,0,0,0,0,0,0,0,0,0,0
4,-32.516967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024528926,-0.95688678,-3.1511176,-4.1077209,-0.79111463,0,0,0,0,0,0,0,-0.097875219,-3.0244161,-15.498269,-23.906838,-10.794205,-0.5228924,0,0,0,0,0,0,0,-1.1707243,-8.9717833,-16.016599,-5.594999,0,0,0,0,0,0,0,0,0,-0.018973489,0,0,0,0,0,0,0,0,0,0,0,0
5,-32.445803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024475245,-0.95479263,-3.1442214,-4.0987311,-0.78938327,0,0,0,0,0,0,0,-0.097661018,-3.0177971,-15.464351,-23.854518,-10.770582,-0.52174804,0,0,0,0,0,0,0,-1.1681622,-8.9521484,-15.981546,-5.5827543,0,0,0,0,0,0,0,0,0,-0.018931966,0,0,0,0,0,0,0,0,0,0,0,0
6,-32.37464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024421563,-0.95269848,-3.1373251,-4.0897413,-0.78765191,0,0,0,0,0,0,0,-0.097446818,-3.0111782,-15.430433,-23.802198,-10.746959,-0.52060369,0,0,0,0,0,0,0,-1.1656001,-8.9325136,-15.946494,-5.5705097,0,0,0,0,0,0,0,0,0,-0.018890442,0,0,0,0,0,0,0,0,0,0,0,0
7,-32.303476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024367881,-0.95060432,-3.1304289,-4.0807516,-0.78592055,0,0,0,0,0,0,0,-0.097232617,-3.0045592,-15.396515,-23.749877,-10.723336,-0.51945934,0,0,0,0,0,0,0,-1.1630379,-8.9128788,-15.911442,-5.558265,0,0,0,0,0,0,0,0,0,-0.018848918,0,0,0,0,0,0,0,0,0,0,0,0
8,-32.232312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024314199,-0.94851017,-3.1235326,-4.0717618,-0.78418919,0,0,0,0,0,0,0,-0.097018417,-2.9979403,-15.362597,-23.697557,-10.699712,-0.51831498,0,0,0,0,0,0,0,-1.1604758,-8.893244,-15.876389,-5.5460203,0,0,0,0,0,0,0,0,0,-0.018807395,0,0,0,0,0,0,0,0,0,0,0,0
9,-32.161149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024260518,-0.94641602,-3.1166364,-4.062772,-0.78245783,0,0,0,0,0,0,0,-0.096804216,-2.9913213,-15.328679,-23.645237,-10.676089,-0.51717063,0,0,0,0,0,0,0,-1.1579136,-8.8736092,-15.841337,-5.5337756,0,0,0,0,0,0,0,0,0,-0.018765871,0,0,0,0,0,0,0,0,0,0,0,0
10,-32.089985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024206836,-0.94432187,-3.1097402,-4.0537823,-0.78072647,0,0,0,0,0,0,0,-0.096590016,-2.9847023,-15.294761,-23.592917,-10.652466,-0.51602627,0,0,0,0,0,0,0,-1.1553515,-8.8539744,-15.806284,-5.5215309,0,0,0,0,0,0,0,0,0,-0.018724348,0,0,0,0,0,0,0,0,0,0,0,0
11,-32.018822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024153154,-0.94222771,-3.1028439,-4.0447925,-0.77899511,0,0,0,0,0,0,0,-0.096375815,-2.9780834,-15.260843,-23.540596,-10.628843,-0.51488192,0,0,0,0,0,0,0,-1.1527894,-8.8343396,-15.771232,-5.5092862,0,0,0,0,0,0,0,0,0,-0.018682824,0,0,0,0,0,0,0,0,0,0,0,0
12,-31.947658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024099473,-0.94013356,-3.0959477,-4.0358027,-0.77726375,0,0,0,0,0,0,0,-0.096161614,-2.9714644,-15.226925,-23.488276,-10.60522,-0.51373757,0,0,0,0,0,0,0,-1.1502272,-8.8147048,-15.736179,-5.4970415,0,0,0,0,0,0,0,0,0,-0.0186413,0,0,0,0,0,0,0,0,0,0,0,0
13,-31.876494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024045791,-0.93803941,-3.0890514,-4.0268129,-0.77553239,0,0,0,0,0,0,0,-0.095947414,-2.9648455,-15.193007,-23.435956,-10.581596,-0.51259321,0,0,0,0,0,0,0,-1.1476651,-8.79507,-15.701127,-5.4847968,0,0,0,0,0,0,0,0,0,-0.018599777,0,0,0,0,0,0,0,0,0,0,0,0
14,-31.805331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023992109,-0.93594525,-3.0821552,-4.0178232,-0.77380103,0,0,0,0,0,0,0,-0.095733213,-2.9582265,-15.159089,-23.383635,-10.557973,-0.51144886,0,0,0,0,0,0,0,-1.145103,-8.7754352,-15.666075,-5.4725521,0,0,0,0,0,0,0,0,0,-0.018558253,0,0,0,0,0,0,0,0,0,0,0,0
15,-31.734167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023938427,-0.9338511,-3.0752589,-4.0088334,-0.77206967,0,0,0,0,0,0,0,-0.095519013,-2.9516076,-15.125171,-23.331315,-10.53435,-0.51030451,0,0,0,0,0,0,0,-1.1425408,-8.7558004,-15.631022,-5.4603074,0,0,0,0,0,0,0,0,0,-0.01851673,0,0,0,0,0,0,0,0,0,0,0,0
16,-31.663004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023884746,-0.93175695,-3.0683627,-3.9998436,-0.77033831,0,0,0,0,0,0,0,-0.095304812,-2.9449886,-15.091253,-23.278995,-10.510727,-0.50916015,0,0,0,0,0,0,0,-1.1399787,-8.7361656,-15.59597,-5.4480627,0,0,0,0,0,0,0,0,0,-0.018475206,0,0,0,0,0,0,0,0,0,0,0,0
