Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa)
0,-2.214224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15949543,-0.710034,-0.64414884,-0.18034918,0,0,0,0,0,0,0,0,-0.063335332,-1.0526167,-2.1692998,-1.4447343,-0.32611961,0,0,0,0,0,0,0,-0.094555332,-0.37876394,-0.63751262,-0.50319435,-0.071970793,0,0,0,0,0,0,0,0,0,-0.010213594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.264252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16309906,-0.72607647,-0.6587027,-0.18442398,0,0,0,0,0,0,0,0,-0.064766326,-1.0763994,-2.2183129,-1.4773765,-0.33348793,0,0,0,0,0,0,0,-0.096691709,-0.38732171,-0.65191654,-0.51456349,-0.073596897,0,0,0,0,0,0,0,0,0,-0.010444359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.3142801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16670269,-0.74211893,-0.67325655,-0.18849877,0,0,0,0,0,0,0,0,-0.066197321,-1.1001822,-2.2673259,-1.5100188,-0.34085626,0,0,0,0,0,0,0,-0.098828086,-0.39587948,-0.66632045,-0.52593263,-0.075223,0,0,0,0,0,0,0,0,0,-0.010675124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.3643081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17030632,-0.75816139,-0.68781041,-0.19257357,0,0,0,0,0,0,0,0,-0.067628315,-1.1239649,-2.3163389,-1.542661,-0.34822458,0,0,0,0,0,0,0,-0.10096446,-0.40443724,-0.68072437,-0.53730177,-0.076849103,0,0,0,0,0,0,0,0,0,-0.01090589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.4143361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17390995,-0.77420385,-0.70236427,-0.19664837,0,0,0,0,0,0,0,0,-0.069059309,-1.1477477,-2.3653519,-1.5753032,-0.35559291,0,0,0,0,0,0,0,-0.10310084,-0.41299501,-0.69512829,-0.54867091,-0.078475207,0,0,0,0,0,0,0,0,0,-0.011136655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.4643641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17751357,-0.79024631,-0.71691812,-0.20072317,0,0,0,0,0,0,0,0,-0.070490304,-1.1715304,-2.4143649,-1.6079455,-0.36296123,0,0,0,0,0,0,0,-0.10523722,-0.42155278,-0.70953221,-0.56004005,-0.08010131,0,0,0,0,0,0,0,0,0,-0.01136742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.5143922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1811172,-0.80628877,-0.73147198,-0.20479796,0,0,0,0,0,0,0,0,-0.071921298,-1.1953132,-2.4633779,-1.6405877,-0.37032956,0,0,0,0,0,0,0,-0.10737359,-0.43011055,-0.72393612,-0.57140919,-0.081727413,0,0,0,0,0,0,0,0,0,-0.011598185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.5644202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18472083,-0.82233123,-0.74602583,-0.20887276,0,0,0,0,0,0,0,0,-0.073352292,-1.2190959,-2.512391,-1.6732299,-0.37769788,0,0,0,0,0,0,0,-0.10950997,-0.43866831,-0.73834004,-0.58277833,-0.083353517,0,0,0,0,0,0,0,0,0,-0.011828951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.6144482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18832446,-0.83837369,-0.76057969,-0.21294756,0,0,0,0,0,0,0,0,-0.074783286,-1.2428787,-2.561404,-1.7058722,-0.38506621,0,0,0,0,0,0,0,-0.11164635,-0.44722608,-0.75274396,-0.59414746,-0.08497962,0,0,0,0,0,0,0,0,0,-0.012059716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.6644763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19192809,-0.85441615,-0.77513355,-0.21702236,0,0,0,0,0,0,0,0,-0.076214281,-1.2666614,-2.610417,-1.7385144,-0.39243453,0,0,0,0,0,0,0,-0.11378272,-0.45578385,-0.76714788,-0.6055166,-0.086605723,0,0,0,0,0,0,0,0,0,-0.012290481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
