Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa)
0,-2.5273078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018282034,-0.00022227169,0,0,0,0,0,0,0,0,0,-0.14145974,-0.28742776,-0.75050184,-0.62483631,-0.14987273,0,0,0,0,0,0,-0.022528761,-0.27719441,-1.0688582,-2.2869719,-1.6084409,-0.41955927,0,0,0,0,0,0,0,-0.0051347863,-0.16565506,-0.4444341,-0.88148321,-0.64429164,-0.14192482,0,0,0,0,0,0,0,0,0,-0.01367635,-0.032549328,-0.00021470664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.4847144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017973922,-0.00021852568,0,0,0,0,0,0,0,0,0,-0.13907568,-0.28258365,-0.73785341,-0.61430576,-0.14734688,0,0,0,0,0,0,-0.022149077,-0.27252277,-1.0508444,-2.2484289,-1.5813333,-0.41248831,0,0,0,0,0,0,0,-0.0050482482,-0.16286323,-0.43694392,-0.86662731,-0.63343321,-0.13953292,0,0,0,0,0,0,0,0,0,-0.013445859,-0.032000765,-0.00021108812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.4421209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017665809,-0.00021477967,0,0,0,0,0,0,0,0,0,-0.13669162,-0.27773955,-0.72520498,-0.60377521,-0.14482104,0,0,0,0,0,0,-0.021769393,-0.26785113,-1.0328306,-2.2098859,-1.5542258,-0.40541736,0,0,0,0,0,0,0,-0.0049617102,-0.16007139,-0.42945374,-0.85177141,-0.62257477,-0.13714102,0,0,0,0,0,0,0,0,0,-0.013215367,-0.031452201,-0.00020746961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.3995274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017357697,-0.00021103366,0,0,0,0,0,0,0,0,0,-0.13430755,-0.27289545,-0.71255655,-0.59324466,-0.14229519,0,0,0,0,0,0,-0.021389709,-0.26317949,-1.0148169,-2.1713428,-1.5271183,-0.3983464,0,0,0,0,0,0,0,-0.0048751721,-0.15727956,-0.42196356,-0.83691552,-0.61171633,-0.13474912,0,0,0,0,0,0,0,0,0,-0.012984876,-0.030903638,-0.0002038511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.356934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017049584,-0.00020728765,0,0,0,0,0,0,0,0,0,-0.13192349,-0.26805134,-0.69990812,-0.58271411,-0.13976934,0,0,0,0,0,0,-0.021010025,-0.25850785,-0.99680308,-2.1327998,-1.5000108,-0.39127544,0,0,0,0,0,0,0,-0.0047886341,-0.15448773,-0.41447338,-0.82205962,-0.6008579,-0.13235722,0,0,0,0,0,0,0,0,0,-0.012754384,-0.030355075,-0.00020023258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.3143405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016741472,-0.00020354164,0,0,0,0,0,0,0,0,0,-0.12953943,-0.26320724,-0.68725969,-0.57218356,-0.13724349,0,0,0,0,0,0,-0.020630342,-0.25383621,-0.9787893,-2.0942568,-1.4729032,-0.38420449,0,0,0,0,0,0,0,-0.004702096,-0.15169589,-0.4069832,-0.80720373,-0.58999946,-0.12996532,0,0,0,0,0,0,0,0,0,-0.012523893,-0.029806511,-0.00019661407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.271747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016433359,-0.00019979563,0,0,0,0,0,0,0,0,0,-0.12715536,-0.25836313,-0.67461127,-0.56165301,-0.13471764,0,0,0,0,0,0,-0.020250658,-0.24916457,-0.96077552,-2.0557138,-1.4457957,-0.37713353,0,0,0,0,0,0,0,-0.0046155579,-0.14890406,-0.39949302,-0.79234783,-0.57914102,-0.12757342,0,0,0,0,0,0,0,0,0,-0.012293401,-0.029257948,-0.00019299555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.2291536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016125247,-0.00019604962,0,0,0,0,0,0,0,0,0,-0.1247713,-0.25351903,-0.66196284,-0.55112246,-0.13219179,0,0,0,0,0,0,-0.019870974,-0.24449293,-0.94276173,-2.0171708,-1.4186882,-0.37006258,0,0,0,0,0,0,0,-0.0045290199,-0.14611223,-0.39200285,-0.77749194,-0.56828259,-0.12518152,0,0,0,0,0,0,0,0,0,-0.012062909,-0.028709384,-0.00018937704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.1865601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015817134,-0.00019230361,0,0,0,0,0,0,0,0,0,-0.12238724,-0.24867492,-0.64931441,-0.54059191,-0.12966594,0,0,0,0,0,0,-0.01949129,-0.2398213,-0.92474795,-1.9786278,-1.3915807,-0.36299162,0,0,0,0,0,0,0,-0.0044424818,-0.14332039,-0.38451267,-0.76263604,-0.55742415,-0.12278962,0,0,0,0,0,0,0,0,0,-0.011832418,-0.028160821,-0.00018575853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.1439667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015509022,-0.0001885576,0,0,0,0,0,0,0,0,0,-0.12000318,-0.24383082,-0.63666598,-0.53006136,-0.12714009,0,0,0,0,0,0,-0.019111606,-0.23514966,-0.90673417,-1.9400848,-1.3644731,-0.35592067,0,0,0,0,0,0,0,-0.0043559437,-0.14052856,-0.37702249,-0.74778014,-0.54656572,-0.12039771,0,0,0,0,0,0,0,0,0,-0.011601926,-0.027612258,-0.00018214001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
