Time (ms),Stress at 0.00 mm (kPa),Stress at 0.23 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.63 mm (kPa),Stress at 0.83 mm (kPa),Stress at 1.03 mm (kPa),Stress at 1.23 mm (kPa),Stress at 1.43 mm (kPa),Stress at 1.63 mm (kPa),Stress at 1.82 mm (kPa),Stress at 2.02 mm (kPa),Stress at 2.22 mm (kPa),Stress at 2.43 mm (kPa),Stress at 2.63 mm (kPa),Stress at 2.82 mm (kPa),Stress at 3.02 mm (kPa),Stress at 3.22 mm (kPa),Stress at 3.43 mm (kPa),Stress at 3.62 mm (kPa),Stress at 3.82 mm (kPa)
0,-4.8936716,-4.6525012,-4.2154154,-3.5160571,-2.8024066,-2.112804,-1.556879,-1.247256,-0.94221305,-0.58575009,-0.38453819,-0.24995082,-0.078638699,0,0,0,0,0,0,0
1,-4.8031262,-4.566418,-4.1374194,-3.4510011,-2.7505549,-2.0737117,-1.5280728,-1.2241786,-0.92477969,-0.57491221,-0.37742325,-0.24532609,-0.077183682,0,0,0,0,0,0,0
2,-4.7125807,-4.4803348,-4.0594234,-3.385945,-2.6987032,-2.0346194,-1.4992665,-1.2011012,-0.90734634,-0.56407434,-0.37030831,-0.24070136,-0.075728665,0,0,0,0,0,0,0
3,-4.6220353,-4.3942517,-3.9814274,-3.320889,-2.6468515,-1.9955271,-1.4704603,-1.1780237,-0.88991299,-0.55323646,-0.36319337,-0.23607663,-0.074273648,0,0,0,0,0,0,0
4,-4.5314898,-4.3081685,-3.9034315,-3.2558329,-2.5949998,-1.9564348,-1.441654,-1.1549463,-0.87247963,-0.54239859,-0.35607843,-0.2314519,-0.07281863,0,0,0,0,0,0,0
5,-4.4409444,-4.2220853,-3.8254355,-3.1907768,-2.5431481,-1.9173426,-1.4128478,-1.1318689,-0.85504628,-0.53156071,-0.34896349,-0.22682717,-0.071363613,0,0,0,0,0,0,0
6,-4.3503989,-4.1360021,-3.7474395,-3.1257208,-2.4912964,-1.8782503,-1.3840416,-1.1087915,-0.83761293,-0.52072284,-0.34184854,-0.22220244,-0.069908596,0,0,0,0,0,0,0
7,-4.2598535,-4.0499189,-3.6694435,-3.0606647,-2.4394447,-1.839158,-1.3552353,-1.085714,-0.82017958,-0.50988496,-0.3347336,-0.21757771,-0.068453579,0,0,0,0,0,0,0
8,-4.169308,-3.9638358,-3.5914476,-2.9956087,-2.387593,-1.8000657,-1.3264291,-1.0626366,-0.80274622,-0.49904708,-0.32761866,-0.21295298,-0.066998561,0,0,0,0,0,0,0
9,-4.0787626,-3.8777526,-3.5134516,-2.9305526,-2.3357413,-1.7609734,-1.2976228,-1.0395592,-0.78531287,-0.48820921,-0.32050372,-0.20832825,-0.065543544,0,0,0,0,0,0,0
10,-3.9882171,-3.7916694,-3.4354556,-2.8654966,-2.2838896,-1.7218812,-1.2688166,-1.0164817,-0.76787952,-0.47737133,-0.31338878,-0.20370352,-0.064088527,0,0,0,0,0,0,0
11,-3.8976717,-3.7055862,-3.3574597,-2.8004405,-2.2320379,-1.6827889,-1.2400103,-0.99340432,-0.75044616,-0.46653346,-0.30627384,-0.19907879,-0.06263351,0,0,0,0,0,0,0
12,-3.8071262,-3.619503,-3.2794637,-2.7353845,-2.1801862,-1.6436966,-1.2112041,-0.97032689,-0.73301281,-0.45569558,-0.2991589,-0.19445406,-0.061178493,0,0,0,0,0,0,0
13,-3.7165808,-3.5334199,-3.2014677,-2.6703284,-2.1283345,-1.6046043,-1.1823978,-0.94724946,-0.71557946,-0.4448577,-0.29204396,-0.18982933,-0.059723475,0,0,0,0,0,0,0
14,-3.6260353,-3.4473367,-3.1234717,-2.6052723,-2.0764828,-1.565512,-1.1535916,-0.92417203,-0.6981461,-0.43401983,-0.28492902,-0.1852046,-0.058268458,0,0,0,0,0,0,0
15,-3.5354899,-3.3612535,-3.0454758,-2.5402163,-2.0246311,-1.5264197,-1.1247853,-0.9010946,-0.68071275,-0.42318195,-0.27781408,-0.18057987,-0.056813441,0,0,0,0,0,0,0
16,-3.4449444,-3.2751703,-2.9674798,-2.4751602,-1.9727795,-1.4873275,-1.0959791,-0.87801717,-0.6632794,-0.41234408,-0.27069914,-0.17595514,-0.055358424,0,0,0,0,0,0,0
17,-3.354399,-3.1890871,-2.8894838,-2.4101042,-1.9209278,-1.4482352,-1.0671728,-0.85493974,-0.64584605,-0.4015062,-0.2635842,-0.17133041,-0.053903407,0,0,0,0,0,0,0
18,-3.2638535,-3.103004,-2.8114878,-2.3450481,-1.8690761,-1.4091429,-1.0383666,-0.83186231,-0.62841269,-0.39066832,-0.25646926,-0.16670568,-0.052448389,0,0,0,0,0,0,0
19,-3.1733081,-3.0169208,-2.7334919,-2.2799921,-1.8172244,-1.3700506,-1.0095603,-0.80878488,-0.61097934,-0.37983045,-0.24935431,-0.16208095,-0.050993372,0,0,0,0,0,0,0
20,-3.0827626,-2.9308376,-2.6554959,-2.214936,-1.7653727,-1.3309583,-0.98075409,-0.78570745,-0.59354599,-0.36899257,-0.24223937,-0.15745622,-0.049538355,0,0,0,0,0,0,0
21,-2.9922172,-2.8447544,-2.5774999,-2.1498799,-1.713521,-1.2918661,-0.95194785,-0.76263003,-0.57611263,-0.3581547,-0.23512443,-0.15283149,-0.048083338,0,0,0,0,0,0,0
22,-2.9016717,-2.7586712,-2.4995039,-2.0848239,-1.6616693,-1.2527738,-0.9231416,-0.7395526,-0.55867928,-0.34731682,-0.22800949,-0.14820676,-0.04662832,0,0,0,0,0,0,0
23,-2.8111263,-2.6725881,-2.421508,-2.0197678,-1.6098176,-1.2136815,-0.89433535,-0.71647517,-0.54124593,-0.33647894,-0.22089455,-0.14358203,-0.045173303,0,0,0,0,0,0,0
24,-2.7205808,-2.5865049,-2.343512,-1.9547118,-1.5579659,-1.1745892,-0.86552911,-0.69339774,-0.52381257,-0.32564107,-0.21377961,-0.1389573,-0.043718286,0,0,0,0,0,0,0
25,-2.6300354,-2.5004217,-2.265516,-1.8896557,-1.5061142,-1.1354969,-0.83672286,-0.67032031,-0.50637922,-0.31480319,-0.20666467,-0.13433257,-0.042263269,0,0,0,0,0,0,0
26,-2.5394899,-2.4143385,-2.18752,-1.8245997,-1.4542625,-1.0964047,-0.80791661,-0.64724288,-0.48894587,-0.30396532,-0.19954973,-0.12970784,-0.040808252,0,0,0,0,0,0,0
27,-2.4489445,-2.3282553,-2.1095241,-1.7595436,-1.4024108,-1.0573124,-0.77911036,-0.62416545,-0.47151252,-0.29312744,-0.19243479,-0.12508311,-0.039353234,0,0,0,0,0,0,0
28,-2.358399,-2.2421721,-2.0315281,-1.6944875,-1.3505591,-1.0182201,-0.75030412,-0.60108802,-0.45407916,-0.28228956,-0.18531985,-0.12045838,-0.037898217,0,0,0,0,0,0,0
29,-2.2678536,-2.156089,-1.9535321,-1.6294315,-1.2987074,-0.97912781,-0.72149787,-0.57801059,-0.43664581,-0.27145169,-0.17820491,-0.11583365,-0.0364432,0,0,0,0,0,0,0
30,-2.1773081,-2.0700058,-1.8755362,-1.5643754,-1.2468557,-0.94003553,-0.69269162,-0.55493316,-0.41921246,-0.26061381,-0.17108997,-0.11120892,-0.034988183,0,0,0,0,0,0,0
31,-2.0867627,-1.9839226,-1.7975402,-1.4993194,-1.195004,-0.90094325,-0.66388538,-0.53185573,-0.4017791,-0.24977594,-0.16397503,-0.10658419,-0.033533166,0,0,0,0,0,0,0
32,-1.9962172,-1.8978394,-1.7195442,-1.4342633,-1.1431523,-0.86185097,-0.63507913,-0.50877831,-0.38434575,-0.23893806,-0.15686009,-0.10195946,-0.032078148,0,0,0,0,0,0,0
33,-1.9056718,-1.8117562,-1.6415482,-1.3692073,-1.0913007,-0.82275869,-0.60627288,-0.48570088,-0.3669124,-0.22810018,-0.14974514,-0.097334734,-0.030623131,0,0,0,0,0,0,0
34,-1.8151263,-1.7256731,-1.5635523,-1.3041512,-1.039449,-0.7836664,-0.57746664,-0.46262345,-0.34947904,-0.21726231,-0.1426302,-0.092710004,-0.029168114,0,0,0,0,0,0,0
35,-1.7245808,-1.6395899,-1.4855563,-1.2390952,-0.98759726,-0.74457412,-0.54866039,-0.43954602,-0.33204569,-0.20642443,-0.13551526,-0.088085274,-0.027713097,0,0,0,0,0,0,0
36,-1.6340354,-1.5535067,-1.4075603,-1.1740391,-0.93574557,-0.70548184,-0.51985414,-0.41646859,-0.31461234,-0.19558656,-0.12840032,-0.083460544,-0.026258079,0,0,0,0,0,0,0
37,-1.5434899,-1.4674235,-1.3295643,-1.108983,-0.88389387,-0.66638956,-0.49104789,-0.39339116,-0.29717899,-0.18474868,-0.12128538,-0.078835814,-0.024803062,0,0,0,0,0,0,0
38,-1.4529445,-1.3813403,-1.2515684,-1.043927,-0.83204218,-0.62729728,-0.46224165,-0.37031373,-0.27974563,-0.17391081,-0.11417044,-0.074211084,-0.023348045,0,0,0,0,0,0,0
39,-1.362399,-1.2952572,-1.1735724,-0.97887093,-0.78019048,-0.588205,-0.4334354,-0.3472363,-0.26231228,-0.16307293,-0.1070555,-0.069586354,-0.021893028,0,0,0,0,0,0,0
40,-1.2718536,-1.209174,-1.0955764,-0.91381487,-0.72833879,-0.54911272,-0.40462915,-0.32415887,-0.24487893,-0.15223505,-0.099940559,-0.064961624,-0.020438011,0,0,0,0,0,0,0
41,-1.1813081,-1.1230908,-1.0175804,-0.84875882,-0.6764871,-0.51002044,-0.37582291,-0.30108144,-0.22744557,-0.14139718,-0.092825619,-0.060336894,-0.018982993,0,0,0,0,0,0,0
42,-1.0907627,-1.0370076,-0.93958446,-0.78370276,-0.6246354,-0.47092815,-0.34701666,-0.27800401,-0.21001222,-0.1305593,-0.085710678,-0.055712164,-0.017527976,0,0,0,0,0,0,0
43,-1.0002172,-0.95092444,-0.86158849,-0.7186467,-0.57278371,-0.43183587,-0.31821041,-0.25492659,-0.19257887,-0.11972143,-0.078595737,-0.051087434,-0.016072959,0,0,0,0,0,0,0
44,-0.90967179,-0.86484126,-0.78359252,-0.65359065,-0.52093201,-0.39274359,-0.28940416,-0.23184916,-0.17514551,-0.10888355,-0.071480796,-0.046462704,-0.014617942,0,0,0,0,0,0,0
45,-0.81912634,-0.77875808,-0.70559654,-0.58853459,-0.46908032,-0.35365131,-0.26059792,-0.20877173,-0.15771216,-0.098045673,-0.064365856,-0.041837974,-0.013162924,0,0,0,0,0,0,0
46,-0.72858089,-0.6926749,-0.62760057,-0.52347853,-0.41722862,-0.31455903,-0.23179167,-0.1856943,-0.14027881,-0.087207798,-0.057250915,-0.037213244,-0.011707907,0,0,0,0,0,0,0
47,-0.63803544,-0.60659172,-0.54960459,-0.45842248,-0.36537693,-0.27546675,-0.20298542,-0.16261687,-0.12284546,-0.076369922,-0.050135974,-0.032588514,-0.01025289,0,0,0,0,0,0,0
48,-0.54748999,-0.52050853,-0.47160862,-0.39336642,-0.31352523,-0.23637447,-0.17417918,-0.13953944,-0.1054121,-0.065532046,-0.043021033,-0.027963784,-0.0087978729,0,0,0,0,0,0,0
49,-0.45694454,-0.43442535,-0.39361265,-0.32831036,-0.26167354,-0.19728219,-0.14537293,-0.11646201,-0.087978749,-0.05469417,-0.035906093,-0.023339054,-0.0073428556,0,0,0,0,0,0,0
50,-0.36639909,-0.34834217,-0.31561667,-0.26325431,-0.20982185,-0.15818991,-0.11656668,-0.093384582,-0.070545396,-0.043856294,-0.028791152,-0.018714324,-0.0058878384,0,0,0,0,0,0,0
51,-0.27585364,-0.26225899,-0.2376207,-0.19819825,-0.15797015,-0.11909762,-0.087760435,-0.070307152,-0.053112043,-0.033018418,-0.021676211,-0.014089594,-0.0044328212,0,0,0,0,0,0,0
52,-0.18530819,-0.17617581,-0.15962472,-0.13314219,-0.10611846,-0.080005343,-0.058954187,-0.047229723,-0.03567869,-0.022180542,-0.01456127,-0.0094648636,-0.002977804,0,0,0,0,0,0,0
53,-0.094762738,-0.090092631,-0.081628751,-0.068086138,-0.054266763,-0.040913062,-0.03014794,-0.024152294,-0.018245337,-0.011342666,-0.0074463296,-0.0048401336,-0.0015227868,0,0,0,0,0,0,0
54,-0.0042172873,-0.0040094505,-0.003632777,-0.0030300813,-0.0024150688,-0.0018207804,-0.0013416932,-0.0010748651,-0.00081198401,-0.00050478998,-0.00033138881,-0.00021540359,-6.7769563e-05,0,0,0,0,0,0,0
55,0.086328163,0.08207373,0.074363197,0.062025975,0.049436626,0.037271501,0.027464554,0.022002564,0.016621369,0.010333086,0.0067835519,0.0044093264,0.0013872477,0,0,0,0,0,0,0
56,0.17687361,0.16815691,0.15235917,0.12708203,0.10128832,0.076363782,0.056270801,0.045079993,0.034054722,0.021170962,0.013898493,0.0090340564,0.0028422649,0,0,0,0,0,0,0
57,0.26741906,0.25424009,0.23035514,0.19213809,0.15314001,0.11545606,0.085077048,0.068157422,0.051488075,0.032008838,0.021013433,0.013658786,0.0042972821,0,0,0,0,0,0,0
58,0.35796452,0.34032327,0.30835112,0.25719414,0.20499171,0.15454834,0.1138833,0.091234851,0.068921428,0.042846714,0.028128374,0.018283516,0.0057522993,0,0,0,0,0,0,0
