Time (ms),Stress at 0.00 mm (kPa),Stress at 0.22 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.62 mm (kPa),Stress at 0.81 mm (kPa),Stress at 1.02 mm (kPa),Stress at 1.23 mm (kPa),Stress at 1.42 mm (kPa),Stress at 1.62 mm (kPa),Stress at 1.82 mm (kPa),Stress at 2.02 mm (kPa),Stress at 2.23 mm (kPa),Stress at 2.42 mm (kPa),Stress at 2.62 mm (kPa),Stress at 2.83 mm (kPa),Stress at 3.02 mm (kPa),Stress at 3.22 mm (kPa),Stress at 3.42 mm (kPa),Stress at 3.63 mm (kPa)
0,-2.1244961,-1.8073597,-1.5059391,-1.3728289,-1.1116993,-0.88366662,-0.66392412,-0.54317117,-0.38072488,-0.30463157,-0.18449898,-0.14924544,-0.078990165,-0.060401487,-0.010797597,0,0,0,0
1,-2.1341161,-1.8155438,-1.5127582,-1.3790453,-1.1167333,-0.88766801,-0.66693048,-0.54563075,-0.38244886,-0.30601099,-0.18533442,-0.14992125,-0.079347846,-0.060674996,-0.010846491,0,0,0,0
2,-2.1437362,-1.8237278,-1.5195774,-1.3852617,-1.1217672,-0.89166941,-0.66993684,-0.54809032,-0.38417285,-0.30739041,-0.18616986,-0.15059705,-0.079705527,-0.060948504,-0.010895384,0,0,0,0
3,-2.1533563,-1.8319118,-1.5263965,-1.3914781,-1.1268012,-0.8956708,-0.6729432,-0.55054989,-0.38589684,-0.30876984,-0.18700531,-0.15127286,-0.080063208,-0.061222012,-0.010944278,0,0,0,0
4,-2.1629764,-1.8400959,-1.5332157,-1.3976945,-1.1318352,-0.8996722,-0.67594957,-0.55300946,-0.38762083,-0.31014926,-0.18784075,-0.15194867,-0.080420889,-0.061495521,-0.010993171,0,0,0,0
5,-2.1725965,-1.8482799,-1.5400348,-1.4039109,-1.1368691,-0.90367359,-0.67895593,-0.55546904,-0.38934482,-0.31152869,-0.18867619,-0.15262448,-0.08077857,-0.061769029,-0.011042064,0,0,0,0
6,-2.1822166,-1.856464,-1.546854,-1.4101273,-1.1419031,-0.90767499,-0.68196229,-0.55792861,-0.3910688,-0.31290811,-0.18951164,-0.15330029,-0.081136252,-0.062042537,-0.011090958,0,0,0,0
7,-2.1918366,-1.864648,-1.5536731,-1.4163437,-1.1469371,-0.91167638,-0.68496866,-0.56038818,-0.39279279,-0.31428754,-0.19034708,-0.1539761,-0.081493933,-0.062316046,-0.011139851,0,0,0,0
8,-2.2014567,-1.872832,-1.5604923,-1.4225601,-1.151971,-0.91567778,-0.68797502,-0.56284776,-0.39451678,-0.31566696,-0.19118252,-0.15465191,-0.081851614,-0.062589554,-0.011188744,0,0,0,0
9,-2.2110768,-1.8810161,-1.5673115,-1.4287765,-1.157005,-0.91967917,-0.69098138,-0.56530733,-0.39624077,-0.31704638,-0.19201796,-0.15532772,-0.082209295,-0.062863062,-0.011237638,0,0,0,0
10,-2.2206969,-1.8892001,-1.5741306,-1.4349929,-1.1620389,-0.92368057,-0.69398775,-0.5677669,-0.39796476,-0.31842581,-0.19285341,-0.15600353,-0.082566976,-0.063136571,-0.011286531,0,0,0,0
11,-2.230317,-1.8973841,-1.5809498,-1.4412093,-1.1670729,-0.92768196,-0.69699411,-0.57022647,-0.39968874,-0.31980523,-0.19368885,-0.15667934,-0.082924657,-0.063410079,-0.011335425,0,0,0,0
12,-2.2399371,-1.9055682,-1.5877689,-1.4474257,-1.1721069,-0.93168335,-0.70000047,-0.57268605,-0.40141273,-0.32118466,-0.19452429,-0.15735515,-0.083282338,-0.063683587,-0.011384318,0,0,0,0
13,-2.2495572,-1.9137522,-1.5945881,-1.4536421,-1.1771408,-0.93568475,-0.70300683,-0.57514562,-0.40313672,-0.32256408,-0.19535974,-0.15803095,-0.083640019,-0.063957096,-0.011433211,0,0,0,0
14,-2.2591772,-1.9219363,-1.6014072,-1.4598585,-1.1821748,-0.93968614,-0.7060132,-0.57760519,-0.40486071,-0.32394351,-0.19619518,-0.15870676,-0.0839977,-0.064230604,-0.011482105,0,0,0,0
