Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa)
0,-2.1244961,0,0,0,0,-0.10376749,-0.013787169,0,0,0,-0.78653098,-0.14758362,0,0,0,0,0,0,-0.014542752
1,-2.1341161,0,0,0,0,-0.10423737,-0.013849599,0,0,0,-0.79009253,-0.1482519,0,0,0,0,0,0,-0.014608604
2,-2.1437362,0,0,0,0,-0.10470725,-0.01391203,0,0,0,-0.79365408,-0.14892019,0,0,0,0,0,0,-0.014674456
3,-2.1533563,0,0,0,0,-0.10517712,-0.013974461,0,0,0,-0.79721562,-0.14958847,0,0,0,0,0,0,-0.014740308
4,-2.1629764,0,0,0,0,-0.105647,-0.014036891,0,0,0,-0.80077717,-0.15025675,0,0,0,0,0,0,-0.01480616
5,-2.1725965,0,0,0,0,-0.10611688,-0.014099322,0,0,0,-0.80433872,-0.15092504,0,0,0,0,0,0,-0.014872013
6,-2.1822166,0,0,0,0,-0.10658676,-0.014161753,0,0,0,-0.80790027,-0.15159332,0,0,0,0,0,0,-0.014937865
7,-2.1918366,0,0,0,0,-0.10705663,-0.014224183,0,0,0,-0.81146182,-0.15226161,0,0,0,0,0,0,-0.015003717
8,-2.2014567,0,0,0,0,-0.10752651,-0.014286614,0,0,0,-0.81502336,-0.15292989,0,0,0,0,0,0,-0.015069569
9,-2.2110768,0,0,0,0,-0.10799639,-0.014349045,0,0,0,-0.81858491,-0.15359817,0,0,0,0,0,0,-0.015135421
10,-2.2206969,0,0,0,0,-0.10846626,-0.014411475,0,0,0,-0.82214646,-0.15426646,0,0,0,0,0,0,-0.015201273
11,-2.230317,0,0,0,0,-0.10893614,-0.014473906,0,0,0,-0.82570801,-0.15493474,0,0,0,0,0,0,-0.015267125
12,-2.2399371,0,0,0,0,-0.10940602,-0.014536337,0,0,0,-0.82926956,-0.15560303,0,0,0,0,0,0,-0.015332977
13,-2.2495572,0,0,0,0,-0.1098759,-0.014598767,0,0,0,-0.8328311,-0.15627131,0,0,0,0,0,0,-0.015398829
14,-2.2591772,0,0,0,0,-0.11034577,-0.014661198,0,0,0,-0.83639265,-0.15693959,0,0,0,0,0,0,-0.015464681
