Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
30.999899,1.1302512,0,0,0,0,0,0,0.11568464,0,0,0,0,0.079202016,0.40359351,0,0,0,0,0,0
31.999899,1.2443111,0,0,0,0,0,0,0.12735902,0,0,0,0,0.087194732,0.44432237,0,0,0,0,0,0
32.999899,1.358371,0,0,0,0,0,0,0.1390334,0,0,0,0,0.095187448,0.48505124,0,0,0,0,0,0
33.999899,1.472431,0,0,0,0,0,0,0.15070778,0,0,0,0,0.10318016,0.5257801,0,0,0,0,0,0
34.999899,1.5864909,0,0,0,0,0,0,0.16238216,0,0,0,0,0.11117288,0.56650897,0,0,0,0,0,0
35.999899,1.7005508,0,0,0,0,0,0,0.17405655,0,0,0,0,0.1191656,0.60723783,0,0,0,0,0,0
36.999899,1.8146108,0,0,0,0,0,0,0.18573093,0,0,0,0,0.12715831,0.6479667,0,0,0,0,0,0
37.999899,1.9286707,0,0,0,0,0,0,0.19740531,0,0,0,0,0.13515103,0.68869556,0,0,0,0,0,0
38.999899,2.0427306,0,0,0,0,0,0,0.20907969,0,0,0,0,0.14314374,0.72942442,0,0,0,0,0,0
39.999899,2.1567905,0,0,0,0,0,0,0.22075407,0,0,0,0,0.15113646,0.77015329,0,0,0,0,0,0
40.999899,2.2708505,0,0,0,0,0,0,0.23242845,0,0,0,0,0.15912917,0.81088215,0,0,0,0,0,0
41.999899,2.3849104,0,0,0,0,0,0,0.24410283,0,0,0,0,0.16712189,0.85161102,0,0,0,0,0,0
42.999899,2.4989703,0,0,0,0,0,0,0.25577721,0,0,0,0,0.17511461,0.89233988,0,0,0,0,0,0
43.999899,2.6130303,0,0,0,0,0,0,0.26745159,0,0,0,0,0.18310732,0.93306875,0,0,0,0,0,0
44.999899,2.7270902,0,0,0,0,0,0,0.27912597,0,0,0,0,0.19110004,0.97379761,0,0,0,0,0,0
45.999899,2.8411501,0,0,0,0,0,0,0.29080035,0,0,0,0,0.19909275,1.0145265,0,0,0,0,0,0
46.999899,2.9552101,0,0,0,0,0,0,0.30247473,0,0,0,0,0.20708547,1.0552553,0,0,0,0,0,0
47.999899,3.06927,0,0,0,0,0,0,0.31414911,0,0,0,0,0.21507818,1.0959842,0,0,0,0,0,0
48.999899,3.1833299,0,0,0,0,0,0,0.32582349,0,0,0,0,0.2230709,1.1367131,0,0,0,0,0,0
49.999899,3.2973898,0,0,0,0,0,0,0.33749787,0,0,0,0,0.23106362,1.1774419,0,0,0,0,0,0
50.999899,3.4114498,0,0,0,0,0,0,0.34917225,0,0,0,0,0.23905633,1.2181708,0,0,0,0,0,0
51.999899,3.5255097,0,0,0,0,0,0,0.36084663,0,0,0,0,0.24704905,1.2588997,0,0,0,0,0,0
52.999899,3.6395696,0,0,0,0,0,0,0.37252101,0,0,0,0,0.25504176,1.2996285,0,0,0,0,0,0
53.999899,3.7536296,0,0,0,0,0,0,0.38419539,0,0,0,0,0.26303448,1.3403574,0,0,0,0,0,0
54.999899,3.8676895,0,0,0,0,0,0,0.39586978,0,0,0,0,0.2710272,1.3810863,0,0,0,0,0,0
55.999899,3.9817494,0,0,0,0,0,0,0.40754416,0,0,0,0,0.27901991,1.4218151,0,0,0,0,0,0
56.999899,4.0958094,0,0,0,0,0,0,0.41921854,0,0,0,0,0.28701263,1.462544,0,0,0,0,0,0
57.999899,4.2098693,0,0,0,0,0,0,0.43089292,0,0,0,0,0.29500534,1.5032729,0,0,0,0,0,0
58.999899,4.3239292,0,0,0,0,0,0,0.4425673,0,0,0,0,0.30299806,1.5440017,0,0,0,0,0,0
59.999899,4.4379891,0,0,0,0,0,0,0.45424168,0,0,0,0,0.31099077,1.5847306,0,0,0,0,0,0
60.999899,4.5520491,0,0,0,0,0,0,0.46591606,0,0,0,0,0.31898349,1.6254595,0,0,0,0,0,0
