Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa)
0,-2.2518425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020015237,-0.16151656,-0.19359228,0,0,0,0,0,0,-0.027603605,-0.92620036,-1.7371805,-0.12340667,0,0,0,0,0,0,-0.0038616577,-0.034101193,0,0,0,0,0,0,0,0
1,-2.1806789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019382708,-0.15641225,-0.1874743,0,0,0,0,0,0,-0.026731265,-0.89693022,-1.6822815,-0.11950673,0,0,0,0,0,0,-0.0037396201,-0.033023514,0,0,0,0,0,0,0,0
2,-2.1095153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018750178,-0.15130794,-0.18135633,0,0,0,0,0,0,-0.025858925,-0.86766008,-1.6273824,-0.11560678,0,0,0,0,0,0,-0.0036175825,-0.031945835,0,0,0,0,0,0,0,0
3,-2.0383517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018117649,-0.14620363,-0.17523835,0,0,0,0,0,0,-0.024986585,-0.83838994,-1.5724834,-0.11170683,0,0,0,0,0,0,-0.0034955449,-0.030868156,0,0,0,0,0,0,0,0
4,-1.9671881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01748512,-0.14109932,-0.16912037,0,0,0,0,0,0,-0.024114246,-0.8091198,-1.5175843,-0.10780689,0,0,0,0,0,0,-0.0033735073,-0.029790477,0,0,0,0,0,0,0,0
5,-1.8960245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016852591,-0.13599502,-0.16300239,0,0,0,0,0,0,-0.023241906,-0.77984966,-1.4626853,-0.10390694,0,0,0,0,0,0,-0.0032514697,-0.028712798,0,0,0,0,0,0,0,0
6,-1.824861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016220061,-0.13089071,-0.15688441,0,0,0,0,0,0,-0.022369566,-0.75057951,-1.4077862,-0.100007,0,0,0,0,0,0,-0.0031294321,-0.027635119,0,0,0,0,0,0,0,0
7,-1.7536974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015587532,-0.1257864,-0.15076644,0,0,0,0,0,0,-0.021497226,-0.72130937,-1.3528872,-0.096107054,0,0,0,0,0,0,-0.0030073945,-0.02655744,0,0,0,0,0,0,0,0
8,-1.6825338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014955003,-0.12068209,-0.14464846,0,0,0,0,0,0,-0.020624887,-0.69203923,-1.2979881,-0.092207109,0,0,0,0,0,0,-0.0028853569,-0.025479761,0,0,0,0,0,0,0,0
9,-1.6113702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014322474,-0.11557778,-0.13853048,0,0,0,0,0,0,-0.019752547,-0.66276909,-1.2430891,-0.088307163,0,0,0,0,0,0,-0.0027633193,-0.024402081,0,0,0,0,0,0,0,0
10,-1.5402066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013689945,-0.11047347,-0.1324125,0,0,0,0,0,0,-0.018880207,-0.63349895,-1.18819,-0.084407218,0,0,0,0,0,0,-0.0026412817,-0.023324402,0,0,0,0,0,0,0,0
11,-1.469043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013057415,-0.10536916,-0.12629452,0,0,0,0,0,0,-0.018007867,-0.60422881,-1.133291,-0.080507273,0,0,0,0,0,0,-0.0025192441,-0.022246723,0,0,0,0,0,0,0,0
12,-1.3978794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012424886,-0.10026486,-0.12017655,0,0,0,0,0,0,-0.017135527,-0.57495867,-1.0783919,-0.076607328,0,0,0,0,0,0,-0.0023972065,-0.021169044,0,0,0,0,0,0,0,0
13,-1.3267158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011792357,-0.095160547,-0.11405857,0,0,0,0,0,0,-0.016263188,-0.54568853,-1.0234929,-0.072707383,0,0,0,0,0,0,-0.002275169,-0.020091365,0,0,0,0,0,0,0,0
14,-1.2555522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011159828,-0.090056239,-0.10794059,0,0,0,0,0,0,-0.015390848,-0.51641839,-0.96859384,-0.068807437,0,0,0,0,0,0,-0.0021531314,-0.019013686,0,0,0,0,0,0,0,0
15,-1.1843886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010527298,-0.08495193,-0.10182261,0,0,0,0,0,0,-0.014518508,-0.48714824,-0.91369479,-0.064907492,0,0,0,0,0,0,-0.0020310938,-0.017936007,0,0,0,0,0,0,0,0
16,-1.113225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098947691,-0.079847621,-0.095704634,0,0,0,0,0,0,-0.013646168,-0.4578781,-0.85879574,-0.061007547,0,0,0,0,0,0,-0.0019090562,-0.016858328,0,0,0,0,0,0,0,0
17,-1.0420614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092622399,-0.074743313,-0.089586656,0,0,0,0,0,0,-0.012773829,-0.42860796,-0.80389669,-0.057107602,0,0,0,0,0,0,-0.0017870186,-0.015780649,0,0,0,0,0,0,0,0
18,-0.9708978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086297106,-0.069639004,-0.083468678,0,0,0,0,0,0,-0.011901489,-0.39933782,-0.74899764,-0.053207657,0,0,0,0,0,0,-0.001664981,-0.01470297,0,0,0,0,0,0,0,0
19,-0.8997342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0079971814,-0.064534696,-0.0773507,0,0,0,0,0,0,-0.011029149,-0.37006768,-0.69409859,-0.049307711,0,0,0,0,0,0,-0.0015429434,-0.013625291,0,0,0,0,0,0,0,0
20,-0.8285706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0073646521,-0.059430387,-0.071232722,0,0,0,0,0,0,-0.010156809,-0.34079754,-0.63919954,-0.045407766,0,0,0,0,0,0,-0.0014209058,-0.012547612,0,0,0,0,0,0,0,0
21,-0.75740701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067321229,-0.054326078,-0.065114745,0,0,0,0,0,0,-0.0092844696,-0.3115274,-0.58430049,-0.041507821,0,0,0,0,0,0,-0.0012988682,-0.011469933,0,0,0,0,0,0,0,0
22,-0.68624341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0060995937,-0.04922177,-0.058996767,0,0,0,0,0,0,-0.0084121299,-0.28225726,-0.52940145,-0.037607876,0,0,0,0,0,0,-0.0011768306,-0.010392254,0,0,0,0,0,0,0,0
23,-0.61507982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054670644,-0.044117461,-0.052878789,0,0,0,0,0,0,-0.0075397901,-0.25298712,-0.4745024,-0.033707931,0,0,0,0,0,0,-0.001054793,-0.0093145747,0,0,0,0,0,0,0,0
24,-0.54391622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048345352,-0.039013153,-0.046760811,0,0,0,0,0,0,-0.0066674503,-0.22371697,-0.41960335,-0.029807985,0,0,0,0,0,0,-0.00093275539,-0.0082368957,0,0,0,0,0,0,0,0
25,-0.47275262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004202006,-0.033908844,-0.040642833,0,0,0,0,0,0,-0.0057951106,-0.19444683,-0.3647043,-0.02590804,0,0,0,0,0,0,-0.00081071779,-0.0071592166,0,0,0,0,0,0,0,0
26,-0.40158903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0035694767,-0.028804535,-0.034524855,0,0,0,0,0,0,-0.0049227708,-0.16517669,-0.30980525,-0.022008095,0,0,0,0,0,0,-0.0006886802,-0.0060815375,0,0,0,0,0,0,0,0
27,-0.33042543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029369475,-0.023700227,-0.028406877,0,0,0,0,0,0,-0.0040504311,-0.13590655,-0.2549062,-0.01810815,0,0,0,0,0,0,-0.0005666426,-0.0050038585,0,0,0,0,0,0,0,0
28,-0.25926183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0023044182,-0.018595918,-0.022288899,0,0,0,0,0,0,-0.0031780913,-0.10663641,-0.20000715,-0.014208205,0,0,0,0,0,0,-0.000444605,-0.0039261794,0,0,0,0,0,0,0,0
29,-0.18809824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001671889,-0.013491609,-0.016170921,0,0,0,0,0,0,-0.0023057515,-0.077366269,-0.1451081,-0.010308259,0,0,0,0,0,0,-0.00032256741,-0.0028485004,0,0,0,0,0,0,0,0
30,-0.11693464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010393598,-0.0083873009,-0.010052943,0,0,0,0,0,0,-0.0014334118,-0.048096128,-0.090209053,-0.0064083143,0,0,0,0,0,0,-0.00020052981,-0.0017708213,0,0,0,0,0,0,0,0
31,-0.045771045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00040683054,-0.0032829923,-0.0039349648,0,0,0,0,0,0,-0.00056107201,-0.018825987,-0.035310003,-0.0025083691,0,0,0,0,0,0,-7.8492215e-05,-0.00069314226,0,0,0,0,0,0,0,0
32,0.025392552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002256987,0.0018213163,0.0021830132,0,0,0,0,0,0,0.00031126775,0.010444154,0.019589046,0.0013915761,0,0,0,0,0,0,4.3545382e-05,0.00038453679,0,0,0,0,0,0,0,0
33,0.096556148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085822794,0.0069256249,0.0083009912,0,0,0,0,0,0,0.0011836075,0.039714295,0.074488095,0.0052915213,0,0,0,0,0,0,0.00016558298,0.0014622158,0,0,0,0,0,0,0,0
34,0.16771974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014907572,0.012029934,0.014418969,0,0,0,0,0,0,0.0020559473,0.068984436,0.12938714,0.0091914665,0,0,0,0,0,0,0.00028762057,0.0025398949,0,0,0,0,0,0,0,0
35,0.23888334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021232864,0.017134242,0.020536947,0,0,0,0,0,0,0.002928287,0.098254577,0.18428619,0.013091412,0,0,0,0,0,0,0.00040965817,0.003617574,0,0,0,0,0,0,0,0
36,0.31004694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027558157,0.022238551,0.026654925,0,0,0,0,0,0,0.0038006268,0.12752472,0.23918524,0.016991357,0,0,0,0,0,0,0.00053169577,0.004695253,0,0,0,0,0,0,0,0
37,0.38121053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033883449,0.027342859,0.032772903,0,0,0,0,0,0,0.0046729666,0.15679486,0.29408429,0.020891302,0,0,0,0,0,0,0.00065373336,0.0057729321,0,0,0,0,0,0,0,0
38,0.45237413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040208741,0.032447168,0.038890881,0,0,0,0,0,0,0.0055453063,0.186065,0.34898334,0.024791247,0,0,0,0,0,0,0.00077577096,0.0068506111,0,0,0,0,0,0,0,0
39,0.52353773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046534034,0.037551477,0.045008859,0,0,0,0,0,0,0.0064176461,0.21533514,0.40388239,0.028691192,0,0,0,0,0,0,0.00089780856,0.0079282902,0,0,0,0,0,0,0,0
40,0.59470132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052859326,0.042655785,0.051126837,0,0,0,0,0,0,0.0072899858,0.24460528,0.45878144,0.032591138,0,0,0,0,0,0,0.0010198462,0.0090059692,0,0,0,0,0,0,0,0
41,0.66586492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059184618,0.047760094,0.057244815,0,0,0,0,0,0,0.0081623256,0.27387542,0.51368049,0.036491083,0,0,0,0,0,0,0.0011418838,0.010083648,0,0,0,0,0,0,0,0
42,0.73702851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065509911,0.052864402,0.063362793,0,0,0,0,0,0,0.0090346654,0.30314557,0.56857954,0.040391028,0,0,0,0,0,0,0.0012639213,0.011161327,0,0,0,0,0,0,0,0
43,0.80819211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071835203,0.057968711,0.069480771,0,0,0,0,0,0,0.0099070051,0.33241571,0.62347859,0.044290973,0,0,0,0,0,0,0.0013859589,0.012239006,0,0,0,0,0,0,0,0
44,0.87935571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078160495,0.06307302,0.075598749,0,0,0,0,0,0,0.010779345,0.36168585,0.67837764,0.048190918,0,0,0,0,0,0,0.0015079965,0.013316685,0,0,0,0,0,0,0,0
45,0.9505193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084485788,0.068177328,0.081716727,0,0,0,0,0,0,0.011651685,0.39095599,0.73327668,0.052090864,0,0,0,0,0,0,0.0016300341,0.014394365,0,0,0,0,0,0,0,0
46,1.0216829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009081108,0.073281637,0.087834705,0,0,0,0,0,0,0.012524024,0.42022613,0.78817573,0.055990809,0,0,0,0,0,0,0.0017520717,0.015472044,0,0,0,0,0,0,0,0
47,1.0928465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097136373,0.078385945,0.093952683,0,0,0,0,0,0,0.013396364,0.44949627,0.84307478,0.059890754,0,0,0,0,0,0,0.0018741093,0.016549723,0,0,0,0,0,0,0,0
48,1.1640101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010346166,0.083490254,0.10007066,0,0,0,0,0,0,0.014268704,0.47876641,0.89797383,0.063790699,0,0,0,0,0,0,0.0019961469,0.017627402,0,0,0,0,0,0,0,0
49,1.2351737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010978696,0.088594563,0.10618864,0,0,0,0,0,0,0.015141044,0.50803655,0.95287288,0.067690644,0,0,0,0,0,0,0.0021181845,0.018705081,0,0,0,0,0,0,0,0
50,1.3063373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011611225,0.093698871,0.11230662,0,0,0,0,0,0,0.016013383,0.53730669,1.0077719,0.07159059,0,0,0,0,0,0,0.0022402221,0.01978276,0,0,0,0,0,0,0,0
51,1.3775009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012243754,0.09880318,0.11842459,0,0,0,0,0,0,0.016885723,0.56657684,1.062671,0.075490535,0,0,0,0,0,0,0.0023622597,0.020860439,0,0,0,0,0,0,0,0
52,1.4486645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012876283,0.10390749,0.12454257,0,0,0,0,0,0,0.017758063,0.59584698,1.11757,0.07939048,0,0,0,0,0,0,0.0024842973,0.021938118,0,0,0,0,0,0,0,0
53,1.5198281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013508813,0.1090118,0.13066055,0,0,0,0,0,0,0.018630403,0.62511712,1.1724691,0.083290425,0,0,0,0,0,0,0.0026063349,0.023015797,0,0,0,0,0,0,0,0
54,1.5909917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014141342,0.11411611,0.13677853,0,0,0,0,0,0,0.019502743,0.65438726,1.2273681,0.08719037,0,0,0,0,0,0,0.0027283725,0.024093476,0,0,0,0,0,0,0,0
55,1.6621553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014773871,0.11922041,0.14289651,0,0,0,0,0,0,0.020375082,0.6836574,1.2822672,0.091090316,0,0,0,0,0,0,0.0028504101,0.025171155,0,0,0,0,0,0,0,0
56,1.7333189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154064,0.12432472,0.14901448,0,0,0,0,0,0,0.021247422,0.71292754,1.3371662,0.094990261,0,0,0,0,0,0,0.0029724477,0.026248834,0,0,0,0,0,0,0,0
57,1.8044825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01603893,0.12942903,0.15513246,0,0,0,0,0,0,0.022119762,0.74219768,1.3920653,0.098890206,0,0,0,0,0,0,0.0030944853,0.027326513,0,0,0,0,0,0,0,0
58,1.8756461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016671459,0.13453334,0.16125044,0,0,0,0,0,0,0.022992102,0.77146782,1.4469643,0.10279015,0,0,0,0,0,0,0.0032165229,0.028404192,0,0,0,0,0,0,0,0
59,1.9468097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017303988,0.13963765,0.16736842,0,0,0,0,0,0,0.023864441,0.80073796,1.5018634,0.1066901,0,0,0,0,0,0,0.0033385605,0.029481871,0,0,0,0,0,0,0,0
60,2.0179732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017936517,0.14474196,0.1734864,0,0,0,0,0,0,0.024736781,0.83000811,1.5567624,0.11059004,0,0,0,0,0,0,0.0034605981,0.03055955,0,0,0,0,0,0,0,0
61,2.0891368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018569047,0.14984627,0.17960437,0,0,0,0,0,0,0.025609121,0.85927825,1.6116615,0.11448999,0,0,0,0,0,0,0.0035826357,0.031637229,0,0,0,0,0,0,0,0
62,2.1603004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019201576,0.15495057,0.18572235,0,0,0,0,0,0,0.026481461,0.88854839,1.6665605,0.11838993,0,0,0,0,0,0,0.0037046733,0.032714908,0,0,0,0,0,0,0,0
63,2.231464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019834105,0.16005488,0.19184033,0,0,0,0,0,0,0.0273538,0.91781853,1.7214596,0.12228988,0,0,0,0,0,0,0.0038267109,0.033792588,0,0,0,0,0,0,0,0
64,2.3026276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020466634,0.16515919,0.19795831,0,0,0,0,0,0,0.02822614,0.94708867,1.7763586,0.12618982,0,0,0,0,0,0,0.0039487485,0.034870267,0,0,0,0,0,0,0,0
65,2.3737912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021099164,0.1702635,0.20407629,0,0,0,0,0,0,0.02909848,0.97635881,1.8312577,0.13008977,0,0,0,0,0,0,0.0040707861,0.035947946,0,0,0,0,0,0,0,0
66,2.4449548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021731693,0.17536781,0.21019426,0,0,0,0,0,0,0.02997082,1.005629,1.8861567,0.13398971,0,0,0,0,0,0,0.0041928237,0.037025625,0,0,0,0,0,0,0,0
