Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
0,-4.8936716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056429692,-0.56668773,-0.71138849,-0.15070374,0,0,0,0,0,0,0,0,-1.3907754,-4.3562926,-0.76072539,-0.014789299,0,0,0,0,0,0,-0.27524032,-0.0049311417,0,0,0,0,0,0,0,0,0
1,-4.8031262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055385598,-0.55620255,-0.69822598,-0.14791534,0,0,0,0,0,0,0,0,-1.3650425,-4.27569,-0.74665002,-0.014515659,0,0,0,0,0,0,-0.27014767,-0.004839903,0,0,0,0,0,0,0,0,0
2,-4.7125807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054341505,-0.54571738,-0.68506347,-0.14512693,0,0,0,0,0,0,0,0,-1.3393096,-4.1950874,-0.73257466,-0.014242019,0,0,0,0,0,0,-0.26505502,-0.0047486642,0,0,0,0,0,0,0,0,0
3,-4.6220353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053297411,-0.53523221,-0.67190096,-0.14233853,0,0,0,0,0,0,0,0,-1.3135767,-4.1144849,-0.71849929,-0.013968379,0,0,0,0,0,0,-0.25996237,-0.0046574255,0,0,0,0,0,0,0,0,0
4,-4.5314898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052253317,-0.52474703,-0.65873846,-0.13955012,0,0,0,0,0,0,0,0,-1.2878438,-4.0338823,-0.70442392,-0.013694739,0,0,0,0,0,0,-0.25486972,-0.0045661867,0,0,0,0,0,0,0,0,0
5,-4.4409444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051209223,-0.51426186,-0.64557595,-0.13676172,0,0,0,0,0,0,0,0,-1.2621109,-3.9532797,-0.69034856,-0.013421099,0,0,0,0,0,0,-0.24977707,-0.004474948,0,0,0,0,0,0,0,0,0
6,-4.3503989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05016513,-0.50377669,-0.63241344,-0.13397331,0,0,0,0,0,0,0,0,-1.236378,-3.8726772,-0.67627319,-0.013147459,0,0,0,0,0,0,-0.24468442,-0.0043837093,0,0,0,0,0,0,0,0,0
7,-4.2598535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049121036,-0.49329151,-0.61925093,-0.13118491,0,0,0,0,0,0,0,0,-1.2106451,-3.7920746,-0.66219782,-0.01287382,0,0,0,0,0,0,-0.23959177,-0.0042924705,0,0,0,0,0,0,0,0,0
8,-4.169308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048076942,-0.48280634,-0.60608842,-0.1283965,0,0,0,0,0,0,0,0,-1.1849122,-3.7114721,-0.64812246,-0.01260018,0,0,0,0,0,0,-0.23449912,-0.0042012318,0,0,0,0,0,0,0,0,0
9,-4.0787626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047032848,-0.47232117,-0.59292592,-0.1256081,0,0,0,0,0,0,0,0,-1.1591793,-3.6308695,-0.63404709,-0.01232654,0,0,0,0,0,0,-0.22940647,-0.004109993,0,0,0,0,0,0,0,0,0
