X coord (mm),Y coord (mm)
6.03309,4.67649
3.13849,0.448091
6.55829,0.465334
8.60491,0.135978
9.89606,0.0353917
11.5004,0.287241
1.35746,1.34791
3.05794,1.22163
4.70979,1.22907
6.46781,1.2224
8.29761,1.19129
10.0013,1.25024
11.7347,1.20904
13.2732,1.49476
0.058363,3.71954
1.36911,2.78148
2.99412,2.99611
4.69831,2.97132
6.4422,2.95222
8.20415,2.99468
10.0303,2.98833
11.7086,2.96229
13.4772,2.95203
15.0663,3.08675
0.321009,4.78253
1.2869,4.80888
2.97372,4.79359
4.80582,4.69081
6.47237,4.77546
8.20811,4.69506
10.012,4.70036
11.7935,4.74247
13.4994,4.75945
15.2912,4.76246
0.482506,6.53848
1.31013,6.49717
2.96778,6.47631
4.82415,6.51021
6.55994,6.45333
8.25294,6.49078
9.98894,6.49652
11.8008,6.46886
13.5218,6.4392
14.9301,6.27615
1.44,7.97269
3.04126,8.26746
4.72097,8.21026
6.4497,8.23999
8.19364,8.24866
9.98496,8.22575
11.6943,8.20645
13.5136,8.15995
2.9915,9.93842
4.7138,9.97017
6.44469,9.99069
8.2087,9.85808
9.88435,9.62741
11.5804,9.39222
