Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
30.999899,1.1302512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095044852,0.31893638,0.10866797,0,0,0,0,0,0.047465556,0.41272138,0.90245119,0.23446122,0,0,0,0,0,0,0.022167583,0.051228166,0,0,0,0,0,0,0,0,0,0,0
31.999899,1.2443111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10463636,0.35112202,0.11963425,0,0,0,0,0,0.052255569,0.45437139,0.99352256,0.25812201,0,0,0,0,0,0,0.024404637,0.056397885,0,0,0,0,0,0,0,0,0,0,0
32.999899,1.358371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11422786,0.38330766,0.13060054,0,0,0,0,0,0.057045582,0.4960214,1.0845939,0.2817828,0,0,0,0,0,0,0.026641691,0.061567604,0,0,0,0,0,0,0,0,0,0,0
33.999899,1.472431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12381937,0.41549331,0.14156683,0,0,0,0,0,0.061835595,0.53767141,1.1756653,0.30544358,0,0,0,0,0,0,0.028878745,0.066737324,0,0,0,0,0,0,0,0,0,0,0
34.999899,1.5864909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13341087,0.44767895,0.15253312,0,0,0,0,0,0.066625608,0.57932142,1.2667367,0.32910437,0,0,0,0,0,0,0.031115799,0.071907043,0,0,0,0,0,0,0,0,0,0,0
35.999899,1.7005508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14300237,0.47986459,0.16349941,0,0,0,0,0,0.071415621,0.62097143,1.357808,0.35276515,0,0,0,0,0,0,0.033352853,0.077076762,0,0,0,0,0,0,0,0,0,0,0
36.999899,1.8146108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15259388,0.51205023,0.1744657,0,0,0,0,0,0.076205635,0.66262144,1.4488794,0.37642594,0,0,0,0,0,0,0.035589907,0.082246481,0,0,0,0,0,0,0,0,0,0,0
37.999899,1.9286707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16218538,0.54423588,0.18543199,0,0,0,0,0,0.080995648,0.70427145,1.5399508,0.40008672,0,0,0,0,0,0,0.037826961,0.0874162,0,0,0,0,0,0,0,0,0,0,0
38.999899,2.0427306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17177689,0.57642152,0.19639827,0,0,0,0,0,0.085785661,0.74592146,1.6310221,0.42374751,0,0,0,0,0,0,0.040064015,0.092585919,0,0,0,0,0,0,0,0,0,0,0
39.999899,2.1567905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18136839,0.60860716,0.20736456,0,0,0,0,0,0.090575674,0.78757147,1.7220935,0.4474083,0,0,0,0,0,0,0.04230107,0.097755638,0,0,0,0,0,0,0,0,0,0,0
40.999899,2.2708505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1909599,0.64079281,0.21833085,0,0,0,0,0,0.095365687,0.82922148,1.8131649,0.47106908,0,0,0,0,0,0,0.044538124,0.10292536,0,0,0,0,0,0,0,0,0,0,0
41.999899,2.3849104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2005514,0.67297845,0.22929714,0,0,0,0,0,0.1001557,0.87087149,1.9042362,0.49472987,0,0,0,0,0,0,0.046775178,0.10809508,0,0,0,0,0,0,0,0,0,0,0
42.999899,2.4989703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21014291,0.70516409,0.24026343,0,0,0,0,0,0.10494571,0.9125215,1.9953076,0.51839065,0,0,0,0,0,0,0.049012232,0.1132648,0,0,0,0,0,0,0,0,0,0,0
43.999899,2.6130303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21973441,0.73734974,0.25122972,0,0,0,0,0,0.10973573,0.95417151,2.086379,0.54205144,0,0,0,0,0,0,0.051249286,0.11843451,0,0,0,0,0,0,0,0,0,0,0
44.999899,2.7270902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22932591,0.76953538,0.26219601,0,0,0,0,0,0.11452574,0.99582152,2.1774503,0.56571222,0,0,0,0,0,0,0.05348634,0.12360423,0,0,0,0,0,0,0,0,0,0,0
45.999899,2.8411501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23891742,0.80172102,0.27316229,0,0,0,0,0,0.11931575,1.0374715,2.2685217,0.58937301,0,0,0,0,0,0,0.055723394,0.12877395,0,0,0,0,0,0,0,0,0,0,0
46.999899,2.9552101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24850892,0.83390667,0.28412858,0,0,0,0,0,0.12410577,1.0791215,2.3595931,0.6130338,0,0,0,0,0,0,0.057960448,0.13394367,0,0,0,0,0,0,0,0,0,0,0
47.999899,3.06927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25810043,0.86609231,0.29509487,0,0,0,0,0,0.12889578,1.1207715,2.4506644,0.63669458,0,0,0,0,0,0,0.060197502,0.13911339,0,0,0,0,0,0,0,0,0,0,0
48.999899,3.1833299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26769193,0.89827795,0.30606116,0,0,0,0,0,0.13368579,1.1624216,2.5417358,0.66035537,0,0,0,0,0,0,0.062434556,0.14428311,0,0,0,0,0,0,0,0,0,0,0
49.999899,3.2973898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27728344,0.93046359,0.31702745,0,0,0,0,0,0.13847581,1.2040716,2.6328072,0.68401615,0,0,0,0,0,0,0.06467161,0.14945283,0,0,0,0,0,0,0,0,0,0,0
50.999899,3.4114498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28687494,0.96264924,0.32799374,0,0,0,0,0,0.14326582,1.2457216,2.7238785,0.70767694,0,0,0,0,0,0,0.066908664,0.15462255,0,0,0,0,0,0,0,0,0,0,0
