Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa)
0,-2.1244961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1241589,-0.53219783,-0.68345228,-0.25770173,-0.043802595,0,0,0,0,0,0,0,0,-0.11792504,-0.2925856,-2.1636252,-1.9430505,-0.55373569,-0.1051727,-0.0035916514,0,0,0,0,0,0,-0.053477065,-0.36474009,-0.78653098,-0.69621736,-0.30595151,-0.050363358,0,0,0,0,0,0,0,0,0,0,-0.072079926,-0.047240966,-0.0089457429,0,0,0,0,0,-0.026495473,0,0,0,0,0,0,0,0,0,0,0,-0.027678583,-0.0021074399,0,0,0,0,0,0,0,0,0,-0.0015043135,-0.022782096,0,0,0,0,0,0,0,0,0
1,-2.1341161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12472111,-0.53460772,-0.68654707,-0.25886865,-0.044000941,0,0,0,0,0,0,0,0,-0.11845902,-0.29391048,-2.1734224,-1.951849,-0.55624311,-0.10564894,-0.003607915,0,0,0,0,0,0,-0.053719218,-0.36639169,-0.79009253,-0.69936995,-0.30733691,-0.050591412,0,0,0,0,0,0,0,0,0,0,-0.072406316,-0.047454881,-0.0089862507,0,0,0,0,0,-0.026615449,0,0,0,0,0,0,0,0,0,0,0,-0.027803916,-0.0021169827,0,0,0,0,0,0,0,0,0,-0.0015111253,-0.022885257,0,0,0,0,0,0,0,0,0
2,-2.1437362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12528333,-0.5370176,-0.68964185,-0.26003557,-0.044199287,0,0,0,0,0,0,0,0,-0.11899301,-0.29523536,-2.1832197,-1.9606474,-0.55875052,-0.10612518,-0.0036241786,0,0,0,0,0,0,-0.053961371,-0.3680433,-0.79365408,-0.70252254,-0.30872231,-0.050819466,0,0,0,0,0,0,0,0,0,0,-0.072732707,-0.047668796,-0.0090267586,0,0,0,0,0,-0.026735425,0,0,0,0,0,0,0,0,0,0,0,-0.02792925,-0.0021265256,0,0,0,0,0,0,0,0,0,-0.0015179371,-0.022988418,0,0,0,0,0,0,0,0,0
3,-2.1533563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12584554,-0.53942748,-0.69273664,-0.26120249,-0.044397632,0,0,0,0,0,0,0,0,-0.11952699,-0.29656023,-2.193017,-1.9694459,-0.56125793,-0.10660142,-0.0036404422,0,0,0,0,0,0,-0.054203525,-0.3696949,-0.79721562,-0.70567514,-0.31010772,-0.05104752,0,0,0,0,0,0,0,0,0,0,-0.073059097,-0.047882711,-0.0090672665,0,0,0,0,0,-0.026855401,0,0,0,0,0,0,0,0,0,0,0,-0.028054583,-0.0021360684,0,0,0,0,0,0,0,0,0,-0.0015247489,-0.02309158,0,0,0,0,0,0,0,0,0
4,-2.1629764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12640775,-0.54183737,-0.69583143,-0.2623694,-0.044595978,0,0,0,0,0,0,0,0,-0.12006097,-0.29788511,-2.2028143,-1.9782444,-0.56376534,-0.10707766,-0.0036567059,0,0,0,0,0,0,-0.054445678,-0.37134651,-0.80077717,-0.70882773,-0.31149312,-0.051275574,0,0,0,0,0,0,0,0,0,0,-0.073385487,-0.048096627,-0.0091077743,0,0,0,0,0,-0.026975377,0,0,0,0,0,0,0,0,0,0,0,-0.028179916,-0.0021456113,0,0,0,0,0,0,0,0,0,-0.0015315606,-0.023194741,0,0,0,0,0,0,0,0,0
5,-2.1725965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12696997,-0.54424725,-0.69892622,-0.26353632,-0.044794324,0,0,0,0,0,0,0,0,-0.12059496,-0.29920999,-2.2126115,-1.9870428,-0.56627275,-0.1075539,-0.0036729695,0,0,0,0,0,0,-0.054687832,-0.37299812,-0.80433872,-0.71198032,-0.31287852,-0.051503628,0,0,0,0,0,0,0,0,0,0,-0.073711878,-0.048310542,-0.0091482822,0,0,0,0,0,-0.027095353,0,0,0,0,0,0,0,0,0,0,0,-0.02830525,-0.0021551541,0,0,0,0,0,0,0,0,0,-0.0015383724,-0.023297902,0,0,0,0,0,0,0,0,0
6,-2.1822166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12753218,-0.54665713,-0.70202101,-0.26470324,-0.044992669,0,0,0,0,0,0,0,0,-0.12112894,-0.30053487,-2.2224088,-1.9958413,-0.56878016,-0.10803014,-0.0036892331,0,0,0,0,0,0,-0.054929985,-0.37464972,-0.80790027,-0.71513291,-0.31426392,-0.051731682,0,0,0,0,0,0,0,0,0,0,-0.074038268,-0.048524457,-0.0091887901,0,0,0,0,0,-0.02721533,0,0,0,0,0,0,0,0,0,0,0,-0.028430583,-0.002164697,0,0,0,0,0,0,0,0,0,-0.0015451842,-0.023401063,0,0,0,0,0,0,0,0,0
7,-2.1918366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12809439,-0.54906702,-0.7051158,-0.26587016,-0.045191015,0,0,0,0,0,0,0,0,-0.12166293,-0.30185975,-2.2322061,-2.0046398,-0.57128757,-0.10850638,-0.0037054967,0,0,0,0,0,0,-0.055172138,-0.37630133,-0.81146182,-0.7182855,-0.31564932,-0.051959736,0,0,0,0,0,0,0,0,0,0,-0.074364658,-0.048738372,-0.0092292979,0,0,0,0,0,-0.027335306,0,0,0,0,0,0,0,0,0,0,0,-0.028555917,-0.0021742398,0,0,0,0,0,0,0,0,0,-0.001551996,-0.023504225,0,0,0,0,0,0,0,0,0
8,-2.2014567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1286566,-0.5514769,-0.70821059,-0.26703708,-0.045389361,0,0,0,0,0,0,0,0,-0.12219691,-0.30318462,-2.2420033,-2.0134383,-0.57379498,-0.10898262,-0.0037217603,0,0,0,0,0,0,-0.055414292,-0.37795293,-0.81502336,-0.7214381,-0.31703472,-0.05218779,0,0,0,0,0,0,0,0,0,0,-0.074691049,-0.048952288,-0.0092698058,0,0,0,0,0,-0.027455282,0,0,0,0,0,0,0,0,0,0,0,-0.02868125,-0.0021837827,0,0,0,0,0,0,0,0,0,-0.0015588078,-0.023607386,0,0,0,0,0,0,0,0,0
9,-2.2110768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12921882,-0.55388678,-0.71130538,-0.26820399,-0.045587707,0,0,0,0,0,0,0,0,-0.1227309,-0.3045095,-2.2518006,-2.0222367,-0.57630239,-0.10945886,-0.0037380239,0,0,0,0,0,0,-0.055656445,-0.37960454,-0.81858491,-0.72459069,-0.31842012,-0.052415844,0,0,0,0,0,0,0,0,0,0,-0.075017439,-0.049166203,-0.0093103137,0,0,0,0,0,-0.027575258,0,0,0,0,0,0,0,0,0,0,0,-0.028806583,-0.0021933255,0,0,0,0,0,0,0,0,0,-0.0015656196,-0.023710547,0,0,0,0,0,0,0,0,0
