Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa)
30.999899,1.1302512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087408981,0.00010627122,0,0,0,0,0,0,0,0,0,0.067633893,0.13742326,0.35882549,0.29874304,0.071656264,0,0,0,0,0,0,0.012782538,0.16514044,0.53413096,1.0610571,0.76901822,0.20059719,0,0,0,0,0,0,0,0.0024550136,0.079202016,0.2124902,0.42144953,0.30804491,0.067856255,0,0,0,0,0,0,0,0,0,0.0065388557,0.015562292,0.00010265427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.999899,1.2443111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096229907,0.00011699564,0,0,0,0,0,0,0,0,0,0.074459206,0.1512914,0.39503657,0.32889086,0.078887496,0,0,0,0,0,0,0.014072495,0.18180568,0.58803308,1.1681343,0.84662413,0.22084057,0,0,0,0,0,0,0,0.0027027627,0.087194732,0.23393377,0.46398035,0.33913143,0.074704007,0,0,0,0,0,0,0,0,0,0.0071987279,0.01713277,0.00011301368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.999899,1.358371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010505083,0.00012772006,0,0,0,0,0,0,0,0,0,0.081284518,0.16515955,0.43124765,0.35903868,0.086118728,0,0,0,0,0,0,0.015362452,0.19847092,0.64193521,1.2752115,0.92423003,0.24108395,0,0,0,0,0,0,0,0.0029505118,0.095187448,0.25537733,0.50651116,0.37021795,0.081551759,0,0,0,0,0,0,0,0,0,0.0078586002,0.018703247,0.00012337309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.999899,1.472431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011387176,0.00013844448,0,0,0,0,0,0,0,0,0,0.08810983,0.17902769,0.46745872,0.3891865,0.09334996,0,0,0,0,0,0,0.016652409,0.21513616,0.69583733,1.3822886,1.0018359,0.26132733,0,0,0,0,0,0,0,0.0031982609,0.10318016,0.2768209,0.54904198,0.40130448,0.088399511,0,0,0,0,0,0,0,0,0,0.0085184725,0.020273724,0.0001337325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.999899,1.5864909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012269269,0.0001491689,0,0,0,0,0,0,0,0,0,0.094935142,0.19289584,0.5036698,0.41933432,0.10058119,0,0,0,0,0,0,0.017942365,0.2318014,0.74973946,1.4893658,1.0794418,0.28157071,0,0,0,0,0,0,0,0.0034460099,0.11117288,0.29826447,0.59157279,0.432391,0.095247263,0,0,0,0,0,0,0,0,0,0.0091783448,0.021844202,0.00014409192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.999899,1.7005508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013151361,0.00015989332,0,0,0,0,0,0,0,0,0,0.10176045,0.20676398,0.53988087,0.44948214,0.10781242,0,0,0,0,0,0,0.019232322,0.24846665,0.80364158,1.596443,1.1570477,0.30181408,0,0,0,0,0,0,0,0.003693759,0.1191656,0.31970804,0.63410361,0.46347753,0.10209501,0,0,0,0,0,0,0,0,0,0.0098382171,0.023414679,0.00015445133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.999899,1.8146108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014033454,0.00017061774,0,0,0,0,0,0,0,0,0,0.10858577,0.22063213,0.57609195,0.47962996,0.11504366,0,0,0,0,0,0,0.020522279,0.26513189,0.85754371,1.7035202,1.2346537,0.32205746,0,0,0,0,0,0,0,0.0039415081,0.12715831,0.3411516,0.67663442,0.49456405,0.10894277,0,0,0,0,0,0,0,0,0,0.010498089,0.024985157,0.00016481074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.999899,1.9286707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014915546,0.00018134216,0,0,0,0,0,0,0,0,0,0.11541108,0.23450027,0.61230302,0.50977778,0.12227489,0,0,0,0,0,0,0.021812236,0.28179713,0.91144583,1.8105973,1.3122596,0.34230084,0,0,0,0,0,0,0,0.0041892572,0.13515103,0.36259517,0.71916524,0.52565058,0.11579052,0,0,0,0,0,0,0,0,0,0.011157962,0.026555634,0.00017517016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.999899,2.0427306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015797639,0.00019206658,0,0,0,0,0,0,0,0,0,0.12223639,0.24836842,0.6485141,0.5399256,0.12950612,0,0,0,0,0,0,0.023102193,0.29846237,0.96534796,1.9176745,1.3898655,0.36254422,0,0,0,0,0,0,0,0.0044370062,0.14314374,0.38403874,0.76169605,0.5567371,0.12263827,0,0,0,0,0,0,0,0,0,0.011817834,0.028126112,0.00018552957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.999899,2.1567905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016679732,0.000202791,0,0,0,0,0,0,0,0,0,0.1290617,0.26223656,0.68472517,0.57007342,0.13673735,0,0,0,0,0,0,0.02439215,0.31512761,1.0192501,2.0247517,1.4674714,0.3827876,0,0,0,0,0,0,0,0.0046847553,0.15113646,0.4054823,0.80422687,0.58782362,0.12948602,0,0,0,0,0,0,0,0,0,0.012477706,0.029696589,0.00019588898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
