Time (ms),Stress at 0.00 mm (kPa),Stress at 0.33 mm (kPa),Stress at 0.54 mm (kPa),Stress at 0.68 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.12 mm (kPa),Stress at 1.32 mm (kPa),Stress at 1.52 mm (kPa),Stress at 1.70 mm (kPa),Stress at 1.89 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.31 mm (kPa),Stress at 2.52 mm (kPa),Stress at 2.70 mm (kPa),Stress at 2.90 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.30 mm (kPa),Stress at 3.49 mm (kPa),Stress at 3.68 mm (kPa),Stress at 3.90 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.32 mm (kPa),Stress at 4.51 mm (kPa),Stress at 4.71 mm (kPa),Stress at 4.90 mm (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.34835091,-0.27245974,-0.2297835,-0.18873373,-0.15485806,-0.12407035,-0.092190363,-0.07673603,-0.062969845,-0.053158951,-0.041951495,-0.038184446,-0.029747594,-0.024638159,-0.024151895,-0.021649292,-0.017558754,-0.014168468,-0.013702613,-0.013989689,-0.011496315,-0.010334781,-0.0074969117,-0.0061437899,-0.0037822186
2,-0.69670181,-0.54491948,-0.45956701,-0.37746747,-0.30971613,-0.2481407,-0.18438073,-0.15347206,-0.12593969,-0.1063179,-0.08390299,-0.076368892,-0.059495187,-0.049276319,-0.04830379,-0.043298584,-0.035117508,-0.028336935,-0.027405226,-0.027979378,-0.02299263,-0.020669562,-0.014993823,-0.01228758,-0.0075644372
3,-1.0450527,-0.81737922,-0.68935051,-0.5662012,-0.46457419,-0.37221105,-0.27657109,-0.23020809,-0.18890954,-0.15947685,-0.12585449,-0.11455334,-0.089242781,-0.073914478,-0.072455685,-0.064947877,-0.052676262,-0.042505403,-0.04110784,-0.041969066,-0.034488944,-0.031004343,-0.022490735,-0.01843137,-0.011346656
4,-1.3934036,-1.089839,-0.91913401,-0.75493494,-0.61943225,-0.4962814,-0.36876145,-0.30694412,-0.25187938,-0.2126358,-0.16780598,-0.15273778,-0.11899037,-0.098552637,-0.09660758,-0.086597169,-0.070235016,-0.056673871,-0.054810453,-0.055958755,-0.045985259,-0.041339124,-0.029987647,-0.024575159,-0.015128874
5,-1.7417545,-1.3622987,-1.1489175,-0.94366867,-0.77429032,-0.62035175,-0.46095182,-0.38368015,-0.31484923,-0.26579475,-0.20975748,-0.19092223,-0.14873797,-0.1231908,-0.12075948,-0.10824646,-0.08779377,-0.070842338,-0.068513066,-0.069948444,-0.057481574,-0.051673906,-0.037484559,-0.030718949,-0.018911093
6,-2.0901054,-1.6347584,-1.378701,-1.1324024,-0.92914838,-0.7444221,-0.55314218,-0.46041618,-0.37781907,-0.31895371,-0.25170897,-0.22910667,-0.17848556,-0.14782896,-0.14491137,-0.12989575,-0.10535252,-0.085010806,-0.082215679,-0.083938133,-0.068977889,-0.062008687,-0.04498147,-0.036862739,-0.022693312
7,-2.4384563,-1.9072182,-1.6084845,-1.3211361,-1.0840064,-0.86849245,-0.64533254,-0.53715221,-0.44078892,-0.37211266,-0.29366047,-0.26729112,-0.20823316,-0.17246712,-0.16906327,-0.15154505,-0.12291128,-0.099179274,-0.095918293,-0.097927821,-0.080474203,-0.072343468,-0.052478382,-0.043006529,-0.02647553
8,-2.7868073,-2.1796779,-1.838268,-1.5098699,-1.2388645,-0.9925628,-0.73752291,-0.61388824,-0.50375876,-0.42527161,-0.33561196,-0.30547557,-0.23798075,-0.19710527,-0.19321516,-0.17319434,-0.14047003,-0.11334774,-0.10962091,-0.11191751,-0.091970518,-0.082678249,-0.059975294,-0.049150319,-0.030257749
9,-3.1351582,-2.4521377,-2.0680515,-1.6986036,-1.3937226,-1.1166331,-0.82971327,-0.69062427,-0.56672861,-0.47843056,-0.37756346,-0.34366001,-0.26772834,-0.22174343,-0.21736706,-0.19484363,-0.15802879,-0.12751621,-0.12332352,-0.1259072,-0.10346683,-0.09301303,-0.067472205,-0.055294109,-0.034039967
