Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.34835091,0,-0.0088537508,-0.022175236,-0.024985393,-0.043421124,-0.035167495,-0.051794662,0,0,-0.011317568,-0.033912168,-0.10224587,-0.14995692,-0.038211681,-0.03220813,0,0,-0.0040562689,-0.028848238,-0.056211909,-0.071877326,-0.03013983,-0.030816799,0,0,0,0,-0.000867314,-0.015754847,-0.0073342823,-0.019460852,0,0,0,0,0,0,0,-0.00074802456,0,0,0,0,0,0,0,0
2,-0.69670181,0,-0.017707502,-0.044350473,-0.049970787,-0.086842247,-0.070334991,-0.10358932,0,0,-0.022635137,-0.067824336,-0.20449175,-0.29991384,-0.076423362,-0.06441626,0,0,-0.0081125377,-0.057696477,-0.11242382,-0.14375465,-0.06027966,-0.061633597,0,0,0,0,-0.001734628,-0.031509694,-0.014668565,-0.038921703,0,0,0,0,0,0,0,-0.0014960491,0,0,0,0,0,0,0,0
3,-1.0450527,0,-0.026561253,-0.066525709,-0.07495618,-0.13026337,-0.10550249,-0.15538399,0,0,-0.033952705,-0.1017365,-0.30673762,-0.44987076,-0.11463504,-0.09662439,0,0,-0.012168807,-0.086544715,-0.16863573,-0.21563198,-0.09041949,-0.092450396,0,0,0,0,-0.002601942,-0.047264542,-0.022002847,-0.058382555,0,0,0,0,0,0,0,-0.0022440737,0,0,0,0,0,0,0,0
4,-1.3934036,0,-0.035415003,-0.088700945,-0.099941574,-0.17368449,-0.14066998,-0.20717865,0,0,-0.045270274,-0.13564867,-0.40898349,-0.59982768,-0.15284672,-0.12883252,0,0,-0.016225075,-0.11539295,-0.22484764,-0.2875093,-0.12055932,-0.12326719,0,0,0,0,-0.003469256,-0.063019389,-0.029337129,-0.077843407,0,0,0,0,0,0,0,-0.0029920982,0,0,0,0,0,0,0,0
5,-1.7417545,0,-0.044268754,-0.11087618,-0.12492697,-0.21710562,-0.17583748,-0.25897331,0,0,-0.056587842,-0.16956084,-0.51122936,-0.7497846,-0.19105841,-0.16104065,0,0,-0.020281344,-0.14424119,-0.28105955,-0.35938663,-0.15069915,-0.15408399,0,0,0,0,-0.00433657,-0.078774236,-0.036671411,-0.097304259,0,0,0,0,0,0,0,-0.0037401228,0,0,0,0,0,0,0,0
6,-2.0901054,0,-0.053122505,-0.13305142,-0.14991236,-0.26052674,-0.21100497,-0.31076797,0,0,-0.067905411,-0.20347301,-0.61347524,-0.89974152,-0.22927009,-0.19324878,0,0,-0.024337613,-0.17308943,-0.33727146,-0.43126396,-0.18083898,-0.18490079,0,0,0,0,-0.005203884,-0.094529083,-0.044005694,-0.11676511,0,0,0,0,0,0,0,-0.0044881473,0,0,0,0,0,0,0,0
7,-2.4384563,0,-0.061976256,-0.15522665,-0.17489775,-0.30394786,-0.24617247,-0.36256263,0,0,-0.079222979,-0.23738518,-0.71572111,-1.0496984,-0.26748177,-0.22545691,0,0,-0.028393882,-0.20193767,-0.39348337,-0.50314128,-0.21097881,-0.21571759,0,0,0,0,-0.006071198,-0.11028393,-0.051339976,-0.13622596,0,0,0,0,0,0,0,-0.0052361719,0,0,0,0,0,0,0,0
8,-2.7868073,0,-0.070830007,-0.17740189,-0.19988315,-0.34736899,-0.28133996,-0.4143573,0,0,-0.090540548,-0.27129735,-0.81796698,-1.1996554,-0.30569345,-0.25766504,0,0,-0.032450151,-0.23078591,-0.44969528,-0.57501861,-0.24111864,-0.24653439,0,0,0,0,-0.006938512,-0.12603878,-0.058674258,-0.15568681,0,0,0,0,0,0,0,-0.0059841965,0,0,0,0,0,0,0,0
9,-3.1351582,0,-0.079683758,-0.19957713,-0.22486854,-0.39079011,-0.31650746,-0.46615196,0,0,-0.10185812,-0.30520951,-0.92021285,-1.3496123,-0.34390513,-0.28987317,0,0,-0.03650642,-0.25963415,-0.50590719,-0.64689593,-0.27125847,-0.27735119,0,0,0,0,-0.007805826,-0.14179363,-0.066008541,-0.17514767,0,0,0,0,0,0,0,-0.006732221,0,0,0,0,0,0,0,0
10,-3.4835091,0,-0.088537508,-0.22175236,-0.24985393,-0.43421124,-0.35167495,-0.51794662,0,0,-0.11317568,-0.33912168,-1.0224587,-1.4995692,-0.38211681,-0.3220813,0,0,-0.040562689,-0.28848238,-0.56211909,-0.71877326,-0.3013983,-0.30816799,0,0,0,0,-0.00867314,-0.15754847,-0.073342823,-0.19460852,0,0,0,0,0,0,0,-0.0074802456,0,0,0,0,0,0,0,0
11,-3.83186,0,-0.097391259,-0.2439276,-0.27483933,-0.47763236,-0.38684245,-0.56974128,0,0,-0.12449325,-0.37303385,-1.1247046,-1.6495261,-0.42032849,-0.35428943,0,0,-0.044618958,-0.31733062,-0.618331,-0.79065058,-0.33153813,-0.33898479,0,0,0,0,-0.009540454,-0.17330332,-0.080677105,-0.21406937,0,0,0,0,0,0,0,-0.0082282701,0,0,0,0,0,0,0,0
12,-4.1802109,0,-0.10624501,-0.26610284,-0.29982472,-0.52105348,-0.42200994,-0.62153594,0,0,-0.13581082,-0.40694602,-1.2269505,-1.799483,-0.45854017,-0.38649756,0,0,-0.048675226,-0.34617886,-0.67454291,-0.86252791,-0.36167796,-0.36980158,0,0,0,0,-0.010407768,-0.18905817,-0.088011387,-0.23353022,0,0,0,0,0,0,0,-0.0089762947,0,0,0,0,0,0,0,0
13,-4.5285618,0,-0.11509876,-0.28827807,-0.32481011,-0.56447461,-0.45717744,-0.6733306,0,0,-0.14712839,-0.44085819,-1.3291963,-1.94944,-0.49675186,-0.41870569,0,0,-0.052731495,-0.3750271,-0.73075482,-0.93440524,-0.39181779,-0.40061838,0,0,0,0,-0.011275082,-0.20481301,-0.09534567,-0.25299107,0,0,0,0,0,0,0,-0.0097243192,0,0,0,0,0,0,0,0
14,-4.8769127,0,-0.12395251,-0.31045331,-0.34979551,-0.60789573,-0.49234493,-0.72512527,0,0,-0.15844596,-0.47477035,-1.4314422,-2.0993969,-0.53496354,-0.45091382,0,0,-0.056787764,-0.40387534,-0.78696673,-1.0062826,-0.42195762,-0.43143518,0,0,0,0,-0.012142396,-0.22056786,-0.10267995,-0.27245192,0,0,0,0,0,0,0,-0.010472344,0,0,0,0,0,0,0,0
15,-5.2252636,0,-0.13280626,-0.33262854,-0.3747809,-0.65131685,-0.52751243,-0.77691993,0,0,-0.16976353,-0.50868252,-1.5336881,-2.2493538,-0.57317522,-0.48312195,0,0,-0.060844033,-0.43272358,-0.84317864,-1.0781599,-0.45209745,-0.46225198,0,0,0,0,-0.01300971,-0.23632271,-0.11001423,-0.29191278,0,0,0,0,0,0,0,-0.011220368,0,0,0,0,0,0,0,0
16,-5.5736145,0,-0.14166001,-0.35480378,-0.39976629,-0.69473798,-0.56267992,-0.82871459,0,0,-0.1810811,-0.54259469,-1.635934,-2.3993107,-0.6113869,-0.51533008,0,0,-0.064900302,-0.46157182,-0.89939055,-1.1500372,-0.48223728,-0.49306878,0,0,0,0,-0.013877024,-0.25207756,-0.11734852,-0.31137363,0,0,0,0,0,0,0,-0.011968393,0,0,0,0,0,0,0,0
