X coord (mm),Y coord (mm)
9.37579,4.32477
8.11552,0.891796
9.07598,0.853945
10.7199,1.06254
12.4614,0.994032
14.0877,1.17855
3.19556,2.76538
6.16837,3.42743
9.08444,2.74532
10.8809,2.65255
12.6402,2.82572
14.2156,2.74675
3.90354,4.11738
5.45335,3.73725
9.37579,4.32477
10.6228,4.49663
12.6121,4.38191
14.2287,4.55564
2.65605,6.18535
3.87949,6.36058
5.92615,6.72669
7.11013,6.33472
9.1414,6.17783
10.6651,6.34813
12.4099,6.23156
14.2749,6.12941
3.88061,8.12861
5.63259,7.92142
7.13453,8.05428
8.88275,7.89129
10.7464,8.01549
12.5447,7.86568
14.126,8.0496
1.98698,9.93782
3.72471,9.7053
5.62013,9.79231
7.22787,9.59038
8.95707,9.69289
10.8726,9.79182
12.4202,9.64451
14.2661,9.82556
