Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.022773207,0,0,0,0,0,0,0.0029234394,0.0038153209,0.00057264942,0,0,0,0.0017645466,0.022773207,0.0049939593,0.0004523668,0,0,0,0,0.0023318472,0.0052692452,0.0010238202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.045546413,0,0,0,0,0,0,0.0058468788,0.0076306418,0.0011452988,0,0,0,0.0035290932,0.045546413,0.0099879186,0.0009047336,0,0,0,0,0.0046636943,0.01053849,0.0020476403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.06831962,0,0,0,0,0,0,0.0087703182,0.011445963,0.0017179483,0,0,0,0.0052936397,0.06831962,0.014981878,0.0013571004,0,0,0,0,0.0069955415,0.015807736,0.0030714605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.091092826,0,0,0,0,0,0,0.011693758,0.015261284,0.0022905977,0,0,0,0.0070581863,0.091092826,0.019975837,0.0018094672,0,0,0,0,0.0093273886,0.021076981,0.0040952807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.11386603,0,0,0,0,0,0,0.014617197,0.019076605,0.0028632471,0,0,0,0.0088227329,0.11386603,0.024969796,0.002261834,0,0,0,0,0.011659236,0.026346226,0.0051191009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.13663924,0,0,0,0,0,0,0.017540636,0.022891925,0.0034358965,0,0,0,0.010587279,0.13663924,0.029963756,0.0027142008,0,0,0,0,0.013991083,0.031615471,0.006142921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.15941245,0,0,0,0,0,0,0.020464076,0.026707246,0.004008546,0,0,0,0.012351826,0.15941245,0.034957715,0.0031665676,0,0,0,0,0.01632293,0.036884716,0.0071667412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.18218565,0,0,0,0,0,0,0.023387515,0.030522567,0.0045811954,0,0,0,0.014116373,0.18218565,0.039951674,0.0036189344,0,0,0,0,0.018654777,0.042153962,0.0081905614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.20495886,0,0,0,0,0,0,0.026310955,0.034337888,0.0051538448,0,0,0,0.015880919,0.20495886,0.044945633,0.0040713012,0,0,0,0,0.020986624,0.047423207,0.0092143815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.22773207,0,0,0,0,0,0,0.029234394,0.038153209,0.0057264942,0,0,0,0.017645466,0.22773207,0.049939593,0.004523668,0,0,0,0,0.023318472,0.052692452,0.010238202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.25050527,0,0,0,0,0,0,0.032157833,0.04196853,0.0062991437,0,0,0,0.019410012,0.25050527,0.054933552,0.0049760348,0,0,0,0,0.025650319,0.057961697,0.011262022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.27327848,0,0,0,0,0,0,0.035081273,0.045783851,0.0068717931,0,0,0,0.021174559,0.27327848,0.059927511,0.0054284016,0,0,0,0,0.027982166,0.063230942,0.012285842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.29605169,0,0,0,0,0,0,0.038004712,0.049599172,0.0074444425,0,0,0,0.022939105,0.29605169,0.064921471,0.0058807684,0,0,0,0,0.030314013,0.068500187,0.013309662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.31882489,0,0,0,0,0,0,0.040928152,0.053414493,0.0080170919,0,0,0,0.024703652,0.31882489,0.06991543,0.0063331352,0,0,0,0,0.03264586,0.073769433,0.014333482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.3415981,0,0,0,0,0,0,0.043851591,0.057229814,0.0085897413,0,0,0,0.026468199,0.3415981,0.074909389,0.006785502,0,0,0,0,0.034977707,0.079038678,0.015357303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.36437131,0,0,0,0,0,0,0.046775031,0.061045135,0.0091623908,0,0,0,0.028232745,0.36437131,0.079903348,0.0072378688,0,0,0,0,0.037309554,0.084307923,0.016381123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.38714451,0,0,0,0,0,0,0.04969847,0.064860456,0.0097350402,0,0,0,0.029997292,0.38714451,0.084897308,0.0076902356,0,0,0,0,0.039641402,0.089577168,0.017404943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.40991772,0,0,0,0,0,0,0.052621909,0.068675776,0.01030769,0,0,0,0.031761838,0.40991772,0.089891267,0.0081426024,0,0,0,0,0.041973249,0.094846413,0.018428763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.43269093,0,0,0,0,0,0,0.055545349,0.072491097,0.010880339,0,0,0,0.033526385,0.43269093,0.094885226,0.0085949692,0,0,0,0,0.044305096,0.10011566,0.019452583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.45546413,0,0,0,0,0,0,0.058468788,0.076306418,0.011452988,0,0,0,0.035290932,0.45546413,0.099879186,0.009047336,0,0,0,0,0.046636943,0.1053849,0.020476403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.47823734,0,0,0,0,0,0,0.061392228,0.080121739,0.012025638,0,0,0,0.037055478,0.47823734,0.10487314,0.0094997028,0,0,0,0,0.04896879,0.11065415,0.021500224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.50101055,0,0,0,0,0,0,0.064315667,0.08393706,0.012598287,0,0,0,0.038820025,0.50101055,0.1098671,0.0099520696,0,0,0,0,0.051300637,0.11592339,0.022524044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.52378375,0,0,0,0,0,0,0.067239106,0.087752381,0.013170937,0,0,0,0.040584571,0.52378375,0.11486106,0.010404436,0,0,0,0,0.053632484,0.12119264,0.023547864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.54655696,0,0,0,0,0,0,0.070162546,0.091567702,0.013743586,0,0,0,0.042349118,0.54655696,0.11985502,0.010856803,0,0,0,0,0.055964332,0.12646188,0.024571684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.56933017,0,0,0,0,0,0,0.073085985,0.095383023,0.014316236,0,0,0,0.044113664,0.56933017,0.12484898,0.01130917,0,0,0,0,0.058296179,0.13173113,0.025595504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.59210337,0,0,0,0,0,0,0.076009425,0.099198344,0.014888885,0,0,0,0.045878211,0.59210337,0.12984294,0.011761537,0,0,0,0,0.060628026,0.13700037,0.026619324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.61487658,0,0,0,0,0,0,0.078932864,0.10301366,0.015461534,0,0,0,0.047642758,0.61487658,0.1348369,0.012213904,0,0,0,0,0.062959873,0.14226962,0.027643145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.63764978,0,0,0,0,0,0,0.081856303,0.10682899,0.016034184,0,0,0,0.049407304,0.63764978,0.13983086,0.01266627,0,0,0,0,0.06529172,0.14753887,0.028666965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.66042299,0,0,0,0,0,0,0.084779743,0.11064431,0.016606833,0,0,0,0.051171851,0.66042299,0.14482482,0.013118637,0,0,0,0,0.067623567,0.15280811,0.029690785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.6831962,0,0,0,0,0,0,0.087703182,0.11445963,0.017179483,0,0,0,0.052936397,0.6831962,0.14981878,0.013571004,0,0,0,0,0.069955415,0.15807736,0.030714605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.7059694,0,0,0,0,0,0,0.090626622,0.11827495,0.017752132,0,0,0,0.054700944,0.7059694,0.15481274,0.014023371,0,0,0,0,0.072287262,0.1633466,0.031738425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.72874261,0,0,0,0,0,0,0.093550061,0.12209027,0.018324782,0,0,0,0.05646549,0.72874261,0.1598067,0.014475738,0,0,0,0,0.074619109,0.16861585,0.032762246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.75151582,0,0,0,0,0,0,0.0964735,0.12590559,0.018897431,0,0,0,0.058230037,0.75151582,0.16480066,0.014928104,0,0,0,0,0.076950956,0.17388509,0.033786066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.77428902,0,0,0,0,0,0,0.09939694,0.12972091,0.01947008,0,0,0,0.059994584,0.77428902,0.16979462,0.015380471,0,0,0,0,0.079282803,0.17915434,0.034809886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.79706223,0,0,0,0,0,0,0.10232038,0.13353623,0.02004273,0,0,0,0.06175913,0.79706223,0.17478857,0.015832838,0,0,0,0,0.08161465,0.18442358,0.035833706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.81983544,0,0,0,0,0,0,0.10524382,0.13735155,0.020615379,0,0,0,0.063523677,0.81983544,0.17978253,0.016285205,0,0,0,0,0.083946497,0.18969283,0.036857526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.84260864,0,0,0,0,0,0,0.10816726,0.14116687,0.021188029,0,0,0,0.065288223,0.84260864,0.18477649,0.016737572,0,0,0,0,0.086278345,0.19496207,0.037881346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.86538185,0,0,0,0,0,0,0.1110907,0.14498219,0.021760678,0,0,0,0.06705277,0.86538185,0.18977045,0.017189938,0,0,0,0,0.088610192,0.20023132,0.038905167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.88815506,0,0,0,0,0,0,0.11401414,0.14879752,0.022333328,0,0,0,0.068817316,0.88815506,0.19476441,0.017642305,0,0,0,0,0.090942039,0.20550056,0.039928987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.91092826,0,0,0,0,0,0,0.11693758,0.15261284,0.022905977,0,0,0,0.070581863,0.91092826,0.19975837,0.018094672,0,0,0,0,0.093273886,0.21076981,0.040952807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
