Time (ms) ,Stress at 0.00 mm (kPa) ,Stress at 0.30 mm (kPa) ,Stress at 0.54 mm (kPa) ,Stress at 0.71 mm (kPa) ,Stress at 0.89 mm (kPa) ,Stress at 1.11 mm (kPa) ,Stress at 1.30 mm (kPa) ,Stress at 1.49 mm (kPa) ,Stress at 1.68 mm (kPa) ,Stress at 1.89 mm (kPa) ,Stress at 2.10 mm (kPa) ,Stress at 2.29 mm (kPa) ,Stress at 2.48 mm (kPa) ,Stress at 2.68 mm (kPa) ,Stress at 2.90 mm (kPa) ,Stress at 3.11 mm (kPa) ,Stress at 3.31 mm (kPa) ,Stress at 3.51 mm (kPa) ,Stress at 3.69 mm (kPa) ,Stress at 3.89 mm (kPa) ,Stress at 4.11 mm (kPa) ,Stress at 4.31 mm (kPa) ,Stress at 4.48 mm (kPa) ,Stress at 4.69 mm (kPa) ,Stress at 4.91 mm (kPa)
        0 ,-12.904401              ,-10.967818              ,-12.10771               ,-9.2922481              ,-6.1737228              ,-5.9217286              ,-4.7514359              ,-3.086833               ,-3.5566213              ,-3.8809772              ,-1.5358824              ,-1.5126965              ,-1.3344007              ,-0.6339428              ,-0.34381566             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        1 ,-12.915804              ,-10.97751               ,-12.118409              ,-9.300459               ,-6.1791781              ,-5.9269612              ,-4.7556345              ,-3.0895607              ,-3.559764               ,-3.8844066              ,-1.5372395              ,-1.5140331              ,-1.3355799              ,-0.63450298             ,-0.34411946             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        2 ,-12.927207              ,-10.987201              ,-12.129108              ,-9.30867                ,-6.1846334              ,-5.9321938              ,-4.759833               ,-3.0922883              ,-3.5629068              ,-3.887836               ,-1.5385967              ,-1.5153698              ,-1.336759               ,-0.63506315             ,-0.34442327             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        3 ,-12.938609              ,-10.996893              ,-12.139807              ,-9.3168809              ,-6.1900887              ,-5.9374265              ,-4.7640315              ,-3.0950159              ,-3.5660495              ,-3.8912653              ,-1.5399539              ,-1.5167065              ,-1.3379381              ,-0.63562332             ,-0.34472708             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        4 ,-12.950012              ,-11.006584              ,-12.150505              ,-9.3250919              ,-6.195544               ,-5.9426591              ,-4.7682301              ,-3.0977435              ,-3.5691923              ,-3.8946947              ,-1.541311               ,-1.5180432              ,-1.3391172              ,-0.6361835              ,-0.34503089             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        5 ,-12.961415              ,-11.016276              ,-12.161204              ,-9.3333028              ,-6.2009993              ,-5.9478917              ,-4.7724286              ,-3.1004712              ,-3.572335               ,-3.898124               ,-1.5426682              ,-1.5193798              ,-1.3402963              ,-0.63674367             ,-0.34533469             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        6 ,-12.972818              ,-11.025967              ,-12.171903              ,-9.3415137              ,-6.2064546              ,-5.9531244              ,-4.7766271              ,-3.1031988              ,-3.5754778              ,-3.9015534              ,-1.5440253              ,-1.5207165              ,-1.3414755              ,-0.63730384             ,-0.3456385              ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        7 ,-12.984221              ,-11.035659              ,-12.182602              ,-9.3497247              ,-6.2119099              ,-5.958357               ,-4.7808256              ,-3.1059264              ,-3.5786205              ,-3.9049828              ,-1.5453825              ,-1.5220532              ,-1.3426546              ,-0.63786401             ,-0.34594231             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        8 ,-12.995623              ,-11.04535               ,-12.193301              ,-9.3579356              ,-6.2173652              ,-5.9635897              ,-4.7850242              ,-3.1086541              ,-3.5817633              ,-3.9084121              ,-1.5467396              ,-1.5233898              ,-1.3438337              ,-0.63842419             ,-0.34624611             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
        9 ,-13.007026              ,-11.055042              ,-12.203999              ,-9.3661466              ,-6.2228205              ,-5.9688223              ,-4.7892227              ,-3.1113817              ,-3.584906               ,-3.9118415              ,-1.5480968              ,-1.5247265              ,-1.3450128              ,-0.63898436             ,-0.34654992             ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0 ,                      0
