Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.87 mm (kPa),Stress at 2.06 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.86 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.26 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.66 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.24 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.84 mm (kPa)
0,-0.58453878,-0.52096287,-0.53112073,-0.26537389,-0.20632905,-0.14831868,-0.11693188,-0.092593353,-0.071207782,-0.05637598,-0.046620915,-0.036491945,-0.027037796,-0.023044202,-0.022356456,0,0,0,0,0,0,0,0,0,0
1,-0.24983416,-0.22266156,-0.22700308,-0.11342184,-0.08818584,-0.063391983,-0.049977141,-0.039574761,-0.030434484,-0.024095314,-0.019925961,-0.0155968,-0.011556059,-0.009849182,-0.0095552366,0,0,0,0,0,0,0,0,0,0
2,0.084870463,0.075639737,0.077114579,0.038530215,0.029957365,0.021534713,0.016977595,0.013443831,0.010338813,0.0081853517,0.0067689925,0.0052983452,0.0039256766,0.003345838,0.0032459827,0,0,0,0,0,0,0,0,0,0
3,0.41957509,0.37394104,0.38123223,0.19048227,0.14810057,0.10646141,0.083932331,0.066462424,0.051112111,0.040466018,0.033463946,0.02619349,0.019407413,0.016540858,0.016047202,0,0,0,0,0,0,0,0,0,0
4,0.75427971,0.67224234,0.68534989,0.34243432,0.26624378,0.19138811,0.15088707,0.11948102,0.091885409,0.072746683,0.0601589,0.047088635,0.034889149,0.029735878,0.028848421,0,0,0,0,0,0,0,0,0,0
5,1.0889843,0.97054364,0.98946754,0.49438638,0.38438698,0.2763148,0.2178418,0.17249961,0.13265871,0.10502735,0.086853853,0.06798378,0.050370885,0.042930898,0.041649641,0,0,0,0,0,0,0,0,0,0
6,1.423689,1.2688449,1.2935852,0.64633843,0.50253019,0.3612415,0.28479654,0.2255182,0.173432,0.13730802,0.11354881,0.088878925,0.065852621,0.056125918,0.05445086,0,0,0,0,0,0,0,0,0,0
7,1.7583936,1.5671462,1.5977029,0.79829048,0.62067339,0.4461682,0.35175128,0.27853679,0.2142053,0.16958868,0.14024376,0.10977407,0.081334357,0.069320938,0.067252079,0,0,0,0,0,0,0,0,0,0
8,2.0930982,1.8654475,1.9018205,0.95024254,0.7388166,0.53109489,0.41870601,0.33155538,0.2549786,0.20186935,0.16693871,0.13066921,0.096816093,0.082515958,0.080053299,0,0,0,0,0,0,0,0,0,0
9,2.4278028,2.1637488,2.2059382,1.1021946,0.8569598,0.61602159,0.48566075,0.38457398,0.2957519,0.23415001,0.19363367,0.15156436,0.11229783,0.095710978,0.092854518,0,0,0,0,0,0,0,0,0,0
10,2.7625075,2.4620501,2.5100558,1.2541466,0.97510301,0.70094828,0.55261549,0.43759257,0.3365252,0.26643068,0.22032862,0.1724595,0.12777957,0.108906,0.10565574,0,0,0,0,0,0,0,0,0,0
11,3.0972121,2.7603514,2.8141735,1.4060987,1.0932462,0.78587498,0.61957022,0.49061116,0.37729849,0.29871134,0.24702357,0.19335465,0.1432613,0.12210102,0.11845696,0,0,0,0,0,0,0,0,0,0
12,3.4319167,3.0586528,3.1182911,1.5580508,1.2113894,0.87080168,0.68652496,0.54362975,0.41807179,0.33099201,0.27371853,0.21424979,0.15874304,0.13529604,0.13125818,0,0,0,0,0,0,0,0,0,0
13,3.7666213,3.3569541,3.4224088,1.7100028,1.3295326,0.95572837,0.75347969,0.59664835,0.45884509,0.36327268,0.30041348,0.23514494,0.17422477,0.14849106,0.1440594,0,0,0,0,0,0,0,0,0,0
14,4.1013259,3.6552554,3.7265264,1.8619549,1.4476758,1.0406551,0.82043443,0.64966694,0.49961839,0.39555334,0.32710843,0.25604008,0.18970651,0.16168608,0.15686061,0,0,0,0,0,0,0,0,0,0
15,4.4360306,3.9535567,4.0306441,2.0139069,1.565819,1.1255818,0.88738917,0.70268553,0.54039168,0.42783401,0.35380339,0.27693523,0.20518825,0.1748811,0.16966183,0,0,0,0,0,0,0,0,0,0
16,4.7707352,4.251858,4.3347618,2.165859,1.6839622,1.2105085,0.9543439,0.75570412,0.58116498,0.46011467,0.38049834,0.29783037,0.22066998,0.18807612,0.18246305,0,0,0,0,0,0,0,0,0,0
17,5.1054398,4.5501593,4.6388794,2.317811,1.8021054,1.2954352,1.0212986,0.80872272,0.62193828,0.49239534,0.4071933,0.31872552,0.23615172,0.20127114,0.19526427,0,0,0,0,0,0,0,0,0,0
18,5.4401444,4.8484606,4.9429971,2.4697631,1.9202487,1.3803619,1.0882534,0.86174131,0.66271158,0.52467601,0.43388825,0.33962066,0.25163345,0.21446616,0.20806549,0,0,0,0,0,0,0,0,0,0
19,5.7748491,5.1467619,5.2471147,2.6217151,2.0383919,1.4652886,1.1552081,0.9147599,0.70348488,0.55695667,0.4605832,0.36051581,0.26711519,0.22766118,0.22086671,0,0,0,0,0,0,0,0,0,0
20,6.1095537,5.4450632,5.5512324,2.7736672,2.1565351,1.5502152,1.2221628,0.96777849,0.74425817,0.58923734,0.48727816,0.38141095,0.28259693,0.2408562,0.23366793,0,0,0,0,0,0,0,0,0,0
