X coord (mm),Y coord (mm)
10.2633,3.1592
1.92917,0.974823
2.30379,0.930525
2.96385,1.16758
3.3547,1.1225
4.11275,1.04306
4.48766,1.00403
4.85951,0.96661
5.63663,0.875635
6.02626,0.836586
6.57686,1.07327
6.93143,1.03412
7.62276,0.961605
7.95168,0.924075
8.44322,1.15441
9.09993,1.0826
9.42793,1.04668
10.0584,0.972977
10.3583,0.934993
10.959,0.872933
11.3956,1.10592
11.9536,1.04027
12.5928,1.22586
12.9754,0.911688
1.96018,1.56704
2.35473,1.52456
3.16002,1.43721
3.56574,1.39168
3.94437,1.35221
4.50653,1.58211
4.88817,1.53963
5.64135,1.45998
6.01196,1.42055
6.56021,1.6455
6.93215,1.60514
7.61364,1.53305
7.93852,1.49358
8.59747,1.41791
8.92461,1.38536
9.37412,1.61229
10.0193,1.53916
10.6473,1.46605
10.9281,1.43066
11.5274,1.3667
11.9103,1.59426
12.4542,1.52986
12.9734,1.46438
1.89547,2.16725
2.52991,1.7989
3.09145,2.02846
3.49563,1.98371
3.89806,1.93852
4.44225,2.16466
4.83643,2.11897
5.6001,2.03384
5.96382,1.99245
6.33964,1.95284
7.06572,1.8737
7.53872,2.10232
7.86557,2.06445
8.52882,1.98976
8.84966,1.95171
9.49005,1.87621
9.92714,2.10819
10.5523,2.03751
11.138,1.96027
11.4356,1.9245
12.0058,1.85516
12.6302,2.05051
12.8909,2.01806
2.04611,2.44458
2.44634,2.39688
2.98077,2.62428
3.3829,2.57645
4.20295,2.48244
4.59532,2.43422
4.98259,2.38698
5.4997,2.60897
5.8699,2.56647
6.60228,2.48518
6.9636,2.44209
7.43447,2.66656
8.111,2.58857
8.43536,2.5503
9.07709,2.47722
9.39638,2.44226
10.0219,2.37055
10.4164,2.59966
11.0204,2.52513
11.6072,2.44663
11.8941,2.4114
12.5215,2.60288
13.0512,2.5368
1.90033,3.0405
2.31953,2.99033
3.11529,2.89306
3.52768,2.84571
4.07471,3.06838
4.4636,3.0198
4.86731,2.97176
5.62727,2.87522
6.11111,3.10026
6.47524,3.05557
6.83721,3.01773
7.54203,2.93114
7.9803,3.15115
8.64679,3.07386
8.95931,3.0392
9.57116,2.97701
9.88075,2.93626
10.4799,2.86052
10.8649,3.08529
11.4576,3.00452
12.0404,2.93161
12.5949,2.8625
12.9361,3.08657
2.14425,3.58645
2.55393,3.54143
2.96628,3.4885
3.36985,3.43242
3.88652,3.65403
4.68966,3.54579
5.09752,3.49589
5.47742,3.45416
5.95384,3.66836
6.68178,3.58089
