Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa)
0,-0.58453878,0,0,0,-0.026183478,0,0,-0.035158828,-0.18394466,0,0,0,0,0,0,0,0
1,-0.24983416,0,0,0,-0.011190921,0,0,-0.015027021,-0.078618667,0,0,0,0,0,0,0,0
2,0.084870463,0,0,0,0.0038016363,0,0,0.0051047871,0.026707327,0,0,0,0,0,0,0,0
3,0.41957509,0,0,0,0.018794193,0,0,0.025236595,0.13203332,0,0,0,0,0,0,0,0
4,0.75427971,0,0,0,0.03378675,0,0,0.045368403,0.23735932,0,0,0,0,0,0,0,0
5,1.0889843,0,0,0,0.048779307,0,0,0.06550021,0.34268531,0,0,0,0,0,0,0,0
6,1.423689,0,0,0,0.063771864,0,0,0.085632018,0.44801131,0,0,0,0,0,0,0,0
7,1.7583936,0,0,0,0.078764421,0,0,0.10576383,0.5533373,0,0,0,0,0,0,0,0
8,2.0930982,0,0,0,0.093756978,0,0,0.12589563,0.65866329,0,0,0,0,0,0,0,0
9,2.4278028,0,0,0,0.10874954,0,0,0.14602744,0.76398929,0,0,0,0,0,0,0,0
10,2.7625075,0,0,0,0.12374209,0,0,0.16615925,0.86931528,0,0,0,0,0,0,0,0
11,3.0972121,0,0,0,0.13873465,0,0,0.18629106,0.97464128,0,0,0,0,0,0,0,0
12,3.4319167,0,0,0,0.15372721,0,0,0.20642286,1.0799673,0,0,0,0,0,0,0,0
13,3.7666213,0,0,0,0.16871976,0,0,0.22655467,1.1852933,0,0,0,0,0,0,0,0
14,4.1013259,0,0,0,0.18371232,0,0,0.24668648,1.2906193,0,0,0,0,0,0,0,0
15,4.4360306,0,0,0,0.19870488,0,0,0.26681829,1.3959453,0,0,0,0,0,0,0,0
16,4.7707352,0,0,0,0.21369743,0,0,0.2869501,1.5012713,0,0,0,0,0,0,0,0
17,5.1054398,0,0,0,0.22868999,0,0,0.3070819,1.6065972,0,0,0,0,0,0,0,0
18,5.4401444,0,0,0,0.24368255,0,0,0.32721371,1.7119232,0,0,0,0,0,0,0,0
19,5.7748491,0,0,0,0.25867511,0,0,0.34734552,1.8172492,0,0,0,0,0,0,0,0
20,6.1095537,0,0,0,0.27366766,0,0,0.36747733,1.9225752,0,0,0,0,0,0,0,0
21,6.4442583,0,0,0,0.28866022,0,0,0.38760913,2.0279012,0,0,0,0,0,0,0,0
22,6.7789629,0,0,0,0.30365278,0,0,0.40774094,2.1332272,0,0,0,0,0,0,0,0
23,7.1136676,0,0,0,0.31864533,0,0,0.42787275,2.2385532,0,0,0,0,0,0,0,0
24,7.4483722,0,0,0,0.33363789,0,0,0.44800456,2.3438792,0,0,0,0,0,0,0,0
25,7.7830768,0,0,0,0.34863045,0,0,0.46813637,2.4492052,0,0,0,0,0,0,0,0
26,8.1177814,0,0,0,0.363623,0,0,0.48826817,2.5545312,0,0,0,0,0,0,0,0
27,8.452486,0,0,0,0.37861556,0,0,0.50839998,2.6598572,0,0,0,0,0,0,0,0
28,8.7871907,0,0,0,0.39360812,0,0,0.52853179,2.7651832,0,0,0,0,0,0,0,0
29,9.1218953,0,0,0,0.40860068,0,0,0.5486636,2.8705092,0,0,0,0,0,0,0,0
