Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
0,-1.8028782,0,0,0,-0.44707486,-0.07983244,0,0,-0.13016319,-0.023929965,0,0,0,0
1,-1.7210085,0,0,0,-0.42677296,-0.076207208,0,0,-0.12425242,-0.022843293,0,0,0,0
2,-1.6391389,0,0,0,-0.40647106,-0.072581975,0,0,-0.11834164,-0.021756621,0,0,0,0
3,-1.5572693,0,0,0,-0.38616916,-0.068956743,0,0,-0.11243086,-0.020669949,0,0,0,0
4,-1.4753997,0,0,0,-0.36586726,-0.065331511,0,0,-0.10652008,-0.019583277,0,0,0,0
5,-1.39353,0,0,0,-0.34556536,-0.061706278,0,0,-0.1006093,-0.018496605,0,0,0,0
6,-1.3116604,0,0,0,-0.32526346,-0.058081046,0,0,-0.094698526,-0.017409933,0,0,0,0
7,-1.2297908,0,0,0,-0.30496156,-0.054455813,0,0,-0.088787748,-0.016323261,0,0,0,0
8,-1.1479211,0,0,0,-0.28465966,-0.050830581,0,0,-0.08287697,-0.015236589,0,0,0,0
9,-1.0660515,0,0,0,-0.26435776,-0.047205349,0,0,-0.076966192,-0.014149917,0,0,0,0
10,-0.98418188,0,0,0,-0.24405586,-0.043580116,0,0,-0.071055414,-0.013063244,0,0,0,0
11,-0.90231225,0,0,0,-0.22375396,-0.039954884,0,0,-0.065144637,-0.011976572,0,0,0,0
12,-0.82044262,0,0,0,-0.20345206,-0.036329652,0,0,-0.059233859,-0.0108899,0,0,0,0
13,-0.73857299,0,0,0,-0.18315016,-0.032704419,0,0,-0.053323081,-0.0098032281,0,0,0,0
14,-0.65670336,0,0,0,-0.16284826,-0.029079187,0,0,-0.047412303,-0.008716556,0,0,0,0
15,-0.57483373,0,0,0,-0.14254635,-0.025453955,0,0,-0.041501525,-0.0076298839,0,0,0,0
16,-0.4929641,0,0,0,-0.12224445,-0.021828722,0,0,-0.035590747,-0.0065432118,0,0,0,0
17,-0.41109447,0,0,0,-0.10194255,-0.01820349,0,0,-0.029679969,-0.0054565397,0,0,0,0
18,-0.32922484,0,0,0,-0.081640652,-0.014578257,0,0,-0.023769191,-0.0043698677,0,0,0,0
19,-0.24735521,0,0,0,-0.061338752,-0.010953025,0,0,-0.017858414,-0.0032831956,0,0,0,0
20,-0.16548558,0,0,0,-0.041036851,-0.0073277928,0,0,-0.011947636,-0.0021965235,0,0,0,0
21,-0.08361595,0,0,0,-0.02073495,-0.0037025604,0,0,-0.0060368578,-0.0011098514,0,0,0,0
22,-0.0017463205,0,0,0,-0.00043304978,-7.7328034e-05,0,0,-0.00012607987,-2.3179264e-05,0,0,0,0
23,0.080123309,0,0,0,0.019868851,0.0035479043,0,0,0.005784698,0.0010634928,0,0,0,0
24,0.16199294,0,0,0,0.040170752,0.0071731367,0,0,0.011695476,0.0021501649,0,0,0,0
25,0.24386257,0,0,0,0.060472652,0.010798369,0,0,0.017606254,0.003236837,0,0,0,0
26,0.3257322,0,0,0,0.080774553,0.014423601,0,0,0.023517032,0.0043235091,0,0,0,0
27,0.40760183,0,0,0,0.10107645,0.018048834,0,0,0.02942781,0.0054101812,0,0,0,0
28,0.48947146,0,0,0,0.12137835,0.021674066,0,0,0.035338587,0.0064968533,0,0,0,0
29,0.57134109,0,0,0,0.14168025,0.025299298,0,0,0.041249365,0.0075835254,0,0,0,0
30,0.65321072,0,0,0,0.16198216,0.028924531,0,0,0.047160143,0.0086701975,0,0,0,0
31,0.73508035,0,0,0,0.18228406,0.032549763,0,0,0.053070921,0.0097568696,0,0,0,0
32,0.81694998,0,0,0,0.20258596,0.036174996,0,0,0.058981699,0.010843542,0,0,0,0
33,0.89881961,0,0,0,0.22288786,0.039800228,0,0,0.064892477,0.011930214,0,0,0,0
34,0.98068924,0,0,0,0.24318976,0.04342546,0,0,0.070803255,0.013016886,0,0,0,0
35,1.0625589,0,0,0,0.26349166,0.047050693,0,0,0.076714033,0.014103558,0,0,0,0
36,1.1444285,0,0,0,0.28379356,0.050675925,0,0,0.08262481,0.01519023,0,0,0,0
37,1.2262981,0,0,0,0.30409546,0.054301157,0,0,0.088535588,0.016276902,0,0,0,0
38,1.3081678,0,0,0,0.32439736,0.05792639,0,0,0.094446366,0.017363574,0,0,0,0
39,1.3900374,0,0,0,0.34469926,0.061551622,0,0,0.10035714,0.018450246,0,0,0,0
40,1.471907,0,0,0,0.36500116,0.065176854,0,0,0.10626792,0.019536918,0,0,0,0
41,1.5537766,0,0,0,0.38530306,0.068802087,0,0,0.1121787,0.020623591,0,0,0,0
42,1.6356463,0,0,0,0.40560496,0.072427319,0,0,0.11808948,0.021710263,0,0,0,0
43,1.7175159,0,0,0,0.42590686,0.076052552,0,0,0.12400026,0.022796935,0,0,0,0
44,1.7993855,0,0,0,0.44620876,0.079677784,0,0,0.12991103,0.023883607,0,0,0,0
45,1.8812552,0,0,0,0.46651067,0.083303016,0,0,0.13582181,0.024970279,0,0,0,0
46,1.9631248,0,0,0,0.48681257,0.086928249,0,0,0.14173259,0.026056951,0,0,0,0
47,2.0449944,0,0,0,0.50711447,0.090553481,0,0,0.14764337,0.027143623,0,0,0,0
48,2.1957565,0,0,0,0.54450021,0.097229309,0,0,0.158528,0.029144719,0,0,0,0
49,2.3465303,0,0,0,0.58188885,0.10390566,0,0,0.16941348,0.031145969,0,0,0,0
50,2.4973041,0,0,0,0.61927749,0.110582,0,0,0.18029897,0.03314722,0,0,0,0
51,2.6480778,0,0,0,0.65666613,0.11725835,0,0,0.19118445,0.035148471,0,0,0,0
52,2.7988516,0,0,0,0.69405478,0.12393469,0,0,0.20206993,0.037149722,0,0,0,0
53,2.9496254,0,0,0,0.73144342,0.13061104,0,0,0.21295541,0.039150972,0,0,0,0
54,3.1003992,0,0,0,0.76883206,0.13728739,0,0,0.22384089,0.041152223,0,0,0,0
55,3.2511729,0,0,0,0.8062207,0.14396373,0,0,0.23472637,0.043153474,0,0,0,0
56,3.4019467,0,0,0,0.84360934,0.15064008,0,0,0.24561185,0.045154725,0,0,0,0
57,3.5527205,0,0,0,0.88099798,0.15731642,0,0,0.25649733,0.047155975,0,0,0,0
58,3.7034943,0,0,0,0.91838663,0.16399277,0,0,0.26738282,0.049157226,0,0,0,0
59,3.8542681,0,0,0,0.95577527,0.17066912,0,0,0.2782683,0.051158477,0,0,0,0
60,4.0050418,0,0,0,0.99316391,0.17734546,0,0,0.28915378,0.053159728,0,0,0,0
61,4.1558156,0,0,0,1.0305526,0.18402181,0,0,0.30003926,0.055160978,0,0,0,0
62,4.3065894,0,0,0,1.0679412,0.19069815,0,0,0.31092474,0.057162229,0,0,0,0
63,4.4573632,0,0,0,1.1053298,0.1973745,0,0,0.32181022,0.05916348,0,0,0,0
64,4.6081369,0,0,0,1.1427185,0.20405085,0,0,0.3326957,0.061164731,0,0,0,0
65,4.7589107,0,0,0,1.1801071,0.21072719,0,0,0.34358118,0.063165981,0,0,0,0
66,4.9096845,0,0,0,1.2174958,0.21740354,0,0,0.35446666,0.065167232,0,0,0,0
67,5.0604583,0,0,0,1.2548844,0.22407988,0,0,0.36535215,0.067168483,0,0,0,0
68,5.2112321,0,0,0,1.292273,0.23075623,0,0,0.37623763,0.069169734,0,0,0,0
69,5.3620058,0,0,0,1.3296617,0.23743258,0,0,0.38712311,0.071170984,0,0,0,0
70,5.5127796,0,0,0,1.3670503,0.24410892,0,0,0.39800859,0.073172235,0,0,0,0
71,5.6635534,0,0,0,1.404439,0.25078527,0,0,0.40889407,0.075173486,0,0,0,0
72,5.8143272,0,0,0,1.4418276,0.25746161,0,0,0.41977955,0.077174737,0,0,0,0
73,5.9651009,0,0,0,1.4792163,0.26413796,0,0,0.43066503,0.079175987,0,0,0,0
74,6.1158747,0,0,0,1.5166049,0.27081431,0,0,0.44155051,0.081177238,0,0,0,0
75,6.2666485,0,0,0,1.5539935,0.27749065,0,0,0.45243599,0.083178489,0,0,0,0
76,6.4174223,0,0,0,1.5913822,0.284167,0,0,0.46332148,0.08517974,0,0,0,0
77,6.5681961,0,0,0,1.6287708,0.29084334,0,0,0.47420696,0.08718099,0,0,0,0
78,6.7189698,0,0,0,1.6661595,0.29751969,0,0,0.48509244,0.089182241,0,0,0,0
79,6.8697436,0,0,0,1.7035481,0.30419604,0,0,0.49597792,0.091183492,0,0,0,0
80,7.0205174,0,0,0,1.7409367,0.31087238,0,0,0.5068634,0.093184743,0,0,0,0
81,7.1712912,0,0,0,1.7783254,0.31754873,0,0,0.51774888,0.095185993,0,0,0,0
82,7.322065,0,0,0,1.815714,0.32422507,0,0,0.52863436,0.097187244,0,0,0,0
83,7.4728387,0,0,0,1.8531027,0.33090142,0,0,0.53951984,0.099188495,0,0,0,0
84,7.6236125,0,0,0,1.8904913,0.33757777,0,0,0.55040533,0.10118975,0,0,0,0
85,7.7743863,0,0,0,1.92788,0.34425411,0,0,0.56129081,0.103191,0,0,0,0
86,7.9251601,0,0,0,1.9652686,0.35093046,0,0,0.57217629,0.10519225,0,0,0,0
87,8.0759338,0,0,0,2.0026572,0.35760681,0,0,0.58306177,0.1071935,0,0,0,0
88,8.2267076,0,0,0,2.0400459,0.36428315,0,0,0.59394725,0.10919475,0,0,0,0
89,8.3774814,0,0,0,2.0774345,0.3709595,0,0,0.60483273,0.111196,0,0,0,0
90,8.5282552,0,0,0,2.1148232,0.37763584,0,0,0.61571821,0.11319725,0,0,0,0
91,8.679029,0,0,0,2.1522118,0.38431219,0,0,0.62660369,0.1151985,0,0,0,0
92,8.8298027,0,0,0,2.1896004,0.39098854,0,0,0.63748917,0.11719975,0,0,0,0
93,8.9805765,0,0,0,2.2269891,0.39766488,0,0,0.64837466,0.119201,0,0,0,0
94,9.1313503,0,0,0,2.2643777,0.40434123,0,0,0.65926014,0.12120225,0,0,0,0
95,9.2821241,0,0,0,2.3017664,0.41101757,0,0,0.67014562,0.1232035,0,0,0,0
96,9.4328978,0,0,0,2.339155,0.41769392,0,0,0.6810311,0.12520475,0,0,0,0
97,9.5836716,0,0,0,2.3765437,0.42437027,0,0,0.69191658,0.12720601,0,0,0,0
98,9.7344454,0,0,0,2.4139323,0.43104661,0,0,0.70280206,0.12920726,0,0,0,0
99,9.8852192,0,0,0,2.4513209,0.43772296,0,0,0.71368754,0.13120851,0,0,0,0
100,10.035993,0,0,0,2.4887096,0.4443993,0,0,0.72457302,0.13320976,0,0,0,0
101,10.186767,0,0,0,2.5260982,0.45107565,0,0,0.73545851,0.13521101,0,0,0,0
102,10.337541,0,0,0,2.5634869,0.457752,0,0,0.74634399,0.13721226,0,0,0,0
103,10.488314,0,0,0,2.6008755,0.46442834,0,0,0.75722947,0.13921351,0,0,0,0
104,10.639088,0,0,0,2.6382642,0.47110469,0,0,0.76811495,0.14121476,0,0,0,0
105,10.789862,0,0,0,2.6756528,0.47778103,0,0,0.77900043,0.14321601,0,0,0,0
106,10.940636,0,0,0,2.7130414,0.48445738,0,0,0.78988591,0.14521726,0,0,0,0
107,11.091409,0,0,0,2.7504301,0.49113373,0,0,0.80077139,0.14721851,0,0,0,0
108,11.242183,0,0,0,2.7878187,0.49781007,0,0,0.81165687,0.14921976,0,0,0,0
109,11.392957,0,0,0,2.8252074,0.50448642,0,0,0.82254235,0.15122101,0,0,0,0
110,11.543731,0,0,0,2.862596,0.51116276,0,0,0.83342784,0.15322226,0,0,0,0
111,11.694505,0,0,0,2.8999846,0.51783911,0,0,0.84431332,0.15522352,0,0,0,0
112,11.845278,0,0,0,2.9373733,0.52451546,0,0,0.8551988,0.15722477,0,0,0,0
113,11.996052,0,0,0,2.9747619,0.5311918,0,0,0.86608428,0.15922602,0,0,0,0
114,12.146826,0,0,0,3.0121506,0.53786815,0,0,0.87696976,0.16122727,0,0,0,0
115,12.2976,0,0,0,3.0495392,0.54454449,0,0,0.88785524,0.16322852,0,0,0,0
116,12.448373,0,0,0,3.0869279,0.55122084,0,0,0.89874072,0.16522977,0,0,0,0
117,12.599147,0,0,0,3.1243165,0.55789719,0,0,0.9096262,0.16723102,0,0,0,0
118,12.749921,0,0,0,3.1617051,0.56457353,0,0,0.92051168,0.16923227,0,0,0,0
119,12.900695,0,0,0,3.1990938,0.57124988,0,0,0.93139717,0.17123352,0,0,0,0
120,13.051469,0,0,0,3.2364824,0.57792622,0,0,0.94228265,0.17323477,0,0,0,0
121,13.202242,0,0,0,3.2738711,0.58460257,0,0,0.95316813,0.17523602,0,0,0,0
122,13.353016,0,0,0,3.3112597,0.59127892,0,0,0.96405361,0.17723727,0,0,0,0
123,13.50379,0,0,0,3.3486483,0.59795526,0,0,0.97493909,0.17923852,0,0,0,0
124,13.654564,0,0,0,3.386037,0.60463161,0,0,0.98582457,0.18123978,0,0,0,0
125,13.805337,0,0,0,3.4234256,0.61130796,0,0,0.99671005,0.18324103,0,0,0,0
126,13.956111,0,0,0,3.4608143,0.6179843,0,0,1.0075955,0.18524228,0,0,0,0
127,14.106885,0,0,0,3.4982029,0.62466065,0,0,1.018481,0.18724353,0,0,0,0
128,14.257659,0,0,0,3.5355916,0.63133699,0,0,1.0293665,0.18924478,0,0,0,0
129,14.408433,0,0,0,3.5729802,0.63801334,0,0,1.040252,0.19124603,0,0,0,0
130,14.559206,0,0,0,3.6103688,0.64468969,0,0,1.0511375,0.19324728,0,0,0,0
131,14.70998,0,0,0,3.6477575,0.65136603,0,0,1.0620229,0.19524853,0,0,0,0
132,14.860754,0,0,0,3.6851461,0.65804238,0,0,1.0729084,0.19724978,0,0,0,0
133,15.011528,0,0,0,3.7225348,0.66471872,0,0,1.0837939,0.19925103,0,0,0,0
134,15.162301,0,0,0,3.7599234,0.67139507,0,0,1.0946794,0.20125228,0,0,0,0
135,15.313075,0,0,0,3.797312,0.67807142,0,0,1.1055649,0.20325353,0,0,0,0
136,15.463849,0,0,0,3.8347007,0.68474776,0,0,1.1164503,0.20525478,0,0,0,0
137,15.614623,0,0,0,3.8720893,0.69142411,0,0,1.1273358,0.20725604,0,0,0,0
138,15.765397,0,0,0,3.909478,0.69810045,0,0,1.1382213,0.20925729,0,0,0,0
139,15.91617,0,0,0,3.9468666,0.7047768,0,0,1.1491068,0.21125854,0,0,0,0
140,16.066944,0,0,0,3.9842553,0.71145315,0,0,1.1599923,0.21325979,0,0,0,0
141,16.217718,0,0,0,4.0216439,0.71812949,0,0,1.1708778,0.21526104,0,0,0,0
142,16.368492,0,0,0,4.0590325,0.72480584,0,0,1.1817632,0.21726229,0,0,0,0
143,16.519265,0,0,0,4.0964212,0.73148218,0,0,1.1926487,0.21926354,0,0,0,0
144,16.670039,0,0,0,4.1338098,0.73815853,0,0,1.2035342,0.22126479,0,0,0,0
145,16.820813,0,0,0,4.1711985,0.74483488,0,0,1.2144197,0.22326604,0,0,0,0
146,16.971587,0,0,0,4.2085871,0.75151122,0,0,1.2253052,0.22526729,0,0,0,0
147,17.122361,0,0,0,4.2459758,0.75818757,0,0,1.2361906,0.22726854,0,0,0,0
148,17.273134,0,0,0,4.2833644,0.76486391,0,0,1.2470761,0.22926979,0,0,0,0
149,17.423908,0,0,0,4.320753,0.77154026,0,0,1.2579616,0.23127104,0,0,0,0
150,17.574682,0,0,0,4.3581417,0.77821661,0,0,1.2688471,0.23327229,0,0,0,0
151,17.725456,0,0,0,4.3955303,0.78489295,0,0,1.2797326,0.23527355,0,0,0,0
152,17.876229,0,0,0,4.432919,0.7915693,0,0,1.290618,0.2372748,0,0,0,0
153,18.027003,0,0,0,4.4703076,0.79824564,0,0,1.3015035,0.23927605,0,0,0,0
154,18.177777,0,0,0,4.5076962,0.80492199,0,0,1.312389,0.2412773,0,0,0,0
155,18.328551,0,0,0,4.5450849,0.81159834,0,0,1.3232745,0.24327855,0,0,0,0
156,18.479325,0,0,0,4.5824735,0.81827468,0,0,1.33416,0.2452798,0,0,0,0
157,18.630098,0,0,0,4.6198622,0.82495103,0,0,1.3450454,0.24728105,0,0,0,0
158,18.966003,0,0,0,4.7031594,0.83982509,0,0,1.3692969,0.25173959,0,0,0,0
159,19.301921,0,0,0,4.7864596,0.85469969,0,0,1.3935493,0.25619828,0,0,0,0
160,19.637838,0,0,0,4.8697598,0.86957428,0,0,1.4178017,0.26065698,0,0,0,0
161,19.973755,0,0,0,4.95306,0.88444888,0,0,1.442054,0.26511567,0,0,0,0
162,20.309672,0,0,0,5.0363602,0.89932347,0,0,1.4663064,0.26957437,0,0,0,0
163,20.645589,0,0,0,5.1196603,0.91419807,0,0,1.4905587,0.27403306,0,0,0,0
164,20.981506,0,0,0,5.2029605,0.92907266,0,0,1.5148111,0.27849176,0,0,0,0
165,21.317423,0,0,0,5.2862607,0.94394726,0,0,1.5390634,0.28295046,0,0,0,0
166,21.65334,0,0,0,5.3695609,0.95882185,0,0,1.5633158,0.28740915,0,0,0,0
167,21.989257,0,0,0,5.4528611,0.97369645,0,0,1.5875682,0.29186785,0,0,0,0
168,22.325175,0,0,0,5.5361613,0.98857105,0,0,1.6118205,0.29632654,0,0,0,0
169,22.661092,0,0,0,5.6194615,1.0034456,0,0,1.6360729,0.30078524,0,0,0,0
170,22.997009,0,0,0,5.7027617,1.0183202,0,0,1.6603252,0.30524393,0,0,0,0
171,23.332926,0,0,0,5.7860619,1.0331948,0,0,1.6845776,0.30970263,0,0,0,0
172,23.668843,0,0,0,5.8693621,1.0480694,0,0,1.7088299,0.31416132,0,0,0,0
173,24.00476,0,0,0,5.9526623,1.062944,0,0,1.7330823,0.31862002,0,0,0,0
174,24.340677,0,0,0,6.0359625,1.0778186,0,0,1.7573346,0.32307872,0,0,0,0
175,24.676594,0,0,0,6.1192627,1.0926932,0,0,1.781587,0.32753741,0,0,0,0
