Time (ms),Stress at 0.00 mm (kPa),Stress at 0.27 mm (kPa),Stress at 0.46 mm (kPa),Stress at NaN mm (kPa),Stress at 0.80 mm (kPa),Stress at 1.06 mm (kPa),Stress at NaN mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.84 mm (kPa),Stress at 2.03 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.46 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.85 mm (kPa)
0,-7.4019005,-6.5604994,-6.3205794,,-4.427233,-4.015071,,-1.89026,-2.636402,-1.5820544,-1.0801792,-0.5480345,-0.6724339,-0.44726138,-0.27536236
1,-7.2545002,-6.4298546,-6.1947123,,-4.3390698,-3.9351155,,-1.8526176,-2.5839011,-1.5505496,-1.0586687,-0.53712103,-0.65904316,-0.43835469,-0.26987883
2,-7.1070999,-6.2992098,-6.0688453,,-4.2509065,-3.85516,,-1.8149753,-2.5314002,-1.5190449,-1.0371582,-0.52620756,-0.64565242,-0.42944799,-0.26439531
3,-6.9596996,-6.1685651,-5.9429783,,-4.1627433,-3.7752045,,-1.7773329,-2.4788993,-1.4875401,-1.0156476,-0.51529408,-0.63226167,-0.4205413,-0.25891179
4,-6.8122993,-6.0379203,-5.8171113,,-4.0745801,-3.695249,,-1.7396906,-2.4263984,-1.4560353,-0.99413713,-0.50438061,-0.61887093,-0.41163461,-0.25342827
5,-6.664899,-5.9072756,-5.6912442,,-3.9864169,-3.6152935,,-1.7020483,-2.3738976,-1.4245305,-0.97262661,-0.49346714,-0.60548019,-0.40272791,-0.24794474
6,-6.5174987,-5.7766308,-5.5653772,,-3.8982536,-3.535338,,-1.6644059,-2.3213967,-1.3930257,-0.95111609,-0.48255367,-0.59208945,-0.39382122,-0.24246122
7,-6.3700985,-5.6459861,-5.4395102,,-3.8100904,-3.4553825,,-1.6267636,-2.2688958,-1.3615209,-0.92960557,-0.47164019,-0.5786987,-0.38491453,-0.2369777
8,-6.2226982,-5.5153413,-5.3136432,,-3.7219272,-3.375427,,-1.5891212,-2.2163949,-1.3300162,-0.90809505,-0.46072672,-0.56530796,-0.37600783,-0.23149417
9,-6.0752979,-5.3846966,-5.1877761,,-3.633764,-3.2954715,,-1.5514789,-2.163894,-1.2985114,-0.88658453,-0.44981325,-0.55191722,-0.36710114,-0.22601065
10,-5.9278976,-5.2540518,-5.0619091,,-3.5456008,-3.215516,,-1.5138366,-2.1113931,-1.2670066,-0.86507401,-0.43889977,-0.53852647,-0.35819445,-0.22052713
11,-5.7804973,-5.1234071,-4.9360421,,-3.4574375,-3.1355605,,-1.4761942,-2.0588922,-1.2355018,-0.84356349,-0.4279863,-0.52513573,-0.34928776,-0.21504361
