Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa)
0,-7.4019005,0,0,0,0,-0.073198963,-1.107016,0,0,0,-1.0985987,0,0,0,0
1,-7.2545002,0,0,0,0,-0.07174129,-1.084971,0,0,0,-1.0767214,0,0,0,0
2,-7.1070999,0,0,0,0,-0.070283618,-1.0629261,0,0,0,-1.0548441,0,0,0,0
3,-6.9596996,0,0,0,0,-0.068825945,-1.0408812,0,0,0,-1.0329667,0,0,0,0
4,-6.8122993,0,0,0,0,-0.067368272,-1.0188362,0,0,0,-1.0110894,0,0,0,0
5,-6.664899,0,0,0,0,-0.0659106,-0.99679128,0,0,0,-0.9892121,0,0,0,0
6,-6.5174987,0,0,0,0,-0.064452927,-0.97474633,0,0,0,-0.96733478,0,0,0,0
7,-6.3700985,0,0,0,0,-0.062995254,-0.95270139,0,0,0,-0.94545745,0,0,0,0
8,-6.2226982,0,0,0,0,-0.061537582,-0.93065645,0,0,0,-0.92358013,0,0,0,0
9,-6.0752979,0,0,0,0,-0.060079909,-0.90861151,0,0,0,-0.90170281,0,0,0,0
10,-5.9278976,0,0,0,0,-0.058622236,-0.88656656,0,0,0,-0.87982549,0,0,0,0
11,-5.7804973,0,0,0,0,-0.057164564,-0.86452162,0,0,0,-0.85794816,0,0,0,0
12,-5.633097,0,0,0,0,-0.055706891,-0.84247668,0,0,0,-0.83607084,0,0,0,0
13,-5.4856968,0,0,0,0,-0.054249218,-0.82043173,0,0,0,-0.81419352,0,0,0,0
14,-5.3382965,0,0,0,0,-0.052791546,-0.79838679,0,0,0,-0.7923162,0,0,0,0
15,-5.1908962,0,0,0,0,-0.051333873,-0.77634185,0,0,0,-0.77043888,0,0,0,0
16,-5.0434959,0,0,0,0,-0.049876201,-0.75429691,0,0,0,-0.74856155,0,0,0,0
17,-4.8960956,0,0,0,0,-0.048418528,-0.73225196,0,0,0,-0.72668423,0,0,0,0
18,-4.7486953,0,0,0,0,-0.046960855,-0.71020702,0,0,0,-0.70480691,0,0,0,0
19,-4.6012951,0,0,0,0,-0.045503183,-0.68816208,0,0,0,-0.68292959,0,0,0,0
20,-4.4538948,0,0,0,0,-0.04404551,-0.66611714,0,0,0,-0.66105226,0,0,0,0
21,-4.3064945,0,0,0,0,-0.042587837,-0.64407219,0,0,0,-0.63917494,0,0,0,0
22,-4.1590942,0,0,0,0,-0.041130165,-0.62202725,0,0,0,-0.61729762,0,0,0,0
23,-4.0116939,0,0,0,0,-0.039672492,-0.59998231,0,0,0,-0.5954203,0,0,0,0
24,-3.8642936,0,0,0,0,-0.038214819,-0.57793737,0,0,0,-0.57354298,0,0,0,0
25,-3.7168934,0,0,0,0,-0.036757147,-0.55589242,0,0,0,-0.55166565,0,0,0,0
26,-3.5694931,0,0,0,0,-0.035299474,-0.53384748,0,0,0,-0.52978833,0,0,0,0
27,-3.4220928,0,0,0,0,-0.033841801,-0.51180254,0,0,0,-0.50791101,0,0,0,0
