Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
0,-0.58453878,0,0,-0.015281858,0,-0.017835927,-0.019450972,-0.029645746,0,0,-0.0066303577,-0.019226865,-0.087711218,-0.39451467,-0.038195137,0,0,-0.0022897963,-0.012710867,-0.052668351,-0.10651343,-0.039318134,0,0,0,0,-0.0001563189,-0.0075813089,-0.0010225561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.24983416,0,0,-0.0065315259,0,-0.0076231448,-0.0083134216,-0.012670708,0,0,-0.0028338408,-0.008217637,-0.037488117,-0.16861711,-0.016324751,0,0,-0.00097866788,-0.005432674,-0.022510659,-0.045524258,-0.016804724,0,0,0,0,-6.6811309e-05,-0.003240281,-0.00043704446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.084870463,0,0,0.0022188064,0,0.0025896372,0.0028241292,0.0043043306,0,0,0.00096267613,0.0027915905,0.012734983,0.057280446,0.0055456353,0,0,0.00033246053,0.0018455185,0.0076470329,0.015464918,0.0057086858,0,0,0,0,2.2696283e-05,0.0011007468,0.00014846715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.41957509,0,0,0.010969139,0,0.012802419,0.01396168,0.021279369,0,0,0.0047591931,0.013800818,0.062958084,0.283178,0.027416021,0,0,0.0016435889,0.009123711,0.037804725,0.076454095,0.028222096,0,0,0,0,0.00011220388,0.0054417747,0.00073397876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.75427971,0,0,0.019719471,0,0.023015201,0.025099231,0.038254407,0,0,0.00855571,0.024810046,0.11318119,0.50907556,0.049286407,0,0,0.0029547173,0.016401903,0.067962417,0.13744327,0.050735506,0,0,0,0,0.00020171147,0.0097828025,0.0013194904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0889843,0,0,0.028469803,0,0.033227983,0.036236781,0.055229446,0,0,0.012352227,0.035819273,0.16340429,0.73497312,0.071156793,0,0,0.0042658457,0.023680096,0.098120108,0.19843245,0.073248916,0,0,0,0,0.00029121906,0.01412383,0.001905002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.423689,0,0,0.037220136,0,0.043440765,0.047374332,0.072204484,0,0,0.016148744,0.046828501,0.21362739,0.96087067,0.093027179,0,0,0.0055769741,0.030958288,0.1282778,0.25942162,0.095762325,0,0,0,0,0.00038072665,0.018464858,0.0024905136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.7583936,0,0,0.045970468,0,0.053653547,0.058511883,0.089179522,0,0,0.019945261,0.057837728,0.26385049,1.1867682,0.11489757,0,0,0.0068881025,0.038236481,0.15843549,0.3204108,0.11827574,0,0,0,0,0.00047023424,0.022805886,0.0030760252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.0930982,0,0,0.0547208,0,0.063866329,0.069649434,0.10615456,0,0,0.023741778,0.068846956,0.31407359,1.4126658,0.13676795,0,0,0.0081992309,0.045514673,0.18859318,0.38139998,0.14078915,0,0,0,0,0.00055974184,0.027146914,0.0036615368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.4278028,0,0,0.063471133,0,0.074079111,0.080786984,0.1231296,0,0,0.027538295,0.079856183,0.36429669,1.6385633,0.15863834,0,0,0.0095103593,0.052792866,0.21875088,0.44238915,0.16330256,0,0,0,0,0.00064924943,0.031487942,0.0042470484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
