Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.64 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.24 mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.64 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.06 mm (kPa),Stress at 2.27 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.26 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.64 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.24 mm (kPa),Stress at 4.44 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.86 mm (kPa)
0,-1.8028782,-1.7719565,-1.8228953,-1.1670695,-0.92572938,-0.87698833,-0.60469539,-0.48688582,-0.32105171,-0.23925935,-0.2061741,-0.09524548,-0.074341572,-0.030831986,-0.029392027,0,0,0,0,0,0,0,0,0,0
1,-1.7210085,-1.691491,-1.7401167,-1.1140723,-0.88369153,-0.83716384,-0.57723586,-0.46477609,-0.30647259,-0.22839446,-0.19681162,-0.090920333,-0.070965683,-0.029431889,-0.02805732,0,0,0,0,0,0,0,0,0,0
2,-1.6391389,-1.6110256,-1.657338,-1.0610751,-0.84165368,-0.79733934,-0.54977633,-0.44266635,-0.29189346,-0.21752957,-0.18744915,-0.086595187,-0.067589793,-0.028031793,-0.026722613,0,0,0,0,0,0,0,0,0,0
3,-1.5572693,-1.5305601,-1.5745594,-1.0080778,-0.79961583,-0.75751485,-0.5223168,-0.42055661,-0.27731434,-0.20666468,-0.17808668,-0.08227004,-0.064213904,-0.026631696,-0.025387906,0,0,0,0,0,0,0,0,0,0
4,-1.4753997,-1.4500947,-1.4917808,-0.9550806,-0.75757798,-0.71769036,-0.49485727,-0.39844688,-0.26273521,-0.19579979,-0.16872421,-0.077944894,-0.060838015,-0.0252316,-0.024053199,0,0,0,0,0,0,0,0,0,0
5,-1.39353,-1.3696292,-1.4090022,-0.90208337,-0.71554013,-0.67786586,-0.46739774,-0.37633714,-0.24815609,-0.1849349,-0.15936173,-0.073619747,-0.057462126,-0.023831504,-0.022718492,0,0,0,0,0,0,0,0,0,0
6,-1.3116604,-1.2891637,-1.3262236,-0.84908614,-0.67350228,-0.63804137,-0.43993821,-0.3542274,-0.23357697,-0.17407001,-0.14999926,-0.069294601,-0.054086237,-0.022431407,-0.021383785,0,0,0,0,0,0,0,0,0,0
7,-1.2297908,-1.2086983,-1.243445,-0.79608891,-0.63146443,-0.59821688,-0.41247868,-0.33211767,-0.21899784,-0.16320512,-0.14063679,-0.064969454,-0.050710347,-0.021031311,-0.020049077,0,0,0,0,0,0,0,0,0,0
8,-1.1479211,-1.1282328,-1.1606663,-0.74309168,-0.58942658,-0.55839238,-0.38501915,-0.31000793,-0.20441872,-0.15234022,-0.13127432,-0.060644308,-0.047334458,-0.019631214,-0.01871437,0,0,0,0,0,0,0,0,0,0
9,-1.0660515,-1.0477674,-1.0778877,-0.69009445,-0.54738874,-0.51856789,-0.35755962,-0.28789819,-0.18983959,-0.14147533,-0.12191185,-0.056319162,-0.043958569,-0.018231118,-0.017379663,0,0,0,0,0,0,0,0,0,0
10,-0.98418188,-0.96730189,-0.99510911,-0.63709722,-0.50535089,-0.4787434,-0.33010009,-0.26578845,-0.17526047,-0.13061044,-0.11254937,-0.051994015,-0.04058268,-0.016831022,-0.016044956,0,0,0,0,0,0,0,0,0,0
