Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa)
0,-1.8028782,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047255665,-0.37724988,-1.1878604,-0.14523795,-0.0092528602,0,0,-0.013462371,-0.27136834,-0.55582182,-0.10136773,-0.0041457992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.7210085,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04510976,-0.36011877,-1.133919,-0.13864262,-0.008832683,0,0,-0.012851038,-0.25904536,-0.53058166,-0.096764571,-0.0039575363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.6391389,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042963856,-0.34298766,-1.0799777,-0.13204729,-0.0084125059,0,0,-0.012239705,-0.24672239,-0.50534151,-0.09216141,-0.0037692734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.5572693,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040817952,-0.32585655,-1.0260363,-0.12545196,-0.0079923287,0,0,-0.011628371,-0.23439941,-0.48010135,-0.087558249,-0.0035810106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.4753997,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038672048,-0.30872543,-0.97209496,-0.11885663,-0.0075721516,0,0,-0.011017038,-0.22207644,-0.4548612,-0.082955088,-0.0033927477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.39353,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036526144,-0.29159432,-0.9181536,-0.1122613,-0.0071519744,0,0,-0.010405705,-0.20975346,-0.42962104,-0.078351927,-0.0032044848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.3116604,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03438024,-0.27446321,-0.86421225,-0.10566597,-0.0067317972,0,0,-0.0097943717,-0.19743048,-0.40438088,-0.073748766,-0.0030162219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1.2297908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032234336,-0.2573321,-0.8102709,-0.09907064,-0.0063116201,0,0,-0.0091830385,-0.18510751,-0.37914073,-0.069145605,-0.002827959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.1479211,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030088431,-0.24020099,-0.75632954,-0.09247531,-0.0058914429,0,0,-0.0085717052,-0.17278453,-0.35390057,-0.064542443,-0.0026396961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.0660515,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027942527,-0.22306987,-0.70238819,-0.085879979,-0.0054712657,0,0,-0.007960372,-0.16046155,-0.32866041,-0.059939282,-0.0024514332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
