X coord (mm),Y coord (mm)
10.6255,4.91076
2.34024,0.996647
3.90377,0.895057
5.5712,1.101
7.10005,1.03035
9.17234,0.941389
10.7385,0.875074
12.6309,1.0662
2.14085,2.68313
3.77309,2.86139
5.35755,2.77225
7.35106,2.67328
9.09384,2.61726
10.6748,2.81543
12.4252,2.67639
1.89791,4.96059
3.54408,4.00323
5.65785,4.68229
7.22909,4.03949
9.15038,4.9886
10.6028,4.44596
12.4076,4.51006
1.77998,6.17836
3.8359,6.27272
5.5411,6.39464
7.23823,6.22431
9.02626,6.34161
10.903,6.20297
12.4143,6.38234
2.17032,7.9651
3.80393,8.09592
5.56428,7.88654
7.15668,8.00919
8.91881,8.14143
10.6205,7.98148
12.4772,8.09057
1.95832,9.61282
3.59993,9.72307
5.5371,9.81479
7.21376,9.60048
9.01189,9.70557
10.6459,9.8304
12.5497,9.92138
