X coord (mm),Y coord (mm)
9.24964,4.99514
3.57001,1.11432
7.14121,0.736391
8.99433,0.957607
10.8603,0.888784
12.5093,1.10611
3.61091,2.84452
5.57921,2.74473
7.37724,2.66338
9.05236,2.5921
10.6455,2.78906
12.3853,2.70831
2.85979,4.87233
3.64733,4.50696
5.64466,4.38217
7.16742,4.56709
8.86695,4.50233
10.7413,4.62303
12.4565,4.52826
2.47681,6.28878
3.74608,6.1808
5.41555,6.3115
7.37657,6.14728
9.04777,6.29356
10.8756,6.18808
12.6145,6.34242
2.20635,8.07193
3.91206,7.89079
5.57556,8.00734
7.15532,7.84724
8.86193,7.97832
10.7405,8.10912
12.5202,7.9696
2.03625,9.94843
3.75998,9.73587
5.32401,9.85246
7.33309,9.61294
9.04133,9.73107
10.6362,9.86376
12.5022,9.69026
