Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
0,-7.4019005,0,0,0,0,0,0,0,0,0,0,-0.021524172,0,0,0,0,0,-0.95401957,-2.9167804,-0.39272288,0,0,0,0,-1.1923725,-3.5511405,-0.52546408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-7.2545002,0,0,0,0,0,0,0,0,0,0,-0.021095543,0,0,0,0,0,-0.93502137,-2.8586961,-0.38490226,0,0,0,0,-1.1686278,-3.4804237,-0.51500007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-7.1070999,0,0,0,0,0,0,0,0,0,0,-0.020666914,0,0,0,0,0,-0.91602318,-2.8006118,-0.37708164,0,0,0,0,-1.144883,-3.4097068,-0.50453606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-6.9596996,0,0,0,0,0,0,0,0,0,0,-0.020238285,0,0,0,0,0,-0.89702498,-2.7425275,-0.36926102,0,0,0,0,-1.1211383,-3.33899,-0.49407205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-6.8122993,0,0,0,0,0,0,0,0,0,0,-0.019809656,0,0,0,0,0,-0.87802678,-2.6844432,-0.36144039,0,0,0,0,-1.0973936,-3.2682731,-0.48360804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-6.664899,0,0,0,0,0,0,0,0,0,0,-0.019381027,0,0,0,0,0,-0.85902859,-2.6263589,-0.35361977,0,0,0,0,-1.0736489,-3.1975562,-0.47314403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-6.5174987,0,0,0,0,0,0,0,0,0,0,-0.018952398,0,0,0,0,0,-0.84003039,-2.5682746,-0.34579915,0,0,0,0,-1.0499042,-3.1268394,-0.46268002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-6.3700985,0,0,0,0,0,0,0,0,0,0,-0.018523769,0,0,0,0,0,-0.8210322,-2.5101903,-0.33797853,0,0,0,0,-1.0261594,-3.0561225,-0.45221601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-6.2226982,0,0,0,0,0,0,0,0,0,0,-0.01809514,0,0,0,0,0,-0.802034,-2.452106,-0.33015791,0,0,0,0,-1.0024147,-2.9854057,-0.441752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-6.0752979,0,0,0,0,0,0,0,0,0,0,-0.017666511,0,0,0,0,0,-0.7830358,-2.3940217,-0.32233728,0,0,0,0,-0.97867001,-2.9146888,-0.431288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-5.9278976,0,0,0,0,0,0,0,0,0,0,-0.017237882,0,0,0,0,0,-0.76403761,-2.3359373,-0.31451666,0,0,0,0,-0.95492529,-2.843972,-0.42082399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-5.7804973,0,0,0,0,0,0,0,0,0,0,-0.016809253,0,0,0,0,0,-0.74503941,-2.277853,-0.30669604,0,0,0,0,-0.93118057,-2.7732551,-0.41035998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
