Time (ms),Stress at 0.00 mm (kPa),Stress at 0.27 mm (kPa),Stress at 0.41 mm (kPa),Stress at 0.63 mm (kPa),Stress at 0.84 mm (kPa),Stress at 1.07 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.84 mm (kPa),Stress at 2.03 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.46 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.23 mm (kPa),Stress at 3.46 mm (kPa),Stress at 3.66 mm (kPa),Stress at 3.84 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.26 mm (kPa),Stress at 4.46 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.85 mm (kPa)
0,-0.82715181,-0.70642625,-0.67765542,-0.50392377,-0.47693835,-0.37197466,-0.41917983,-0.18836652,-0.14046113,-0.16000475,-0.10820336,-0.073828848,-0.022146887,-0.024396872,0,0,0,0,0,0,0,0,0,0,0
1,-0.63491544,-0.54224742,-0.52016314,-0.38680806,-0.36609425,-0.28552492,-0.32175925,-0.14458871,-0.1078169,-0.12281843,-0.083056076,-0.056670462,-0.016999782,-0.018726853,0,0,0,0,0,0,0,0,0,0,0
2,-0.44267907,-0.37806859,-0.36267087,-0.26969234,-0.25525015,-0.19907518,-0.22433867,-0.1008109,-0.07517266,-0.085632108,-0.057908793,-0.039512077,-0.011852677,-0.013056835,0,0,0,0,0,0,0,0,0,0,0
3,-0.2504427,-0.21388976,-0.2051786,-0.15257662,-0.14440605,-0.11262544,-0.12691809,-0.057033086,-0.042528426,-0.048445788,-0.032761509,-0.022353691,-0.0067055723,-0.0073868163,0,0,0,0,0,0,0,0,0,0,0
4,-0.05820633,-0.049710923,-0.047686331,-0.035460907,-0.033561954,-0.026175702,-0.029497511,-0.013255274,-0.0098841914,-0.011259468,-0.0076142256,-0.0051953054,-0.0015584673,-0.0017167978,0,0,0,0,0,0,0,0,0,0,0
5,0.13403004,0.11446791,0.10980594,0.081654809,0.077282145,0.060274036,0.067923069,0.030522538,0.022760043,0.025926852,0.017533058,0.01196308,0.0035886377,0.0039532208,0,0,0,0,0,0,0,0,0,0,0
6,0.32626641,0.27864674,0.26729821,0.19877053,0.18812624,0.14672377,0.16534365,0.07430035,0.055404278,0.063113173,0.042680342,0.029121466,0.0087357428,0.0096232393,0,0,0,0,0,0,0,0,0,0,0
7,0.51850278,0.44282558,0.42479048,0.31588624,0.29897034,0.23317351,0.26276423,0.11807816,0.088048512,0.10029949,0.067827625,0.046279851,0.013882848,0.015293258,0,0,0,0,0,0,0,0,0,0,0
8,0.71073915,0.60700441,0.58228275,0.43300196,0.40981444,0.31962325,0.36018481,0.16185597,0.12069275,0.13748581,0.092974909,0.063438237,0.019029953,0.020963276,0,0,0,0,0,0,0,0,0,0,0
9,0.90297552,0.77118324,0.73977503,0.55011767,0.52065854,0.40607299,0.45760539,0.20563378,0.15333698,0.17467213,0.11812219,0.080596623,0.024177058,0.026633295,0,0,0,0,0,0,0,0,0,0,0
10,1.0952119,0.93536208,0.8972673,0.66723339,0.63150264,0.49252273,0.55502597,0.2494116,0.18598122,0.21185845,0.14326948,0.097755008,0.029324163,0.032303313,0,0,0,0,0,0,0,0,0,0,0
11,1.2874483,1.0995409,1.0547596,0.78434911,0.74234673,0.57897247,0.65244654,0.29318941,0.21862545,0.24904477,0.16841676,0.11491339,0.034471268,0.037973332,0,0,0,0,0,0,0,0,0,0,0
12,1.4796846,1.2637197,1.2122518,0.90146482,0.85319083,0.66542221,0.74986712,0.33696722,0.25126968,0.28623109,0.19356404,0.13207178,0.039618373,0.043643351,0,0,0,0,0,0,0,0,0,0,0
13,1.671921,1.4278986,1.3697441,1.0185805,0.96403493,0.75187194,0.8472877,0.38074503,0.28391392,0.32341741,0.21871133,0.14923017,0.044765478,0.049313369,0,0,0,0,0,0,0,0,0,0,0
14,1.8641574,1.5920774,1.5272364,1.1356963,1.074879,0.83832168,0.94470828,0.42452284,0.31655815,0.36060373,0.24385861,0.16638855,0.049912583,0.054983388,0,0,0,0,0,0,0,0,0,0,0
15,2.0563937,1.7562562,1.6847287,1.252812,1.1857231,0.92477142,1.0421289,0.46830066,0.34920239,0.39779005,0.26900589,0.18354694,0.055059688,0.060653406,0,0,0,0,0,0,0,0,0,0,0
16,2.2486301,1.9204351,1.8422209,1.3699277,1.2965672,1.0112212,1.1395494,0.51207847,0.38184662,0.43497637,0.29415318,0.20070532,0.060206793,0.066323425,0,0,0,0,0,0,0,0,0,0,0
17,2.4408665,2.0846139,1.9997132,1.4870434,1.4074113,1.0976709,1.23697,0.55585628,0.41449086,0.4721627,0.31930046,0.21786371,0.065353898,0.071993443,0,0,0,0,0,0,0,0,0,0,0
18,2.6331028,2.2487927,2.1572055,1.6041591,1.5182554,1.1841206,1.3343906,0.59963409,0.44713509,0.50934902,0.34444774,0.23502209,0.070501003,0.077663462,0,0,0,0,0,0,0,0,0,0,0
19,2.8253392,2.4129716,2.3146977,1.7212748,1.6290995,1.2705704,1.4318112,0.6434119,0.47977933,0.54653534,0.36959503,0.25218048,0.075648108,0.08333348,0,0,0,0,0,0,0,0,0,0,0
20,3.0175756,2.5771504,2.47219,1.8383906,1.7399436,1.3570201,1.5292318,0.68718971,0.51242356,0.58372166,0.39474231,0.26933886,0.080795213,0.089003499,0,0,0,0,0,0,0,0,0,0,0
21,3.2098119,2.7413292,2.6296823,1.9555063,1.8507877,1.4434699,1.6266523,0.73096753,0.5450678,0.62090798,0.4198896,0.28649725,0.085942318,0.094673517,0,0,0,0,0,0,0,0,0,0,0
22,3.4020483,2.9055081,2.7871746,2.072622,1.9616318,1.5299196,1.7240729,0.77474534,0.57771203,0.6580943,0.44503688,0.30365564,0.091089423,0.10034354,0,0,0,0,0,0,0,0,0,0,0
23,3.5942847,3.0696869,2.9446668,2.1897377,2.0724759,1.6163693,1.8214935,0.81852315,0.61035626,0.69528062,0.47018416,0.32081402,0.096236528,0.10601355,0,0,0,0,0,0,0,0,0,0,0
24,3.7865211,3.2338657,3.1021591,2.3068534,2.18332,1.7028191,1.9189141,0.86230096,0.6430005,0.73246694,0.49533145,0.33797241,0.10138363,0.11168357,0,0,0,0,0,0,0,0,0,0,0
25,3.9787574,3.3980446,3.2596514,2.4239691,2.2941641,1.7892688,2.0163347,0.90607877,0.67564473,0.76965326,0.52047873,0.35513079,0.10653074,0.11735359,0,0,0,0,0,0,0,0,0,0,0
26,4.1709938,3.5622234,3.4171436,2.5410849,2.4050082,1.8757185,2.1137552,0.94985659,0.70828897,0.80683958,0.54562601,0.37228918,0.11167784,0.12302361,0,0,0,0,0,0,0,0,0,0,0
27,4.3632302,3.7264022,3.5746359,2.6582006,2.5158523,1.9621683,2.2111758,0.9936344,0.7409332,0.8440259,0.5707733,0.38944756,0.11682495,0.12869363,0,0,0,0,0,0,0,0,0,0,0
28,4.5554665,3.8905811,3.7321282,2.7753163,2.6266964,2.048618,2.3085964,1.0374122,0.77357744,0.88121222,0.59592058,0.40660595,0.12197205,0.13436365,0,0,0,0,0,0,0,0,0,0,0
29,4.7477029,4.0547599,3.8896205,2.892432,2.7375405,2.1350678,2.406017,1.08119,0.80622167,0.91839854,0.62106786,0.42376433,0.12711916,0.14003367,0,0,0,0,0,0,0,0,0,0,0
30,4.9399393,4.2189387,4.0471127,3.0095477,2.8483846,2.2215175,2.5034376,1.1249678,0.83886591,0.95558486,0.64621515,0.44092272,0.13226626,0.14570368,0,0,0,0,0,0,0,0,0,0,0
