Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
0,-0.82715181,0,0,0,0,0,0,0,0,0,0,-0.0047009782,-0.069964858,-0.16069334,-0.0073468192,0,0,0,-0.042579679,-0.53006624,-0.89327256,-0.076185696,0,0,0,-0.023443967,-0.15733264,-0.15399373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.63491544,0,0,0,0,0,0,0,0,0,0,-0.0036084352,-0.053704493,-0.12334699,-0.0056393625,0,0,0,-0.032683838,-0.40687481,-0.68566923,-0.058479561,0,0,0,-0.017995411,-0.12076734,-0.11820442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.44267907,0,0,0,0,0,0,0,0,0,0,-0.0025158921,-0.037444128,-0.086000633,-0.0039319059,0,0,0,-0.022787997,-0.28368339,-0.47806589,-0.040773426,0,0,0,-0.012546855,-0.084202037,-0.082415102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.2504427,0,0,0,0,0,0,0,0,0,0,-0.001423349,-0.021183763,-0.048654278,-0.0022244493,0,0,0,-0.012892155,-0.16049196,-0.27046256,-0.023067291,0,0,0,-0.0070982984,-0.047636735,-0.046625789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.05820633,0,0,0,0,0,0,0,0,0,0,-0.00033080589,-0.004923398,-0.011307924,-0.00051699262,0,0,0,-0.0029963143,-0.037300541,-0.06285922,-0.0053611558,0,0,0,-0.0016497422,-0.011071433,-0.010836475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.13403004,0,0,0,0,0,0,0,0,0,0,0.0007617372,0.011336967,0.026038431,0.001190464,0,0,0,0.0068995268,0.085890882,0.14474412,0.012344979,0,0,0,0.003798814,0.025493869,0.024952839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.32626641,0,0,0,0,0,0,0,0,0,0,0.0018542803,0.027597332,0.063384785,0.0028979207,0,0,0,0.016795368,0.20908231,0.35234745,0.030051114,0,0,0,0.0092473701,0.062059172,0.060742152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.51850278,0,0,0,0,0,0,0,0,0,0,0.0029468234,0.043857697,0.10073114,0.0046053773,0,0,0,0.026691209,0.33227373,0.55995079,0.047757249,0,0,0,0.014695926,0.098624474,0.096531466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.71073915,0,0,0,0,0,0,0,0,0,0,0.0040393665,0.060118062,0.13807749,0.0063128339,0,0,0,0.03658705,0.45546515,0.76755412,0.065463384,0,0,0,0.020144483,0.13518978,0.13232078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.90297552,0,0,0,0,0,0,0,0,0,0,0.0051319096,0.076378427,0.17542385,0.0080202906,0,0,0,0.046482891,0.57865658,0.97515746,0.083169519,0,0,0,0.025593039,0.17175508,0.16811009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0952119,0,0,0,0,0,0,0,0,0,0,0.0062244526,0.092638791,0.2127702,0.0097277472,0,0,0,0.056378732,0.701848,1.1827608,0.10087565,0,0,0,0.031041595,0.20832038,0.20389941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.2874483,0,0,0,0,0,0,0,0,0,0,0.0073169957,0.10889916,0.25011656,0.011435204,0,0,0,0.066274574,0.82503942,1.3903641,0.11858179,0,0,0,0.036490151,0.24488568,0.23968872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.4796846,0,0,0,0,0,0,0,0,0,0,0.0084095388,0.12515952,0.28746291,0.01314266,0,0,0,0.076170415,0.94823085,1.5979675,0.13628792,0,0,0,0.041938707,0.28145098,0.27547803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.671921,0,0,0,0,0,0,0,0,0,0,0.0095020819,0.14141989,0.32480927,0.014850117,0,0,0,0.086066256,1.0714223,1.8055708,0.15399406,0,0,0,0.047387264,0.31801629,0.31126735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.8641574,0,0,0,0,0,0,0,0,0,0,0.010594625,0.15768025,0.36215562,0.016557574,0,0,0,0.095962097,1.1946137,2.0131741,0.17170019,0,0,0,0.05283582,0.35458159,0.34705666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.0563937,0,0,0,0,0,0,0,0,0,0,0.011687168,0.17394062,0.39950197,0.01826503,0,0,0,0.10585794,1.3178051,2.2207775,0.18940633,0,0,0,0.058284376,0.39114689,0.38284598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
