Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa)
0,-0.58453878,0,0,0,0,0,0,0,0,-0.033854666,-0.031998114,-0.01375753,0,0,0,0,0,0,0,0,0,-0.047434907,-0.12094145,-0.12252972,-0.030306707,0,0,0,0,0,0,0,-0.044712557,-0.058738726,-0.22985418,-0.3361568,-0.08333989,0,0,0,0,0,0,0,0,-0.023996967,-0.068486455,-0.072447846,-0.043052146,0,0,0,0,0,0,0,0,0,-0.0075094271,-0.01130262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.24983416,0,0,0,0,0,0,0,0,-0.014469617,-0.013676119,-0.0058800221,0,0,0,0,0,0,0,0,0,-0.020273865,-0.051690847,-0.05236968,-0.012953205,0,0,0,0,0,0,0,-0.019110321,-0.025105161,-0.098240576,-0.14367473,-0.035619794,0,0,0,0,0,0,0,0,-0.010256397,-0.029271378,-0.030964492,-0.018400655,0,0,0,0,0,0,0,0,0,-0.0032095585,-0.004830784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.084870463,0,0,0,0,0,0,0,0,0.0049154329,0.0046458762,0.0019974859,0,0,0,0,0,0,0,0,0,0.0068871779,0.017559753,0.017790357,0.004400297,0,0,0,0,0,0,0,0.0064919138,0.008528404,0.033373031,0.048807341,0.012100301,0,0,0,0,0,0,0,0,0.0034841721,0.009943698,0.010518861,0.0062508351,0,0,0,0,0,0,0,0,0,0.0010903101,0.0016410521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.41957509,0,0,0,0,0,0,0,0,0.024300482,0.022967871,0.0098749938,0,0,0,0,0,0,0,0,0,0.03404822,0.086810353,0.087950395,0.021753799,0,0,0,0,0,0,0,0.032094149,0.042161969,0.16498664,0.24128941,0.059820396,0,0,0,0,0,0,0,0,0.017224742,0.049158774,0.052002214,0.030902326,0,0,0,0,0,0,0,0,0,0.0053901787,0.0081128882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.75427971,0,0,0,0,0,0,0,0,0.043685532,0.041289867,0.017752502,0,0,0,0,0,0,0,0,0,0.061209263,0.15606095,0.15811043,0.039107301,0,0,0,0,0,0,0,0.057696384,0.075795534,0.29660025,0.43377148,0.10754049,0,0,0,0,0,0,0,0,0.030965311,0.088373851,0.093485568,0.055553816,0,0,0,0,0,0,0,0,0,0.0096900473,0.014584724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0889843,0,0,0,0,0,0,0,0,0.063070581,0.059611862,0.02563001,0,0,0,0,0,0,0,0,0,0.088370306,0.22531155,0.22827047,0.056460803,0,0,0,0,0,0,0,0.083298619,0.1094291,0.42821385,0.62625355,0.15526059,0,0,0,0,0,0,0,0,0.044705881,0.12758893,0.13496892,0.080205307,0,0,0,0,0,0,0,0,0,0.013989916,0.02105656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.423689,0,0,0,0,0,0,0,0,0.082455631,0.077933857,0.033507518,0,0,0,0,0,0,0,0,0,0.11553135,0.29456215,0.29843051,0.073814304,0,0,0,0,0,0,0,0.10890085,0.14306266,0.55982746,0.81873563,0.20298068,0,0,0,0,0,0,0,0,0.05844645,0.166804,0.17645227,0.1048568,0,0,0,0,0,0,0,0,0,0.018289785,0.027528396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.7583936,0,0,0,0,0,0,0,0,0.10184068,0.096255853,0.041385026,0,0,0,0,0,0,0,0,0,0.14269239,0.36381275,0.36859055,0.091167806,0,0,0,0,0,0,0,0.13450309,0.17669623,0.69144107,1.0112177,0.25070078,0,0,0,0,0,0,0,0,0.07218702,0.20601908,0.21793563,0.12950829,0,0,0,0,0,0,0,0,0,0.022589653,0.034000232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.0930982,0,0,0,0,0,0,0,0,0.12122573,0.11457785,0.049262534,0,0,0,0,0,0,0,0,0,0.16985343,0.43306336,0.43875058,0.10852131,0,0,0,0,0,0,0,0.16010532,0.21032979,0.82305467,1.2036998,0.29842087,0,0,0,0,0,0,0,0,0.085927589,0.24523416,0.25941898,0.15415978,0,0,0,0,0,0,0,0,0,0.026889522,0.040472068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.4278028,0,0,0,0,0,0,0,0,0.14061078,0.13289984,0.057140042,0,0,0,0,0,0,0,0,0,0.19701448,0.50231396,0.50891062,0.12587481,0,0,0,0,0,0,0,0.18570756,0.24396336,0.95466828,1.3961818,0.34614097,0,0,0,0,0,0,0,0,0.099668159,0.28444923,0.30090233,0.17881127,0,0,0,0,0,0,0,0,0,0.03118939,0.046943905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
