X coord (mm),Y coord (mm)
9.24964,4.99514
3.57001,1.11432
6.55987,1.60091
7.14121,0.736391
8.55439,1.25896
9.62337,0.932677
10.8603,0.888784
12.0348,0.846694
13.1336,1.13551
14.2193,1.02037
3.1247,2.59603
3.78384,2.2798
5.07787,2.49737
6.09314,2.17398
7.15995,2.12884
8.52419,2.07079
9.57997,2.29907
10.7965,2.24955
11.97,2.20123
13.0813,2.15271
14.347,2.08353
3.07745,3.70594
3.7806,3.39094
4.61893,3.35571
6.13365,3.26828
7.31028,3.48504
8.31444,3.44097
9.59253,3.37434
10.7761,3.31132
11.9853,3.5118
13.1058,3.4586
14.4069,3.39166
2.85979,4.87233
3.64733,4.50696
4.89542,4.71028
6.06618,4.63263
7.16742,4.56709
8.54422,4.51761
9.53147,4.71227
10.7413,4.62303
11.8905,4.559
13.2894,4.48721
14.3662,4.68777
2.48682,6.00402
3.74252,5.90064
5.00164,5.79279
5.81284,5.72865
7.36381,5.88643
8.39141,5.80418
9.63962,5.72952
10.8688,5.92288
12.0269,5.85334
13.1373,5.78966
14.4536,5.71794
2.0005,7.20214
2.4345,6.86695
3.63895,7.04691
4.94576,6.91783
6.16682,7.08261
7.30144,6.97964
8.3629,6.89097
9.61779,7.07901
10.8564,6.99305
12.0292,6.91386
13.1433,7.10982
14.4504,7.0421
1.27749,8.47385
2.20635,8.07193
3.39583,8.24727
4.70705,8.10146
5.90664,8.26389
7.10225,8.13792
8.47231,8.29809
9.47111,8.21408
10.7405,8.10912
11.9106,8.2939
13.3212,8.19402
14.3705,8.13637
0.379551,9.88782
1.12463,10.0462
2.59178,9.56547
3.44162,9.4569
4.76111,9.29683
5.88455,9.47108
7.08473,9.33069
8.42431,9.49747
9.47955,9.38618
10.798,9.25395
11.989,9.43287
13.145,9.34174
14.4769,9.26354
