Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa)
0,-7.4019005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23831349,-0.34147487,-0.091418634,0,0,0,0,0,0,0,-0.44171963,-1.8575251,-7.4019005,-1.3939386,-0.12742811,0,0,0,0,0,0,-0.95832572,-2.3376077,-5.9570952,-1.5398876,-0.070015434,0,0,0,0,0,0,0,0,-1.1614251,-1.0985987,-0.2757189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-7.2545002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23356775,-0.3346748,-0.089598138,0,0,0,0,0,0,0,-0.4329233,-1.8205347,-7.2545002,-1.36618,-0.12489053,0,0,0,0,0,0,-0.93924177,-2.2910569,-5.8384665,-1.5092226,-0.068621157,0,0,0,0,0,0,0,0,-1.1382966,-1.0767214,-0.27022828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-7.1070999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22882202,-0.32787472,-0.087777641,0,0,0,0,0,0,0,-0.42412696,-1.7835442,-7.1070999,-1.3384213,-0.12235295,0,0,0,0,0,0,-0.92015782,-2.2445062,-5.7198379,-1.4785575,-0.067226881,0,0,0,0,0,0,0,0,-1.1151682,-1.0548441,-0.26473766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-6.9596996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22407628,-0.32107464,-0.085957145,0,0,0,0,0,0,0,-0.41533063,-1.7465538,-6.9596996,-1.3106626,-0.11981536,0,0,0,0,0,0,-0.90107388,-2.1979554,-5.6012092,-1.4478924,-0.065832605,0,0,0,0,0,0,0,0,-1.0920398,-1.0329667,-0.25924704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-6.8122993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21933054,-0.31427456,-0.084136649,0,0,0,0,0,0,0,-0.40653429,-1.7095633,-6.8122993,-1.2829039,-0.11727778,0,0,0,0,0,0,-0.88198993,-2.1514047,-5.4825806,-1.4172273,-0.064438328,0,0,0,0,0,0,0,0,-1.0689113,-1.0110894,-0.25375641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-6.664899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2145848,-0.30747449,-0.082316152,0,0,0,0,0,0,0,-0.39773795,-1.6725728,-6.664899,-1.2551453,-0.1147402,0,0,0,0,0,0,-0.86290598,-2.1048539,-5.3639519,-1.3865622,-0.063044052,0,0,0,0,0,0,0,0,-1.0457829,-0.9892121,-0.24826579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-6.5174987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20983907,-0.30067441,-0.080495656,0,0,0,0,0,0,0,-0.38894162,-1.6355824,-6.5174987,-1.2273866,-0.11220261,0,0,0,0,0,0,-0.84382203,-2.0583032,-5.2453232,-1.3558972,-0.061649775,0,0,0,0,0,0,0,0,-1.0226544,-0.96733478,-0.24277517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-6.3700985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20509333,-0.29387433,-0.07867516,0,0,0,0,0,0,0,-0.38014528,-1.5985919,-6.3700985,-1.1996279,-0.10966503,0,0,0,0,0,0,-0.82473808,-2.0117524,-5.1266946,-1.3252321,-0.060255499,0,0,0,0,0,0,0,0,-0.99952601,-0.94545745,-0.23728454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-6.2226982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20034759,-0.28707426,-0.076854663,0,0,0,0,0,0,0,-0.37134895,-1.5616014,-6.2226982,-1.1718692,-0.10712745,0,0,0,0,0,0,-0.80565414,-1.9652017,-5.0080659,-1.294567,-0.058861223,0,0,0,0,0,0,0,0,-0.97639757,-0.92358013,-0.23179392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-6.0752979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19560185,-0.28027418,-0.075034167,0,0,0,0,0,0,0,-0.36255261,-1.524611,-6.0752979,-1.1441106,-0.10458986,0,0,0,0,0,0,-0.78657019,-1.9186509,-4.8894373,-1.2639019,-0.057466946,0,0,0,0,0,0,0,0,-0.95326914,-0.90170281,-0.2263033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
