Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa)
0,-0.82715181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068529225,-0.046404643,0,0,0,0,0,0,0,0,0,0,-0.1090708,-0.342664,-0.32295252,-0.11877387,0,0,0,0,0,0,0,0,-0.26323783,-0.53006624,-0.68196422,-0.14189052,0,0,0,0,0,0,0,0,-0.18229795,-0.46441567,-0.24769661,-0.037233289,0,0,0,0,0,0,0,0,0,-0.02364392,-0.058552223,-0.0029425881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.63491544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602512,-0.035619851,0,0,0,0,0,0,0,0,0,0,-0.083721917,-0.26302628,-0.2478959,-0.091169917,0,0,0,0,0,0,0,0,-0.20205936,-0.40687481,-0.52347055,-0.10891408,0,0,0,0,0,0,0,0,-0.13993052,-0.35648193,-0.19013003,-0.028579989,0,0,0,0,0,0,0,0,0,-0.018148893,-0.044944241,-0.0022587082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.44267907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036675799,-0.024835059,0,0,0,0,0,0,0,0,0,0,-0.058373033,-0.18338856,-0.17283928,-0.063565968,0,0,0,0,0,0,0,0,-0.14088089,-0.28368339,-0.36497688,-0.075937649,0,0,0,0,0,0,0,0,-0.09756309,-0.2485482,-0.13256346,-0.01992669,0,0,0,0,0,0,0,0,0,-0.012653866,-0.031336259,-0.0015748284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.2504427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020749086,-0.014050267,0,0,0,0,0,0,0,0,0,0,-0.03302415,-0.10375084,-0.097782655,-0.035962018,0,0,0,0,0,0,0,0,-0.079702411,-0.16049196,-0.20648321,-0.042961213,0,0,0,0,0,0,0,0,-0.05519566,-0.14061447,-0.074996883,-0.01127339,0,0,0,0,0,0,0,0,0,-0.0071588396,-0.017728277,-0.00089094854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.05820633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048223732,-0.0032654755,0,0,0,0,0,0,0,0,0,0,-0.0076752669,-0.024113124,-0.022726035,-0.0083580678,0,0,0,0,0,0,0,0,-0.018523937,-0.037300541,-0.04798954,-0.0099847771,0,0,0,0,0,0,0,0,-0.012828231,-0.032680738,-0.017430308,-0.0026200911,0,0,0,0,0,0,0,0,0,-0.0016638128,-0.0041202956,-0.0002070687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.13403004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01110434,0.0075193164,0,0,0,0,0,0,0,0,0,0,0.017673616,0.055524596,0.052330586,0.019245882,0,0,0,0,0,0,0,0,0.042654537,0.085890882,0.11050413,0.022991659,0,0,0,0,0,0,0,0,0.029539198,0.075252994,0.040136268,0.0060332083,0,0,0,0,0,0,0,0,0,0.0038312139,0.0094876861,0.00047681114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.32626641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027031053,0.018304108,0,0,0,0,0,0,0,0,0,0,0.043022499,0.13516232,0.12738721,0.046849832,0,0,0,0,0,0,0,0,0.10383301,0.20908231,0.2689978,0.055968095,0,0,0,0,0,0,0,0,0.071906628,0.18318673,0.097702843,0.014686508,0,0,0,0,0,0,0,0,0,0.0093262407,0.023095668,0.001160691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.51850278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042957766,0.0290889,0,0,0,0,0,0,0,0,0,0,0.068371383,0.21480004,0.20244383,0.074453782,0,0,0,0,0,0,0,0,0.16501148,0.33227373,0.42749147,0.088944531,0,0,0,0,0,0,0,0,0.11427406,0.29112046,0.15526942,0.023339807,0,0,0,0,0,0,0,0,0,0.014821267,0.03670365,0.0018445708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.71073915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058884479,0.039873692,0,0,0,0,0,0,0,0,0,0,0.093720266,0.29443775,0.27750045,0.10205773,0,0,0,0,0,0,0,0,0.22618996,0.45546515,0.58598514,0.12192097,0,0,0,0,0,0,0,0,0.15664149,0.39905419,0.21283599,0.031993106,0,0,0,0,0,0,0,0,0,0.020316294,0.050311631,0.0025284507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.90297552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074811192,0.050658484,0,0,0,0,0,0,0,0,0,0,0.11906915,0.37407547,0.35255707,0.12966168,0,0,0,0,0,0,0,0,0.28736843,0.57865658,0.74447881,0.1548974,0,0,0,0,0,0,0,0,0.19900892,0.50698792,0.27040257,0.040646406,0,0,0,0,0,0,0,0,0,0.025811321,0.063919613,0.0032123305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0952119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090737905,0.061443276,0,0,0,0,0,0,0,0,0,0,0.14441803,0.45371319,0.42761369,0.15726563,0,0,0,0,0,0,0,0,0.34854691,0.701848,0.90297249,0.18787384,0,0,0,0,0,0,0,0,0.24137635,0.61492165,0.32796914,0.049299705,0,0,0,0,0,0,0,0,0,0.031306348,0.077527595,0.0038962103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.2874483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10666462,0.072228067,0,0,0,0,0,0,0,0,0,0,0.16976692,0.53335091,0.50267031,0.18486958,0,0,0,0,0,0,0,0,0.40972538,0.82503942,1.0614662,0.22085027,0,0,0,0,0,0,0,0,0.28374377,0.72285539,0.38553572,0.057953005,0,0,0,0,0,0,0,0,0,0.036801374,0.091135577,0.0045800902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.4796846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12259133,0.083012859,0,0,0,0,0,0,0,0,0,0,0.1951158,0.61298863,0.57772693,0.21247353,0,0,0,0,0,0,0,0,0.47090386,0.94823085,1.2199598,0.25382671,0,0,0,0,0,0,0,0,0.3261112,0.83078912,0.44310229,0.066606304,0,0,0,0,0,0,0,0,0,0.042296401,0.10474356,0.00526397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.671921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13851804,0.093797651,0,0,0,0,0,0,0,0,0,0,0.22046468,0.69262635,0.65278355,0.24007748,0,0,0,0,0,0,0,0,0.53208233,1.0714223,1.3784535,0.28680315,0,0,0,0,0,0,0,0,0.36847863,0.93872285,0.50066887,0.075259603,0,0,0,0,0,0,0,0,0,0.047791428,0.11835154,0.0059478499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.8641574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15444476,0.10458244,0,0,0,0,0,0,0,0,0,0,0.24581357,0.77226407,0.72784017,0.26768143,0,0,0,0,0,0,0,0,0.5932608,1.1946137,1.5369472,0.31977958,0,0,0,0,0,0,0,0,0.41084606,1.0466566,0.55823545,0.083912903,0,0,0,0,0,0,0,0,0,0.053286455,0.13195952,0.0066317297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.0563937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17037147,0.11536723,0,0,0,0,0,0,0,0,0,0,0.27116245,0.85190179,0.80289679,0.29528538,0,0,0,0,0,0,0,0,0.65443928,1.3178051,1.6954408,0.35275602,0,0,0,0,0,0,0,0,0.45321349,1.1545903,0.61580202,0.092566202,0,0,0,0,0,0,0,0,0,0.058781481,0.1455675,0.0073156096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.2486301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18629818,0.12615203,0,0,0,0,0,0,0,0,0,0,0.29651133,0.93153951,0.87795341,0.32288933,0,0,0,0,0,0,0,0,0.71561775,1.4409965,1.8539345,0.38573245,0,0,0,0,0,0,0,0,0.49558092,1.262524,0.6733686,0.1012195,0,0,0,0,0,0,0,0,0,0.064276508,0.15917549,0.0079994894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.4408665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2022249,0.13693682,0,0,0,0,0,0,0,0,0,0,0.32186021,1.0111772,0.95301003,0.35049328,0,0,0,0,0,0,0,0,0.77679623,1.564188,2.0124282,0.41870889,0,0,0,0,0,0,0,0,0.53794835,1.3704578,0.73093517,0.1098728,0,0,0,0,0,0,0,0,0,0.069771535,0.17278347,0.0086833692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.6331028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21815161,0.14772161,0,0,0,0,0,0,0,0,0,0,0.3472091,1.090815,1.0280666,0.37809723,0,0,0,0,0,0,0,0,0.8379747,1.6873794,2.1709219,0.45168533,0,0,0,0,0,0,0,0,0.58031578,1.4783915,0.78850175,0.1185261,0,0,0,0,0,0,0,0,0,0.075266562,0.18639145,0.0093672491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.8253392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23407832,0.1585064,0,0,0,0,0,0,0,0,0,0,0.37255798,1.1704527,1.1031233,0.40570118,0,0,0,0,0,0,0,0,0.89915317,1.8105708,2.3294155,0.48466176,0,0,0,0,0,0,0,0,0.62268321,1.5863252,0.84606832,0.1271794,0,0,0,0,0,0,0,0,0,0.080761588,0.19999943,0.010051129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3.0175756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25000504,0.16929119,0,0,0,0,0,0,0,0,0,0,0.39790686,1.2500904,1.1781799,0.43330513,0,0,0,0,0,0,0,0,0.96033165,1.9337622,2.4879092,0.5176382,0,0,0,0,0,0,0,0,0.66505064,1.694259,0.9036349,0.1358327,0,0,0,0,0,0,0,0,0,0.086256615,0.21360741,0.010735009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3.2098119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26593175,0.18007599,0,0,0,0,0,0,0,0,0,0,0.42325575,1.3297281,1.2532365,0.46090908,0,0,0,0,0,0,0,0,1.0215101,2.0569537,2.6464029,0.55061463,0,0,0,0,0,0,0,0,0.70741807,1.8021927,0.96120147,0.144486,0,0,0,0,0,0,0,0,0,0.091751642,0.22721539,0.011418889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
