Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
0,-0.58453878,0,-0.0059320017,-0.018690782,-0.02169701,-0.043293079,-0.033263577,0,0,-0.0080627568,-0.031786053,-0.12628431,-0.20382164,-0.036900932,0,0,-0.0022358907,-0.025968166,-0.059782982,-0.081289048,-0.027429516,0,0,0,0,-0.00032509672,-0.012191577,-0.004688017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.24983416,0,-0.0025353607,-0.0079885132,-0.0092733869,-0.018503631,-0.014216983,0,0,-0.0034460538,-0.013585483,-0.053974406,-0.087114165,-0.015771602,0,0,-0.00095562842,-0.011098895,-0.02555148,-0.034743257,-0.011723482,0,0,0,0,-0.00013894761,-0.0052107278,-0.0020036768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.084870463,0,0.00086128029,0.0027137555,0.0031502363,0.0062858167,0.0048296114,0,0,0.0011706493,0.0046150864,0.018335494,0.029593309,0.0053577269,0,0,0.00032463385,0.0037703747,0.0086800218,0.011802535,0.0039825514,0,0,0,0,4.7201504e-05,0.0017701217,0.00068066343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.41957509,0,0.0042579213,0.013416024,0.015573859,0.031075264,0.023876206,0,0,0.0057873523,0.022815656,0.090645395,0.14630078,0.026487056,0,0,0.0016048961,0.018639645,0.042911524,0.058348326,0.019688585,0,0,0,0,0.00023335062,0.0087509712,0.0033650036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.75427971,0,0.0076545623,0.024118293,0.027997483,0.055864712,0.0429228,0,0,0.010404055,0.041016225,0.16295529,0.26300826,0.047616386,0,0,0.0028851584,0.033508915,0.077143025,0.10489412,0.035394619,0,0,0,0,0.00041949973,0.015731821,0.0060493438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0889843,0,0.011051203,0.034820562,0.040421106,0.08065416,0.061969394,0,0,0.015020758,0.059216795,0.23526519,0.37971573,0.068745715,0,0,0.0041654207,0.048378185,0.11137453,0.15143991,0.051100652,0,0,0,0,0.00060564885,0.02271267,0.0087336841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.423689,0,0.014447844,0.04552283,0.052844729,0.10544361,0.081015988,0,0,0.019637462,0.077417364,0.30757509,0.4964232,0.089875044,0,0,0.0054456829,0.063247456,0.14560603,0.1979857,0.066806686,0,0,0,0,0.00079179796,0.02969352,0.011418024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.7583936,0,0.017844485,0.056225099,0.065268352,0.13023306,0.10006258,0,0,0.024254165,0.095617934,0.379885,0.61313068,0.11100437,0,0,0.0067259452,0.078116726,0.17983753,0.24453149,0.08251272,0,0,0,0,0.00097794708,0.036674369,0.014102364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.0930982,0,0.021241126,0.066927368,0.077691975,0.1550225,0.11910918,0,0,0.028870868,0.1138185,0.4521949,0.72983815,0.1321337,0,0,0.0080062075,0.092985996,0.21406903,0.29107728,0.098218754,0,0,0,0,0.0011640962,0.043655219,0.016786705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.4278028,0,0.024637767,0.077629636,0.090115598,0.17981195,0.13815577,0,0,0.033487571,0.13201907,0.5245048,0.84654562,0.15326303,0,0,0.0092864698,0.10785527,0.24830053,0.33762307,0.11392479,0,0,0,0,0.0013502453,0.050636068,0.019471045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.7625075,0,0.028034408,0.088331905,0.10253922,0.2046014,0.15720236,0,0,0.038104274,0.15021964,0.5968147,0.9632531,0.17439236,0,0,0.010566732,0.12272454,0.28253204,0.38416887,0.12963082,0,0,0,0,0.0015363944,0.057616918,0.022155385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3.0972121,0,0.031431049,0.099034174,0.11496284,0.22939085,0.17624896,0,0,0.042720977,0.16842021,0.6691246,1.0799606,0.19552169,0,0,0.011846994,0.13759381,0.31676354,0.43071466,0.14533685,0,0,0,0,0.0017225435,0.064597767,0.024839725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
