Time (ms),Stress at 0.00 mm (kPa),Stress at 0.33 mm (kPa),Stress at 0.51 mm (kPa),Stress at 0.71 mm (kPa),Stress at 0.90 mm (kPa),Stress at 1.09 mm (kPa),Stress at 1.31 mm (kPa),Stress at 1.52 mm (kPa),Stress at 1.69 mm (kPa),Stress at 1.88 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.30 mm (kPa),Stress at 2.48 mm (kPa),Stress at 2.71 mm (kPa),Stress at 2.92 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.31 mm (kPa),Stress at 3.51 mm (kPa),Stress at 3.69 mm (kPa),Stress at 3.89 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.30 mm (kPa),Stress at 4.49 mm (kPa),Stress at 4.70 mm (kPa),Stress at 4.90 mm (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.022773207,0.014441101,0.011658564,0.010003716,0.0080785777,0.0064674298,0.0049532115,0.0039529965,0.0031019891,0.0022832274,0.0015502921,0.0011461071,0.00088122653,0.00074459252,0.00085805384,0.00064094304,0.00075034808,0.0010328693,0.0011675829,0.00085647035,0.00084616878,0.00087646461,0.00093217063,0.00095041945,0.00075290028
2,0.045546413,0.028882202,0.023317128,0.020007433,0.016157155,0.01293486,0.009906423,0.0079059929,0.0062039781,0.0045664548,0.0031005843,0.0022922143,0.0017624531,0.001489185,0.0017161077,0.0012818861,0.0015006962,0.0020657385,0.0023351658,0.0017129407,0.0016923376,0.0017529292,0.0018643413,0.0019008389,0.0015058006
3,0.06831962,0.043323303,0.034975692,0.030011149,0.024235733,0.019402289,0.014859635,0.011858989,0.0093059672,0.0068496823,0.0046508764,0.0034383214,0.0026436796,0.0022337776,0.0025741615,0.0019228291,0.0022510442,0.0030986078,0.0035027487,0.0025694111,0.0025385063,0.0026293938,0.0027965119,0.0028512583,0.0022587008
4,0.091092826,0.057764404,0.046634257,0.040014865,0.032314311,0.025869719,0.019812846,0.015811986,0.012407956,0.0091329097,0.0062011685,0.0045844286,0.0035249061,0.0029783701,0.0034322154,0.0025637722,0.0030013923,0.004131477,0.0046703315,0.0034258814,0.0033846751,0.0035058584,0.0037286825,0.0038016778,0.0030116011
5,0.11386603,0.072205504,0.058292821,0.050018581,0.040392889,0.032337149,0.024766058,0.019764982,0.015509945,0.011416137,0.0077514606,0.0057305357,0.0044061327,0.0037229626,0.0042902692,0.0032047152,0.0037517404,0.0051643463,0.0058379144,0.0042823518,0.0042308439,0.004382323,0.0046608531,0.0047520972,0.0037645014
6,0.13663924,0.086646605,0.069951385,0.060022298,0.048471466,0.038804579,0.029719269,0.023717979,0.018611934,0.013699365,0.0093017528,0.0068766429,0.0052873592,0.0044675551,0.005148323,0.0038456582,0.0045020885,0.0061972155,0.0070054973,0.0051388221,0.0050770127,0.0052587876,0.0055930238,0.0057025167,0.0045174017
7,0.15941245,0.10108771,0.081609949,0.070026014,0.056550044,0.045272009,0.034672481,0.027670975,0.021713923,0.015982592,0.010852045,0.00802275,0.0061685857,0.0052121477,0.0060063769,0.0044866013,0.0052524366,0.0072300848,0.0081730802,0.0059952925,0.0059231814,0.0061352523,0.0065251944,0.0066529361,0.005270302
8,0.18218565,0.11552881,0.093268513,0.08002973,0.064628622,0.051739439,0.039625692,0.031623972,0.024815913,0.018265819,0.012402337,0.0091688572,0.0070498123,0.0059567402,0.0068644307,0.0051275443,0.0060027847,0.008262954,0.0093406631,0.0068517628,0.0067693502,0.0070117169,0.007457365,0.0076033556,0.0060232023
9,0.20495886,0.12996991,0.10492708,0.090033446,0.072707199,0.058206868,0.044578904,0.035576968,0.027917902,0.020549047,0.013952629,0.010314964,0.0079310388,0.0067013327,0.0077224846,0.0057684874,0.0067531327,0.0092958233,0.010508246,0.0077082332,0.007615519,0.0078881815,0.0083895356,0.008553775,0.0067761025
10,0.22773207,0.14441101,0.11658564,0.10003716,0.080785777,0.064674298,0.049532115,0.039529965,0.031019891,0.022832274,0.015502921,0.011461071,0.0088122653,0.0074459252,0.0085805384,0.0064094304,0.0075034808,0.010328693,0.011675829,0.0085647035,0.0084616878,0.0087646461,0.0093217063,0.0095041945,0.0075290028
11,0.25050527,0.15885211,0.12824421,0.11004088,0.088864355,0.071141728,0.054485327,0.043482961,0.03412188,0.025115502,0.017053213,0.012607179,0.0096934919,0.0081905178,0.0094385922,0.0070503734,0.0082538289,0.011361562,0.012843412,0.0094211739,0.0093078565,0.0096411107,0.010253877,0.010454614,0.0082819031
12,0.27327848,0.17329321,0.13990277,0.1200446,0.096942932,0.077609158,0.059438538,0.047435958,0.037223869,0.027398729,0.018603506,0.013753286,0.010574718,0.0089351103,0.010296646,0.0076913165,0.009004177,0.012394431,0.014010995,0.010277644,0.010154025,0.010517575,0.011186048,0.011405033,0.0090348034
13,0.29605169,0.18773431,0.15156133,0.13004831,0.10502151,0.084076588,0.06439175,0.051388954,0.040325858,0.029681956,0.020153798,0.014899393,0.011455945,0.0096797028,0.0111547,0.0083322595,0.0097545251,0.0134273,0.015178578,0.011134115,0.011000194,0.01139404,0.012118218,0.012355453,0.0097877037
14,0.31882489,0.20217541,0.1632199,0.14005203,0.11310009,0.090544017,0.069344961,0.05534195,0.043427847,0.031965184,0.02170409,0.0160455,0.012337171,0.010424295,0.012012754,0.0089732026,0.010504873,0.01446017,0.01634616,0.011990585,0.011846363,0.012270505,0.013050389,0.013305872,0.010540604
15,0.3415981,0.21661651,0.17487846,0.15005574,0.12117867,0.097011447,0.074298173,0.059294947,0.046529836,0.034248411,0.023254382,0.017191607,0.013218398,0.011168888,0.012870808,0.0096141456,0.011255221,0.015493039,0.017513743,0.012847055,0.012692532,0.013146969,0.013982559,0.014256292,0.011293504
16,0.36437131,0.23105761,0.18653703,0.16005946,0.12925724,0.10347888,0.079251384,0.063247943,0.049631825,0.036531639,0.024804674,0.018337714,0.014099625,0.01191348,0.013728861,0.010255089,0.012005569,0.016525908,0.018681326,0.013703526,0.0135387,0.014023434,0.01491473,0.015206711,0.012046405
17,0.38714451,0.24549871,0.19819559,0.17006318,0.13733582,0.10994631,0.084204596,0.06720094,0.052733814,0.038814866,0.026354966,0.019483821,0.014980851,0.012658073,0.014586915,0.010896032,0.012755917,0.017558777,0.019848909,0.014559996,0.014384869,0.014899898,0.015846901,0.016157131,0.012799305
18,0.40991772,0.25993982,0.20985415,0.18006689,0.1454144,0.11641374,0.089157807,0.071153936,0.055835803,0.041098094,0.027905258,0.020629929,0.015862078,0.013402665,0.015444969,0.011536975,0.013506265,0.018591647,0.021016492,0.015416466,0.015231038,0.015776363,0.016779071,0.01710755,0.013552205
19,0.43269093,0.27438092,0.22151272,0.19007061,0.15349298,0.12288117,0.094111019,0.075106933,0.058937792,0.043381321,0.02945555,0.021776036,0.016743304,0.014147258,0.016303023,0.012177918,0.014256614,0.019624516,0.022184075,0.016272937,0.016077207,0.016652828,0.017711242,0.01805797,0.014305105
20,0.45546413,0.28882202,0.23317128,0.20007433,0.16157155,0.1293486,0.09906423,0.079059929,0.062039781,0.045664548,0.031005843,0.022922143,0.017624531,0.01489185,0.017161077,0.012818861,0.015006962,0.020657385,0.023351658,0.017129407,0.016923376,0.017529292,0.018643413,0.019008389,0.015058006
21,0.47823734,0.30326312,0.24482985,0.21007804,0.16965013,0.13581603,0.10401744,0.083012926,0.06514177,0.047947776,0.032556135,0.02406825,0.018505757,0.015636443,0.018019131,0.013459804,0.01575731,0.021690254,0.024519241,0.017985877,0.017769544,0.018405757,0.019575583,0.019958808,0.015810906
