Time (ms),Stress at 0.00 mm (kPa),Stress at 0.30 mm (kPa),Stress at 0.51 mm (kPa),Stress at 0.70 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.09 mm (kPa),Stress at 1.30 mm (kPa),Stress at 1.50 mm (kPa),Stress at 1.68 mm (kPa),Stress at 1.89 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.32 mm (kPa),Stress at 2.49 mm (kPa),Stress at 2.70 mm (kPa),Stress at 2.92 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.29 mm (kPa),Stress at 3.51 mm (kPa),Stress at 3.70 mm (kPa),Stress at 3.88 mm (kPa),Stress at 4.09 mm (kPa),Stress at 4.31 mm (kPa),Stress at 4.51 mm (kPa),Stress at 4.71 mm (kPa),Stress at 4.90 mm (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.022773207,0.018532744,0.016697619,0.012420154,0.010103764,0.0088703734,0.0069654481,0.0065307703,0.0049443926,0.0036888572,0.0020505831,0.0013963965,0.00093376019,0.00019854341,0,0,0,0,0,0,0,0,0,0,0
2,0.045546413,0.037065489,0.033395237,0.024840307,0.020207528,0.017740747,0.013930896,0.013061541,0.0098887853,0.0073777145,0.0041011662,0.0027927931,0.0018675204,0.00039708682,0,0,0,0,0,0,0,0,0,0,0
3,0.06831962,0.055598233,0.050092856,0.037260461,0.030311292,0.02661112,0.020896344,0.019592311,0.014833178,0.011066572,0.0061517494,0.0041891896,0.0028012806,0.00059563023,0,0,0,0,0,0,0,0,0,0,0
4,0.091092826,0.074130978,0.066790475,0.049680615,0.040415055,0.035481494,0.027861792,0.026123081,0.019777571,0.014755429,0.0082023325,0.0055855862,0.0037350407,0.00079417364,0,0,0,0,0,0,0,0,0,0,0
5,0.11386603,0.092663722,0.083488093,0.062100768,0.050518819,0.044351867,0.03482724,0.032653852,0.024721963,0.018444286,0.010252916,0.0069819827,0.0046688009,0.00099271705,0,0,0,0,0,0,0,0,0,0,0
6,0.13663924,0.11119647,0.10018571,0.074520922,0.060622583,0.053222241,0.041792689,0.039184622,0.029666356,0.022133143,0.012303499,0.0083783792,0.0056025611,0.0011912605,0,0,0,0,0,0,0,0,0,0,0
7,0.15941245,0.12972921,0.11688333,0.086941075,0.070726347,0.062092614,0.048758137,0.045715392,0.034610748,0.025822001,0.014354082,0.0097747758,0.0065363213,0.0013898039,0,0,0,0,0,0,0,0,0,0,0
8,0.18218565,0.14826196,0.13358095,0.099361229,0.080830111,0.070962987,0.055723585,0.052246163,0.039555141,0.029510858,0.016404665,0.011171172,0.0074700815,0.0015883473,0,0,0,0,0,0,0,0,0,0,0
9,0.20495886,0.1667947,0.15027857,0.11178138,0.090933875,0.079833361,0.062689033,0.058776933,0.044499534,0.033199715,0.018455248,0.012567569,0.0084038417,0.0017868907,0,0,0,0,0,0,0,0,0,0,0
10,0.22773207,0.18532744,0.16697619,0.12420154,0.10103764,0.088703734,0.069654481,0.065307703,0.049443926,0.036888572,0.020505831,0.013963965,0.0093376019,0.0019854341,0,0,0,0,0,0,0,0,0,0,0
11,0.25050527,0.20386019,0.18367381,0.13662169,0.1111414,0.097574108,0.076619929,0.071838474,0.054388319,0.04057743,0.022556414,0.015360362,0.010271362,0.0021839775,0,0,0,0,0,0,0,0,0,0,0
12,0.27327848,0.22239293,0.20037142,0.14904184,0.12124517,0.10644448,0.083585377,0.078369244,0.059332712,0.044266287,0.024606997,0.016756758,0.011205122,0.0023825209,0,0,0,0,0,0,0,0,0,0,0
13,0.29605169,0.24092568,0.21706904,0.161462,0.13134893,0.11531485,0.090550825,0.084900014,0.064277104,0.047955144,0.026657581,0.018153155,0.012138882,0.0025810643,0,0,0,0,0,0,0,0,0,0,0
14,0.31882489,0.25945842,0.23376666,0.17388215,0.14145269,0.12418523,0.097516273,0.091430785,0.069221497,0.051644001,0.028708164,0.019549552,0.013072643,0.0027796077,0,0,0,0,0,0,0,0,0,0,0
15,0.3415981,0.27799117,0.25046428,0.1863023,0.15155646,0.1330556,0.10448172,0.097961555,0.07416589,0.055332859,0.030758747,0.020945948,0.014006403,0.0029781511,0,0,0,0,0,0,0,0,0,0,0
16,0.36437131,0.29652391,0.2671619,0.19872246,0.16166022,0.14192597,0.11144717,0.10449233,0.079110282,0.059021716,0.03280933,0.022342345,0.014940163,0.0031766946,0,0,0,0,0,0,0,0,0,0,0
17,0.38714451,0.31505666,0.28385952,0.21114261,0.17176399,0.15079635,0.11841262,0.1110231,0.084054675,0.062710573,0.034859913,0.023738741,0.015873923,0.003375238,0,0,0,0,0,0,0,0,0,0,0
18,0.40991772,0.3335894,0.30055714,0.22356277,0.18186775,0.15966672,0.12537807,0.11755387,0.088999067,0.06639943,0.036910496,0.025135138,0.016807683,0.0035737814,0,0,0,0,0,0,0,0,0,0,0
19,0.43269093,0.35212215,0.31725475,0.23598292,0.19197151,0.1685371,0.13234351,0.12408464,0.09394346,0.070088288,0.038961079,0.026531534,0.017741444,0.0037723248,0,0,0,0,0,0,0,0,0,0,0
20,0.45546413,0.37065489,0.33395237,0.24840307,0.20207528,0.17740747,0.13930896,0.13061541,0.098887853,0.073777145,0.041011662,0.027927931,0.018675204,0.0039708682,0,0,0,0,0,0,0,0,0,0,0
21,0.47823734,0.38918763,0.35064999,0.26082323,0.21217904,0.18627784,0.14627441,0.13714618,0.10383225,0.077466002,0.043062246,0.029324327,0.019608964,0.0041694116,0,0,0,0,0,0,0,0,0,0,0
22,0.50101055,0.40772038,0.36734761,0.27324338,0.2222828,0.19514822,0.15323986,0.14367695,0.10877664,0.081154859,0.045112829,0.030720724,0.020542724,0.004367955,0,0,0,0,0,0,0,0,0,0,0
23,0.52378375,0.42625312,0.38404523,0.28566353,0.23238657,0.20401859,0.16020531,0.15020772,0.11372103,0.084843717,0.047163412,0.03211712,0.021476484,0.0045664984,0,0,0,0,0,0,0,0,0,0,0
24,0.54655696,0.44478587,0.40074285,0.29808369,0.24249033,0.21288896,0.16717075,0.15673849,0.11866542,0.088532574,0.049213995,0.033513517,0.022410244,0.0047650418,0,0,0,0,0,0,0,0,0,0,0
25,0.56933017,0.46331861,0.41744047,0.31050384,0.2525941,0.22175934,0.1741362,0.16326926,0.12360982,0.092221431,0.051264578,0.034909913,0.023344005,0.0049635852,0,0,0,0,0,0,0,0,0,0,0
26,0.59210337,0.48185136,0.43413809,0.32292399,0.26269786,0.23062971,0.18110165,0.16980003,0.12855421,0.095910288,0.053315161,0.03630631,0.024277765,0.0051621287,0,0,0,0,0,0,0,0,0,0,0
27,0.61487658,0.5003841,0.4508357,0.33534415,0.27280162,0.23950008,0.1880671,0.1763308,0.1334986,0.099599146,0.055365744,0.037702707,0.025211525,0.0053606721,0,0,0,0,0,0,0,0,0,0,0
28,0.63764978,0.51891685,0.46753332,0.3477643,0.28290539,0.24837046,0.19503255,0.18286157,0.13844299,0.103288,0.057416327,0.039099103,0.026145285,0.0055592155,0,0,0,0,0,0,0,0,0,0,0
29,0.66042299,0.53744959,0.48423094,0.36018446,0.29300915,0.25724083,0.20199799,0.18939234,0.14338739,0.10697686,0.05946691,0.0404955,0.027079045,0.0057577589,0,0,0,0,0,0,0,0,0,0,0
30,0.6831962,0.55598233,0.50092856,0.37260461,0.30311292,0.2661112,0.20896344,0.19592311,0.14833178,0.11066572,0.061517494,0.041891896,0.028012806,0.0059563023,0,0,0,0,0,0,0,0,0,0,0
31,0.7059694,0.57451508,0.51762618,0.38502476,0.31321668,0.27498158,0.21592889,0.20245388,0.15327617,0.11435457,0.063568077,0.043288293,0.028946566,0.0061548457,0,0,0,0,0,0,0,0,0,0,0
32,0.72874261,0.59304782,0.5343238,0.39744492,0.32332044,0.28385195,0.22289434,0.20898465,0.15822056,0.11804343,0.06561866,0.044684689,0.029880326,0.0063533891,0,0,0,0,0,0,0,0,0,0,0
33,0.75151582,0.61158057,0.55102142,0.40986507,0.33342421,0.29272232,0.22985979,0.21551542,0.16316496,0.12173229,0.067669243,0.046081086,0.030814086,0.0065519325,0,0,0,0,0,0,0,0,0,0,0
34,0.77428902,0.63011331,0.56771903,0.42228522,0.34352797,0.3015927,0.23682524,0.22204619,0.16810935,0.12542115,0.069719826,0.047477482,0.031747846,0.0067504759,0,0,0,0,0,0,0,0,0,0,0
35,0.79706223,0.64864606,0.58441665,0.43470538,0.35363173,0.31046307,0.24379068,0.22857696,0.17305374,0.12911,0.071770409,0.048873879,0.032681607,0.0069490193,0,0,0,0,0,0,0,0,0,0,0
36,0.81983544,0.6671788,0.60111427,0.44712553,0.3637355,0.31933344,0.25075613,0.23510773,0.17799813,0.13279886,0.073820992,0.050270275,0.033615367,0.0071475628,0,0,0,0,0,0,0,0,0,0,0
37,0.84260864,0.68571155,0.61781189,0.45954568,0.37383926,0.32820382,0.25772158,0.2416385,0.18294253,0.13648772,0.075871575,0.051666672,0.034549127,0.0073461062,0,0,0,0,0,0,0,0,0,0,0
38,0.86538185,0.70424429,0.63450951,0.47196584,0.38394303,0.33707419,0.26468703,0.24816927,0.18788692,0.14017658,0.077922159,0.053063069,0.035482887,0.0075446496,0,0,0,0,0,0,0,0,0,0,0
39,0.88815506,0.72277704,0.65120713,0.48438599,0.39404679,0.34594456,0.27165248,0.25470004,0.19283131,0.14386543,0.079972742,0.054459465,0.036416647,0.007743193,0,0,0,0,0,0,0,0,0,0,0
40,0.91092826,0.74130978,0.66790475,0.49680615,0.40415055,0.35481494,0.27861792,0.26123081,0.19777571,0.14755429,0.082023325,0.055855862,0.037350407,0.0079417364,0,0,0,0,0,0,0,0,0,0,0
41,0.93370147,0.75984252,0.68460237,0.5092263,0.41425432,0.36368531,0.28558337,0.26776158,0.2027201,0.15124315,0.084073908,0.057252258,0.038284168,0.0081402798,0,0,0,0,0,0,0,0,0,0,0
42,0.95647468,0.77837527,0.70129998,0.52164645,0.42435808,0.37255568,0.29254882,0.27429235,0.20766449,0.154932,0.086124491,0.058648655,0.039217928,0.0083388232,0,0,0,0,0,0,0,0,0,0,0
43,0.97924788,0.79690801,0.7179976,0.53406661,0.43446185,0.38142606,0.29951427,0.28082312,0.21260888,0.15862086,0.088175074,0.060045051,0.040151688,0.0085373666,0,0,0,0,0,0,0,0,0,0,0
44,1.0020211,0.81544076,0.73469522,0.54648676,0.44456561,0.39029643,0.30647972,0.28735389,0.21755328,0.16230972,0.090225657,0.061441448,0.041085448,0.00873591,0,0,0,0,0,0,0,0,0,0,0
45,1.0247943,0.8339735,0.75139284,0.55890691,0.45466937,0.3991668,0.31344516,0.29388467,0.22249767,0.16599858,0.09227624,0.062837844,0.042019208,0.0089344534,0,0,0,0,0,0,0,0,0,0,0
46,1.0475675,0.85250625,0.76809046,0.57132707,0.46477314,0.40803718,0.32041061,0.30041544,0.22744206,0.16968743,0.094326823,0.064234241,0.042952969,0.0091329968,0,0,0,0,0,0,0,0,0,0,0
47,1.0703407,0.87103899,0.78478808,0.58374722,0.4748769,0.41690755,0.32737606,0.30694621,0.23238645,0.17337629,0.096377407,0.065630637,0.043886729,0.0093315403,0,0,0,0,0,0,0,0,0,0,0
48,1.1727163,0.95435181,0.8598512,0.63958126,0.52029775,0.45678377,0.35868881,0.33630488,0.25461367,0.18995932,0.10559568,0.071908053,0.048084391,0.01022408,0,0,0,0,0,0,0,0,0,0,0
49,1.2751053,1.0376756,0.93492423,0.69542267,0.5657246,0.49666526,0.39000569,0.36566744,0.27684382,0.20654454,0.11481517,0.078186296,0.052282606,0.011116738,0,0,0,0,0,0,0,0,0,0,0
50,1.3774944,1.1209994,1.0099973,0.75126408,0.61115145,0.53654674,0.42132256,0.39502999,0.29907397,0.22312976,0.12403465,0.08446454,0.056480822,0.012009395,0,0,0,0,0,0,0,0,0,0,0
