Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa)
0,-12.904401,0,0,0,0,0,-2.5005624,-0.20446562,0,0,0,0,-22.103904,-3.9184859,0,0,-0.48593997,-3.9771373,-6.3682773,-1.3162497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-12.915804,0,0,0,0,0,-2.502772,-0.20464629,0,0,0,0,-22.123436,-3.9219484,0,0,-0.48636937,-3.9806516,-6.3739045,-1.3174128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-12.927207,0,0,0,0,0,-2.5049816,-0.20482696,0,0,0,0,-22.142968,-3.9254109,0,0,-0.48679876,-3.984166,-6.3795318,-1.3185759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-12.938609,0,0,0,0,0,-2.5071912,-0.20500764,0,0,0,0,-22.162499,-3.9288734,0,0,-0.48722815,-3.9876803,-6.385159,-1.319739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-12.950012,0,0,0,0,0,-2.5094008,-0.20518831,0,0,0,0,-22.182031,-3.9323359,0,0,-0.48765754,-3.9911946,-6.3907862,-1.320902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-12.961415,0,0,0,0,0,-2.5116103,-0.20536898,0,0,0,0,-22.201563,-3.9357984,0,0,-0.48808694,-3.994709,-6.3964134,-1.3220651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-12.972818,0,0,0,0,0,-2.5138199,-0.20554966,0,0,0,0,-22.221095,-3.9392609,0,0,-0.48851633,-3.9982233,-6.4020407,-1.3232282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-12.984221,0,0,0,0,0,-2.5160295,-0.20573033,0,0,0,0,-22.240626,-3.9427234,0,0,-0.48894572,-4.0017376,-6.4076679,-1.3243913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-12.995623,0,0,0,0,0,-2.5182391,-0.205911,0,0,0,0,-22.260158,-3.9461859,0,0,-0.48937512,-4.005252,-6.4132951,-1.3255544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-13.007026,0,0,0,0,0,-2.5204487,-0.20609167,0,0,0,0,-22.27969,-3.9496484,0,0,-0.48980451,-4.0087663,-6.4189223,-1.3267175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-13.018429,0,0,0,0,0,-2.5226582,-0.20627235,0,0,0,0,-22.299222,-3.9531109,0,0,-0.4902339,-4.0122806,-6.4245496,-1.3278805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
